unix,ds,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount,Value
1.52876E+12,2018-06-12,ETC/USDT,16.2,16.7999,13.95,14.6282,744968.58,11321260.47,24285,15.37495
1.52885E+12,2018-06-13,ETC/USDT,14.7,14.9731,12.813,13.8499,781129.3,10799288.68,17726,13.89305
1.52893E+12,2018-06-14,ETC/USDT,13.8003,14.3409,13.15,14.0624,682270.16,9384377.515,14778,13.74545
1.52902E+12,2018-06-15,ETC/USDT,14.0662,14.0748,13.5555,13.82,486000.73,6722327.69,10199,13.81515
1.52911E+12,2018-06-16,ETC/USDT,13.82,14.88,13.7599,14.44,663787.16,9508421.44,15312,14.31995
1.52919E+12,2018-06-17,ETC/USDT,14.4291,14.6432,14.0727,14.2399,535906.2,7693301.363,10074,14.35795
1.52928E+12,2018-06-18,ETC/USDT,14.2399,15.62,13.971,15.0902,615447.91,8977252.713,13462,14.7955
1.52937E+12,2018-06-19,ETC/USDT,15.1096,15.9448,15,15.6025,586508.69,9045543.557,15341,15.4724
1.52945E+12,2018-06-20,ETC/USDT,15.6025,17.451,14.715,17.35,779691.09,12381199.14,19859,16.083
1.52954E+12,2018-06-21,ETC/USDT,17.32,17.86,16.5037,17.5826,953254.49,16398372.85,25572,17.18185
1.52963E+12,2018-06-22,ETC/USDT,17.5826,17.6825,14.11,14.48,1295188.37,20292042.36,30239,15.89625
1.52971E+12,2018-06-23,ETC/USDT,14.4848,15.1213,14.13,14.753,518777.36,7631367.324,13766,14.62565
1.5298E+12,2018-06-24,ETC/USDT,14.7693,15.4514,13.0182,14.792,841002.42,11922840.62,19213,14.2348
1.52988E+12,2018-06-25,ETC/USDT,14.7802,16.0999,14.4705,15.85,644026.9,9962691.123,17599,15.2852
1.52997E+12,2018-06-26,ETC/USDT,15.85,15.999,14.7,14.8447,708799.86,10962040.05,11324,15.3495
1.53006E+12,2018-06-27,ETC/USDT,14.8203,15.6399,14.18,15.4501,1004615.03,14962091.94,15361,14.90995
1.53014E+12,2018-06-28,ETC/USDT,15.4512,15.6699,14.3731,14.5421,1125501.57,17057624.16,16053,15.0215
1.53023E+12,2018-06-29,ETC/USDT,14.5309,15.55,14.21,15.2534,1110916.87,16359132.44,15887,14.88
1.53032E+12,2018-06-30,ETC/USDT,15.2546,16.8529,15.2101,16.1571,1132170.79,18207579.77,17821,16.0315
1.5304E+12,2018-07-01,ETC/USDT,16.165,16.45,15.54,16.0358,733989.26,11731196.48,11959,15.995
1.53049E+12,2018-07-02,ETC/USDT,16.0017,17.04,15.6,16.6514,921193.92,15106831.49,16371,16.32
1.53058E+12,2018-07-03,ETC/USDT,16.6613,17.1671,16.022,16.1401,888958.93,14714721.82,13623,16.59455
1.53066E+12,2018-07-04,ETC/USDT,16.1896,17.495,16.0254,16.8426,662602.99,11245989.93,11770,16.7602
1.53075E+12,2018-07-05,ETC/USDT,16.8599,17.4345,16.66,17.4,802679.24,13677631.1,18231,17.04725
1.53084E+12,2018-07-06,ETC/USDT,17.405,18.4678,16.8048,18.327,1383266.95,24617389.41,29544,17.6363
1.53092E+12,2018-07-07,ETC/USDT,18.34,18.7901,17.4158,18.6621,916164.84,16519804.55,15414,18.10295
1.53101E+12,2018-07-08,ETC/USDT,18.6505,18.98,18.1207,18.3447,740441.41,13730195.13,12463,18.55035
1.53109E+12,2018-07-09,ETC/USDT,18.2921,18.75,18.0995,18.1567,738773.85,13628119.61,13342,18.42475
1.53118E+12,2018-07-10,ETC/USDT,18.1766,18.2498,16.02,16.05,1140799.43,19418708.82,20731,17.1349
1.53127E+12,2018-07-11,ETC/USDT,16.0791,16.7214,15.6504,16.44,902667.55,14633392.71,16606,16.1859
1.53135E+12,2018-07-12,ETC/USDT,16.4511,16.4512,15.67,16.3326,770853.48,12335320.81,12913,16.0606
1.53144E+12,2018-07-13,ETC/USDT,16.3651,16.85,16.056,16.27,909976.41,15038885.26,16447,16.453
1.53153E+12,2018-07-14,ETC/USDT,16.243,16.7434,16.0622,16.3634,595782.12,9711934.25,9928,16.4028
1.53161E+12,2018-07-15,ETC/USDT,16.3665,16.92,16.2507,16.6365,674323.49,11183199.25,10659,16.58535
1.5317E+12,2018-07-16,ETC/USDT,16.6366,17.5396,16.5247,17.384,844366.14,14428299.07,14231,17.03215
1.53179E+12,2018-07-17,ETC/USDT,17.3301,18.3,16.8803,17.92,1063152.13,18619871.63,20474,17.59015
1.53187E+12,2018-07-18,ETC/USDT,17.9032,18.4396,17.04,17.3411,1226583.46,21873186.19,25079,17.7398
1.53196E+12,2018-07-19,ETC/USDT,17.3288,17.9556,17.0364,17.3844,809263.5,14097541.65,13952,17.496
1.53204E+12,2018-07-20,ETC/USDT,17.3935,17.65,15.73,16.1008,847104.73,14145517.08,16770,16.69
1.53213E+12,2018-07-21,ETC/USDT,16.1009,16.7019,15.7701,16.3356,723326.2,11775655.43,10385,16.236
1.53222E+12,2018-07-22,ETC/USDT,16.3106,16.5658,16,16.1449,798029.77,13017323.43,9335,16.2829
1.5323E+12,2018-07-23,ETC/USDT,16.15,16.76,15.85,16.0477,671705.72,10915424.75,10029,16.305
1.53239E+12,2018-07-24,ETC/USDT,16.0476,16.8299,15.72,16.5948,760401.03,12476713.08,15246,16.27495
1.53248E+12,2018-07-25,ETC/USDT,16.5752,16.9085,16.12,16.5352,519882.57,8647552.85,12083,16.51425
1.53256E+12,2018-07-26,ETC/USDT,16.5405,17.4679,16.294,16.66,751866.16,12749591.22,16066,16.88095
1.53265E+12,2018-07-27,ETC/USDT,16.6599,17.23,16.31,17.0736,902071.25,15112739.87,14631,16.77
1.53274E+12,2018-07-28,ETC/USDT,17.0844,17.4,16.6028,17.0143,881786.95,14906377.59,12215,17.0014
1.53282E+12,2018-07-29,ETC/USDT,17.0143,17.15,16.683,16.8879,825160.08,13909417.43,10348,16.9165
1.53291E+12,2018-07-30,ETC/USDT,16.8955,17.4,16.6001,17.118,1067099.79,18121464.34,18103,17.00005
1.533E+12,2018-07-31,ETC/USDT,17.1354,17.1625,15.8135,16.185,926336.02,15486103.24,15230,16.488
1.53308E+12,2018-08-01,ETC/USDT,16.18,16.32,14.9442,15.4773,978358.27,15504489.16,15388,15.6321
1.53317E+12,2018-08-02,ETC/USDT,15.4731,15.6,14.5313,14.9281,1109087.46,16778027.9,14725,15.06565
1.53325E+12,2018-08-03,ETC/USDT,14.914,17.65,14.1206,16.5698,1849257.81,28645914.36,29415,15.8853
1.53334E+12,2018-08-04,ETC/USDT,16.5698,16.9553,15.83,16.4573,1562769.54,25706658.18,26500,16.39265
1.53343E+12,2018-08-05,ETC/USDT,16.4572,17.85,16.21,17.687,1485329.11,25016898.96,23509,17.03
1.53351E+12,2018-08-06,ETC/USDT,17.6869,18.7899,17.1273,18.7005,2117990.67,37947408.96,40436,17.9586
1.5336E+12,2018-08-07,ETC/USDT,18.7005,20.8016,16.66,17.3,4712762.71,88878239.21,92723,18.7308
1.53369E+12,2018-08-08,ETC/USDT,17.3001,17.3001,14.51,15.1413,2983380.94,47521699.93,59152,15.90505
1.53377E+12,2018-08-09,ETC/USDT,15.1499,15.4707,14.2981,15.0176,1630680.22,24499425.22,30634,14.8844
1.53386E+12,2018-08-10,ETC/USDT,15.0176,15.33,14.03,14.2569,839857.7,12370711.63,25011,14.68
1.53395E+12,2018-08-11,ETC/USDT,14.2567,14.2871,12.4003,13.1436,952822.39,12728473.92,25482,13.3437
1.53403E+12,2018-08-12,ETC/USDT,13.1985,13.6342,12.8,13.1844,628718.55,8329038.71,19324,13.2171
1.53412E+12,2018-08-13,ETC/USDT,13.1891,13.45,11.8508,11.9,2306175.13,29745150.26,27988,12.6504
1.5342E+12,2018-08-14,ETC/USDT,11.9,11.9687,10.0881,11.77,2621615,28490898.67,36504,11.0284
1.53429E+12,2018-08-15,ETC/USDT,11.77,13.75,11.5842,13.2459,2886277.83,35250371.44,46902,12.6671
1.53438E+12,2018-08-16,ETC/USDT,13.2001,14.95,12.8287,13.8966,4114710.24,57233726.7,69743,13.88935
1.53446E+12,2018-08-17,ETC/USDT,13.8966,14.587,12.81,14.4524,4232142.04,58294221.46,57684,13.6985
1.53455E+12,2018-08-18,ETC/USDT,14.4653,14.5772,12.5158,13.1793,3060704.47,41760530.74,36844,13.5465
1.53464E+12,2018-08-19,ETC/USDT,13.1566,13.7826,12.817,13.3035,2466991.27,32653820.41,26245,13.2998
1.53472E+12,2018-08-20,ETC/USDT,13.3036,13.5427,12.1785,12.3703,2496132.99,32631747.71,27133,12.8606
1.53481E+12,2018-08-21,ETC/USDT,12.3931,12.87,12.2026,12.732,2552094.99,31930012.1,23538,12.5363
1.5349E+12,2018-08-22,ETC/USDT,12.7472,13.47,11.8379,12.1713,2966351,37872377.55,31960,12.65395
1.53498E+12,2018-08-23,ETC/USDT,12.1884,12.6373,12.099,12.4789,2473580.96,30423522.54,22130,12.36815
1.53507E+12,2018-08-24,ETC/USDT,12.4824,12.6,12.25,12.5709,1254787.95,15595430.52,13221,12.425
1.53516E+12,2018-08-25,ETC/USDT,12.5447,12.8,12.3499,12.505,1247493.31,15648557.33,12447,12.57495
1.53524E+12,2018-08-26,ETC/USDT,12.5125,12.671,12.03,12.4457,1255325.35,15500489.97,14956,12.3505
1.53533E+12,2018-08-27,ETC/USDT,12.4404,12.7401,12.267,12.7227,1611242.3,20094829.67,18762,12.50355
1.53541E+12,2018-08-28,ETC/USDT,12.7002,13.3997,12.6049,13.1837,1784436.68,23015659.05,22961,13.0023
1.5355E+12,2018-08-29,ETC/USDT,13.1803,13.2952,12.7609,12.996,1608205.41,21019291.66,18688,13.02805
1.53559E+12,2018-08-30,ETC/USDT,12.996,13.0768,12.4268,12.848,1415488.69,18017633.12,15709,12.7518
1.53567E+12,2018-08-31,ETC/USDT,12.844,14.2,12.3184,12.7411,1501368.3,19089575.79,18360,13.2592
1.53576E+12,2018-09-01,ETC/USDT,12.7398,13.4059,12.7259,13.1736,1529867.66,20019279.2,19692,13.0659
1.53585E+12,2018-09-02,ETC/USDT,13.1793,13.4566,12.9722,13.4031,1291883.92,17070273.92,16617,13.2144
1.53593E+12,2018-09-03,ETC/USDT,13.4032,14.5652,13.4031,14.0611,2169868.14,30544021.45,36747,13.98415
1.53602E+12,2018-09-04,ETC/USDT,14.0611,14.28,13.6973,13.9819,1252213.82,17529122.24,17317,13.98865
1.53611E+12,2018-09-05,ETC/USDT,13.9895,14.0812,11.7069,11.7599,1567556.31,20300101.24,24834,12.89405
1.53619E+12,2018-09-06,ETC/USDT,11.7761,12.0758,11.1133,11.9851,1385549.46,15945710.96,21867,11.59455
1.53628E+12,2018-09-07,ETC/USDT,11.986,12.2512,11.4,11.5867,1222935.57,14416783.67,16497,11.8256
1.53636E+12,2018-09-08,ETC/USDT,11.5642,11.8513,10.6667,10.9721,1234279.35,14071939.17,14653,11.259
1.53645E+12,2018-09-09,ETC/USDT,10.9591,11.6474,10.8409,11.21,1185524.75,13379336.69,15608,11.24415
1.53654E+12,2018-09-10,ETC/USDT,11.2134,11.4999,10.9223,11.3064,1281613.77,14373345.61,15143,11.2111
1.53662E+12,2018-09-11,ETC/USDT,11.3065,11.51,10.8412,11.2605,1499231.77,16870186.14,19029,11.1756
1.53671E+12,2018-09-12,ETC/USDT,11.2675,11.3149,10.14,10.7222,1379943.42,14546813.31,19752,10.72745
1.5368E+12,2018-09-13,ETC/USDT,10.7223,11.3223,10.685,11.1085,1535626.82,16887753.11,19482,11.00365
1.53688E+12,2018-09-14,ETC/USDT,11.0791,11.3875,10.8548,10.9416,1435254.55,15920370.8,18365,11.12115
1.53697E+12,2018-09-15,ETC/USDT,10.9517,11.5799,10.91,11.28,1139800.2,12807207.74,13326,11.24495
1.53706E+12,2018-09-16,ETC/USDT,11.2713,11.3094,10.9201,11.2048,1178924.23,13143673.92,11436,11.11475
1.53714E+12,2018-09-17,ETC/USDT,11.2048,11.3175,10.0328,10.28,1392414.46,15070524.19,18431,10.67515
1.53723E+12,2018-09-18,ETC/USDT,10.2847,10.8176,10.2191,10.5548,1214597.87,12773391.83,13450,10.51835
1.53732E+12,2018-09-19,ETC/USDT,10.5605,11.2379,10.2349,10.7821,1332153.15,14116653.85,18347,10.7364
1.5374E+12,2018-09-20,ETC/USDT,10.792,11.29,10.57,11.14,1363010.07,14697221.88,14751,10.93
1.53749E+12,2018-09-21,ETC/USDT,11.1505,11.8007,11.01,11.7085,1824616.39,20726251.17,24351,11.40535
1.53757E+12,2018-09-22,ETC/USDT,11.6988,11.9,11.1751,11.4491,942330.23,10833526.29,12803,11.53755
1.53766E+12,2018-09-23,ETC/USDT,11.4479,11.7914,11.3718,11.6,1297327.21,15009783.62,16233,11.5816
1.53775E+12,2018-09-24,ETC/USDT,11.6102,11.6236,10.9601,11.0405,1317244.13,14833903.99,14579,11.29185
