unix,ds,symbol,open,high,low,close,Volume TRX,Volume USDT,tradecount,Value
1.52868E+12,2018-06-11,TRX/USDT,0.05,0.05,0.04258,0.0484,72569508.9,3361609.583,7222,0.04629
1.52876E+12,2018-06-12,TRX/USDT,0.04837,0.04849,0.04081,0.0433,189962494.5,8585564.514,19753,0.04465
1.52885E+12,2018-06-13,TRX/USDT,0.04332,0.04476,0.03726,0.04098,468993557.7,19187027.81,28599,0.04101
1.52893E+12,2018-06-14,TRX/USDT,0.04093,0.04574,0.03992,0.04505,488364234.2,21025184.11,30362,0.04283
1.52902E+12,2018-06-15,TRX/USDT,0.04506,0.04592,0.04149,0.04232,406097492.9,17896654.3,22723,0.043705
1.52911E+12,2018-06-16,TRX/USDT,0.04229,0.0436,0.04085,0.04295,353640751.6,15095982.71,17408,0.042225
1.52919E+12,2018-06-17,TRX/USDT,0.04294,0.0435,0.04219,0.04234,321205248.9,13793136,15759,0.042845
1.52928E+12,2018-06-18,TRX/USDT,0.04235,0.046,0.04111,0.04509,444293609.8,19249453.95,23149,0.043555
1.52937E+12,2018-06-19,TRX/USDT,0.0451,0.05216,0.0443,0.04965,682069690.9,32853106.87,39910,0.04823
1.52945E+12,2018-06-20,TRX/USDT,0.04967,0.05036,0.04542,0.0498,627484487.3,30193991.34,36550,0.04789
1.52954E+12,2018-06-21,TRX/USDT,0.04979,0.05092,0.0473,0.0487,487517074.1,23838384.09,26301,0.04911
1.52963E+12,2018-06-22,TRX/USDT,0.04868,0.0493,0.04125,0.0427,704300814,31403983.42,38416,0.045275
1.52971E+12,2018-06-23,TRX/USDT,0.04271,0.04496,0.04206,0.044,410180684.7,17877406.21,21061,0.04351
1.5298E+12,2018-06-24,TRX/USDT,0.04397,0.04444,0.03755,0.04205,674573640.7,27607972.2,33572,0.040995
1.52988E+12,2018-06-25,TRX/USDT,0.04205,0.04372,0.04075,0.04208,331759214.9,13938548.87,22477,0.042235
1.52997E+12,2018-06-26,TRX/USDT,0.04208,0.0423,0.03729,0.03737,214435118.9,8533355.408,15547,0.039795
1.53006E+12,2018-06-27,TRX/USDT,0.03736,0.03996,0.03666,0.03888,266803436,10210889.29,17461,0.03831
1.53014E+12,2018-06-28,TRX/USDT,0.03895,0.03981,0.03562,0.03605,355103306.8,13528996.99,24030,0.037715
1.53023E+12,2018-06-29,TRX/USDT,0.03596,0.03719,0.03315,0.03638,616344265,21703124.92,33047,0.03517
1.53032E+12,2018-06-30,TRX/USDT,0.03645,0.03997,0.03587,0.03756,721706327.6,27123204.88,56224,0.03792
1.5304E+12,2018-07-01,TRX/USDT,0.0376,0.03784,0.03601,0.03665,323005581.9,11878221.25,34622,0.036925
1.53049E+12,2018-07-02,TRX/USDT,0.03662,0.04298,0.03635,0.03962,617553915.6,24053999.53,53850,0.039665
1.53058E+12,2018-07-03,TRX/USDT,0.03964,0.04079,0.0378,0.03808,543676860.7,21433591.6,45231,0.039295
1.53066E+12,2018-07-04,TRX/USDT,0.03808,0.04012,0.03765,0.03888,257661875.5,10076208.57,16139,0.038885
1.53075E+12,2018-07-05,TRX/USDT,0.03891,0.03968,0.0364,0.03703,756133477.3,28824604.94,37706,0.03804
1.53084E+12,2018-07-06,TRX/USDT,0.03705,0.03722,0.03431,0.03584,431072065.4,15492455.18,23718,0.035765
1.53092E+12,2018-07-07,TRX/USDT,0.03585,0.03731,0.03477,0.03704,380932296.8,13516047.67,16614,0.03604
1.53101E+12,2018-07-08,TRX/USDT,0.03707,0.03814,0.0363,0.03677,387453974.3,14381669.49,18784,0.03722
1.53109E+12,2018-07-09,TRX/USDT,0.03676,0.03686,0.0353,0.0355,370122418.9,13392397.86,16922,0.03608
1.53118E+12,2018-07-10,TRX/USDT,0.03553,0.0358,0.03239,0.03318,504720829.6,17146628.7,25583,0.034095
1.53127E+12,2018-07-11,TRX/USDT,0.03319,0.03451,0.0325,0.0335,548317548.3,18301795.72,21846,0.033505
1.53135E+12,2018-07-12,TRX/USDT,0.0335,0.03351,0.03105,0.03242,529087683.3,17111371.9,22285,0.03228
1.53144E+12,2018-07-13,TRX/USDT,0.03243,0.03474,0.03225,0.0332,624021052.5,20722807.76,24378,0.033495
1.53153E+12,2018-07-14,TRX/USDT,0.0332,0.0339,0.03251,0.0333,624203829.4,20687452.44,18435,0.033205
1.53161E+12,2018-07-15,TRX/USDT,0.03339,0.03495,0.03307,0.03437,594037396.1,20317124.28,19116,0.03401
1.5317E+12,2018-07-16,TRX/USDT,0.03437,0.03778,0.03403,0.03751,736888244.3,26311196.82,28059,0.035905
1.53179E+12,2018-07-17,TRX/USDT,0.03754,0.04093,0.03602,0.03973,852853141.4,32537272.3,38962,0.038475
1.53187E+12,2018-07-18,TRX/USDT,0.03976,0.0439,0.0384,0.03969,1100192036,44653154.09,58284,0.04115
1.53196E+12,2018-07-19,TRX/USDT,0.03967,0.03972,0.03735,0.03804,786159431.9,30111324.59,33482,0.038535
1.53204E+12,2018-07-20,TRX/USDT,0.03802,0.03805,0.03434,0.03487,888893258.8,32003105.22,31395,0.036195
1.53213E+12,2018-07-21,TRX/USDT,0.03482,0.03652,0.0336,0.03554,658043763.8,23284862.43,23994,0.03506
1.53222E+12,2018-07-22,TRX/USDT,0.03555,0.03652,0.03486,0.0351,526288572.8,18818590.39,19292,0.03569
1.5323E+12,2018-07-23,TRX/USDT,0.03507,0.03649,0.03394,0.03406,800259848.8,27979177.04,25709,0.035215
1.53239E+12,2018-07-24,TRX/USDT,0.03413,0.0392,0.03279,0.0379,1334177931,48340000.92,48982,0.035995
1.53248E+12,2018-07-25,TRX/USDT,0.03796,0.03929,0.03609,0.03713,1079161813,40518193.76,35750,0.03769
1.53256E+12,2018-07-26,TRX/USDT,0.03717,0.03879,0.03535,0.03593,987999714.1,37044107.81,29918,0.03707
1.53265E+12,2018-07-27,TRX/USDT,0.03586,0.03717,0.0351,0.03654,858778885.8,31155781.5,26639,0.036135
1.53274E+12,2018-07-28,TRX/USDT,0.03656,0.03697,0.03573,0.0369,783963947.4,28612956.09,20324,0.03635
1.53282E+12,2018-07-29,TRX/USDT,0.03693,0.041,0.0368,0.03905,738737711.5,28382082.19,33038,0.0389
1.53291E+12,2018-07-30,TRX/USDT,0.03901,0.03961,0.03516,0.03635,725668372.4,26877411.94,30900,0.037385
1.533E+12,2018-07-31,TRX/USDT,0.03634,0.03643,0.03319,0.03373,968338101.2,33318881.13,29431,0.03481
1.53308E+12,2018-08-01,TRX/USDT,0.0338,0.03395,0.03141,0.03252,931494824.3,30592773.81,26940,0.03268
1.53317E+12,2018-08-02,TRX/USDT,0.03252,0.03317,0.03059,0.03128,857218305.6,27204176.66,27096,0.03188
1.53325E+12,2018-08-03,TRX/USDT,0.03129,0.03155,0.02917,0.03039,889167873,26976589.75,28409,0.03036
1.53334E+12,2018-08-04,TRX/USDT,0.0304,0.03126,0.02827,0.02879,818507481.3,24343231.83,26048,0.029765
1.53343E+12,2018-08-05,TRX/USDT,0.02879,0.03059,0.0281,0.03025,628989651.8,18345135.13,19868,0.029345
1.53351E+12,2018-08-06,TRX/USDT,0.03026,0.03109,0.02868,0.02912,813018411.6,24006008.36,23257,0.029885
1.5336E+12,2018-08-07,TRX/USDT,0.02914,0.02995,0.02739,0.02766,869392315.3,25207688.08,27134,0.02867
