unix,ds,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount,Value
1.52772E+12,2018-05-31,XLM/USDT,0.28021,0.306,0.28021,0.29568,13858336.58,4107705.321,8514,0.293105
1.52781E+12,2018-06-01,XLM/USDT,0.29567,0.29999,0.27963,0.28863,20363494.36,5898006.855,12578,0.28981
1.5279E+12,2018-06-02,XLM/USDT,0.28869,0.30489,0.28812,0.2974,21831274.53,6478733.804,13312,0.296505
1.52798E+12,2018-06-03,XLM/USDT,0.29741,0.312,0.29651,0.30405,21640031.26,6572281.818,18350,0.304255
1.52807E+12,2018-06-04,XLM/USDT,0.30406,0.31104,0.28501,0.2908,17487526.89,5170509.819,11956,0.298025
1.52816E+12,2018-06-05,XLM/USDT,0.29022,0.29876,0.27801,0.29403,15259665.07,4403409.776,15248,0.288385
1.52824E+12,2018-06-06,XLM/USDT,0.29403,0.30151,0.28817,0.2995,15572839.03,4567543.049,13152,0.29484
1.52833E+12,2018-06-07,XLM/USDT,0.29959,0.3062,0.29,0.29298,17873474.34,5349413.955,16561,0.2981
1.52842E+12,2018-06-08,XLM/USDT,0.29284,0.29542,0.28471,0.28698,17749233.55,5135562.583,9298,0.290065
1.5285E+12,2018-06-09,XLM/USDT,0.28698,0.29135,0.27777,0.28027,18505595.52,5285220.962,8151,0.28456
1.52859E+12,2018-06-10,XLM/USDT,0.28027,0.287,0.23681,0.24402,20539255.42,5323064.603,12459,0.261905
1.52868E+12,2018-06-11,XLM/USDT,0.24472,0.258,0.23377,0.25332,15650347.87,3797402.929,9531,0.245885
1.52876E+12,2018-06-12,XLM/USDT,0.25329,0.25332,0.213,0.22717,17130990.6,4098949.177,9487,0.23316
1.52885E+12,2018-06-13,XLM/USDT,0.22622,0.23056,0.20331,0.21839,18906513.51,4165786.341,11330,0.216935
1.52893E+12,2018-06-14,XLM/USDT,0.2184,0.2438,0.21641,0.2399,22050182.15,5115164.445,12707,0.230105
1.52902E+12,2018-06-15,XLM/USDT,0.23993,0.24238,0.22799,0.22899,18277900.33,4321376.163,9236,0.235185
1.52911E+12,2018-06-16,XLM/USDT,0.22883,0.23374,0.22231,0.22953,14746164.21,3380495.675,7401,0.228025
1.52919E+12,2018-06-17,XLM/USDT,0.2299,0.23382,0.22571,0.22814,14393871.3,3315165.67,6335,0.229765
1.52928E+12,2018-06-18,XLM/USDT,0.22815,0.24051,0.21955,0.23262,17161710.06,3924005.726,8637,0.23003
1.52937E+12,2018-06-19,XLM/USDT,0.23302,0.24054,0.22979,0.23409,15353618.48,3589450.673,7811,0.235165
1.52945E+12,2018-06-20,XLM/USDT,0.23469,0.23673,0.22341,0.23067,15856602.15,3646019.153,7880,0.23007
1.52954E+12,2018-06-21,XLM/USDT,0.23099,0.23565,0.225,0.22643,15045869,3461164.308,7231,0.230325
1.52963E+12,2018-06-22,XLM/USDT,0.22642,0.22727,0.19597,0.2004,20380324.97,4316259.673,12586,0.21162
1.52971E+12,2018-06-23,XLM/USDT,0.2004,0.20543,0.195,0.20212,13574938.66,2712059.605,6211,0.200215
1.5298E+12,2018-06-24,XLM/USDT,0.20212,0.20242,0.17607,0.19277,22024662.28,4146247.352,11454,0.189245
1.52988E+12,2018-06-25,XLM/USDT,0.19278,0.20343,0.18663,0.19751,21302401.73,4138074.607,9295,0.19503
1.52997E+12,2018-06-26,XLM/USDT,0.19751,0.19832,0.18286,0.18345,12781347.82,2440288.83,5973,0.19059
1.53006E+12,2018-06-27,XLM/USDT,0.18294,0.19309,0.18028,0.19036,15759160.53,2940934.555,6300,0.186685
1.53014E+12,2018-06-28,XLM/USDT,0.19101,0.19251,0.17462,0.17702,18088683,3399323.07,8305,0.183565
1.53023E+12,2018-06-29,XLM/USDT,0.17667,0.1897,0.17062,0.18653,21507808.72,3801897.841,9514,0.18016
1.53032E+12,2018-06-30,XLM/USDT,0.18691,0.204,0.18643,0.19319,23387528.78,4555281.324,11660,0.195215
1.5304E+12,2018-07-01,XLM/USDT,0.19352,0.20059,0.18887,0.19989,21264001.96,4123689.781,9128,0.19473
1.53049E+12,2018-07-02,XLM/USDT,0.1997,0.21832,0.193,0.21483,29355956.18,6045077.259,12824,0.20566
1.53058E+12,2018-07-03,XLM/USDT,0.21483,0.22289,0.2032,0.2053,26509634.97,5636798.719,11459,0.213045
1.53066E+12,2018-07-04,XLM/USDT,0.2053,0.2323,0.2036,0.2105,15621670.91,3315090.911,6363,0.21795
1.53075E+12,2018-07-05,XLM/USDT,0.21065,0.21572,0.19719,0.2006,17412906.49,3603810.406,8148,0.206455
1.53084E+12,2018-07-06,XLM/USDT,0.2006,0.21081,0.19535,0.2068,16202885.66,3297773.514,8431,0.20308
1.53092E+12,2018-07-07,XLM/USDT,0.20676,0.209,0.19886,0.20836,20911837.14,4266676.049,8304,0.20393
1.53101E+12,2018-07-08,XLM/USDT,0.20786,0.2178,0.20662,0.21033,25924066.46,5456527.71,9855,0.21221
1.53109E+12,2018-07-09,XLM/USDT,0.21034,0.215,0.20475,0.20575,21092165.95,4439867.646,8426,0.209875
1.53118E+12,2018-07-10,XLM/USDT,0.2055,0.20685,0.19011,0.19086,21169769.11,4154620.012,9415,0.19848
1.53127E+12,2018-07-11,XLM/USDT,0.19087,0.19407,0.18382,0.18921,25564887.9,4801025.669,8037,0.188945
1.53135E+12,2018-07-12,XLM/USDT,0.18981,0.18981,0.18022,0.18424,22069823.51,4036303.109,8014,0.185015
1.53144E+12,2018-07-13,XLM/USDT,0.18423,0.20865,0.1818,0.20515,26406988.88,5112971.883,12792,0.195225
1.53153E+12,2018-07-14,XLM/USDT,0.20544,0.21495,0.19697,0.2085,24530500.83,5004520.191,11961,0.20596
1.53161E+12,2018-07-15,XLM/USDT,0.20838,0.22485,0.20595,0.22118,28916401.04,6268615.276,14324,0.2154
1.5317E+12,2018-07-16,XLM/USDT,0.22114,0.23992,0.21894,0.23948,31664564.3,7243751.813,16729,0.22943
1.53179E+12,2018-07-17,XLM/USDT,0.23852,0.263,0.22821,0.25373,39538467.89,9543818.058,21795,0.245605
1.53187E+12,2018-07-18,XLM/USDT,0.25349,0.331,0.2531,0.29767,118657097,34728393.71,72806,0.29205
1.53196E+12,2018-07-19,XLM/USDT,0.29773,0.32118,0.27899,0.30569,123990548.3,37617033.33,66969,0.300085
1.53204E+12,2018-07-20,XLM/USDT,0.30569,0.3065,0.26261,0.26883,86033897.71,24523628.1,45836,0.284555
1.53213E+12,2018-07-21,XLM/USDT,0.26884,0.2973,0.25526,0.29279,58318717.82,16474868.4,36075,0.27628
1.53222E+12,2018-07-22,XLM/USDT,0.29229,0.30779,0.27975,0.2831,61572196.78,18156427.46,36464,0.29377
1.5323E+12,2018-07-23,XLM/USDT,0.28345,0.315,0.28014,0.28623,51450191.73,15029170.49,30415,0.29757
1.53239E+12,2018-07-24,XLM/USDT,0.286,0.30699,0.2805,0.30052,48821951.39,14446768.91,33515,0.293745
1.53248E+12,2018-07-25,XLM/USDT,0.30019,0.35254,0.295,0.33371,83229151.77,26570073.97,46094,0.32377
1.53256E+12,2018-07-26,XLM/USDT,0.334,0.35048,0.29355,0.30815,98382337.47,31873335.66,51396,0.322015
1.53265E+12,2018-07-27,XLM/USDT,0.3081,0.32802,0.2953,0.31889,61091695.44,18963562.45,30930,0.31166
1.53274E+12,2018-07-28,XLM/USDT,0.3189,0.324,0.30744,0.315,29561133.45,9363730.763,16084,0.31572
1.53282E+12,2018-07-29,XLM/USDT,0.31507,0.31944,0.3036,0.30793,24595639.88,7635553.212,12862,0.31152
1.53291E+12,2018-07-30,XLM/USDT,0.30793,0.30849,0.27628,0.29466,37732103.21,11043408.41,19269,0.292385
