unix,ds,symbol,open,high,low,close,Volume ZEC,Volume USDT,tradecount,Value
1.55313E+12,2019-03-21,ZEC/USDT,58.5,59.1,53.31,55.14,7780.91395,439917.2731,1882,56.205
1.55321E+12,2019-03-22,ZEC/USDT,55.37,56.56,54.42,55.07,5182.07127,286909.1343,1360,55.49
1.5533E+12,2019-03-23,ZEC/USDT,55.06,56.9,54.78,56.9,3435.73138,190964.3467,917,55.84
1.55339E+12,2019-03-24,ZEC/USDT,56.8,58.44,55.81,57.21,8357.05638,478186.0918,1813,57.125
1.55347E+12,2019-03-25,ZEC/USDT,57.06,57.13,53.78,55.32,4922.4201,274141.652,1117,55.455
1.55356E+12,2019-03-26,ZEC/USDT,55.32,55.5,52.72,54.49,3951.24438,212108.6832,894,54.11
1.55364E+12,2019-03-27,ZEC/USDT,54.5,57.35,54.49,56.96,4350.00589,241493.3667,1059,55.92
1.55373E+12,2019-03-28,ZEC/USDT,56.8,56.8,55.29,56.18,5429.87373,303098.3219,1103,56.045
1.55382E+12,2019-03-29,ZEC/USDT,56.15,58.12,55.1,57.14,8048.82943,453946.9213,1686,56.61
1.5539E+12,2019-03-30,ZEC/USDT,57.15,57.44,55.6,57.1,3709.98578,210420.9254,964,56.52
1.55399E+12,2019-03-31,ZEC/USDT,56.81,59.52,56.73,58.65,11424.86631,664704.6984,2173,58.125
1.55408E+12,2019-04-01,ZEC/USDT,58.78,63.68,58.13,62.7,14320.42676,884575.3533,3377,60.905
1.55416E+12,2019-04-02,ZEC/USDT,62.69,70.99,60.56,69.6,29209.1403,1915070.417,7148,65.775
1.55425E+12,2019-04-03,ZEC/USDT,69.53,77,66,69.55,26319.22623,1892511.129,7645,71.5
1.55434E+12,2019-04-04,ZEC/USDT,69.11,71.37,64.59,66.78,11785.24136,801465.0089,3648,67.98
1.55442E+12,2019-04-05,ZEC/USDT,66.91,72.62,66.91,72.05,13442.0753,949160.8078,3590,69.765
1.55451E+12,2019-04-06,ZEC/USDT,71.62,73.12,69.14,71.23,7766.29711,551161.6289,2768,71.13
1.5546E+12,2019-04-07,ZEC/USDT,71.38,75,70.52,74.37,14712.68656,1075249.988,4238,72.76
1.55468E+12,2019-04-08,ZEC/USDT,74.21,76.07,68.85,72.19,14024.24424,1019916.622,4561,72.46
1.55477E+12,2019-04-09,ZEC/USDT,72.2,72.2,68.6,70.3,14949.76326,1041357.535,3111,70.4
1.55485E+12,2019-04-10,ZEC/USDT,70.43,73.79,70.07,71.75,10810.99401,777505.522,3184,71.93
1.55494E+12,2019-04-11,ZEC/USDT,71.85,72.11,63.32,69.61,13912.92374,942696.097,4080,67.715
1.55503E+12,2019-04-12,ZEC/USDT,69.59,71.81,67.14,70.94,21759.37412,1524884.83,4437,69.475
1.55511E+12,2019-04-13,ZEC/USDT,71.09,71.24,68.3,69.08,5477.3534,381725.0087,1885,69.77
1.5552E+12,2019-04-14,ZEC/USDT,69.11,70.25,66.95,69.6,4003.31204,274939.4883,1907,68.6
1.55529E+12,2019-04-15,ZEC/USDT,69.6,70.28,65.4,67.45,6269.86479,427509.4732,2323,67.84
1.55537E+12,2019-04-16,ZEC/USDT,67.42,69.48,66.76,68.98,4636.8703,314649.5576,1564,68.12
1.55546E+12,2019-04-17,ZEC/USDT,68.98,71.47,67.45,70.09,5366.13533,371547.9069,2017,69.46
1.55555E+12,2019-04-18,ZEC/USDT,70.25,71.75,69.6,70.26,7158.85162,506410.1622,2400,70.675
1.55563E+12,2019-04-19,ZEC/USDT,70.26,70.28,68.8,69.23,3597.43307,250539.3663,1470,69.54
1.55572E+12,2019-04-20,ZEC/USDT,69.4,69.98,68.34,69.35,3127.81037,216781.8055,1011,69.16
1.5558E+12,2019-04-21,ZEC/USDT,69.5,69.6,66.09,67.91,4550.43867,307446.3582,1571,67.845
1.55589E+12,2019-04-22,ZEC/USDT,68.11,70.17,65.92,68.76,5441.6022,371791.0102,2063,68.045
1.55598E+12,2019-04-23,ZEC/USDT,68.95,70.97,66.45,66.45,6335.42537,437343.3573,2271,68.71
1.55606E+12,2019-04-24,ZEC/USDT,66.64,67.09,61.87,65.26,8735.95642,561888.7268,2483,64.48
1.55615E+12,2019-04-25,ZEC/USDT,65.18,66.19,60.31,61.89,5757.95567,365016.1976,1902,63.25
1.55624E+12,2019-04-26,ZEC/USDT,61.93,64.72,59.17,61.88,12366.6649,760447.399,2798,61.945
1.55632E+12,2019-04-27,ZEC/USDT,62.01,62.75,60.19,61.55,5146.66358,314281.5709,1314,61.47
1.55641E+12,2019-04-28,ZEC/USDT,61.56,62.57,60.36,60.6,2733.98514,167934.7287,851,61.465
1.5565E+12,2019-04-29,ZEC/USDT,60.42,60.79,57.05,57.89,5610.84906,330354.2,1483,58.92
1.55658E+12,2019-04-30,ZEC/USDT,57.89,60.85,57.3,60.66,5564.06161,328794.5774,1423,59.075
1.55667E+12,2019-05-01,ZEC/USDT,60.47,61.67,59.6,61.06,4083.6477,247006.4035,1405,60.635
