unix,ds,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount,Value
1.51356E+12,2017-12-18,BNB/USDT,5.999,6.1,4.75,6,1430171.07,7898873.16,15041,5.425
1.51364E+12,2017-12-19,BNB/USDT,5.98,6.463,5.2725,5.6999,1784870.53,10454908.08,18851,5.86775
1.51373E+12,2017-12-20,BNB/USDT,5.69,5.7,4.68,5.1502,1397302.05,7254130.95,14265,5.19
1.51381E+12,2017-12-21,BNB/USDT,5.1819,5.6899,4.42,5.1596,996548.76,5040755.017,11172,5.05495
1.5139E+12,2017-12-22,BNB/USDT,5.1596,5.1996,3.25,4.2912,1599471.66,6727001.092,17670,4.2248
1.51399E+12,2017-12-23,BNB/USDT,4.2912,4.998,4.17,4.4,964500.62,4432830.07,16774,4.584
1.51407E+12,2017-12-24,BNB/USDT,4.4,5.2,3.8,5.181,1047106.95,4706891.053,46818,4.5
1.51416E+12,2017-12-25,BNB/USDT,5.1899,6.88,5.029,6.4631,1480881.6,8940235.58,36765,5.9545
1.51425E+12,2017-12-26,BNB/USDT,6.4631,10.793,6.35,9.254,3081660.72,25800543.06,72074,8.5715
1.51433E+12,2017-12-27,BNB/USDT,9.2861,11.3,8.2605,10.0731,2851073.22,27989687.57,64300,9.78025
1.51442E+12,2017-12-28,BNB/USDT,10.07,10.25,7.8,9.25,2593236.47,22221179.91,165192,9.025
1.51451E+12,2017-12-29,BNB/USDT,9.28,9.802,8.39,8.7094,1401565.33,12573057.27,30865,9.096
1.51459E+12,2017-12-30,BNB/USDT,8.6808,8.7094,6.9301,7.5947,1648305.01,12799185.76,32178,7.81975
1.51468E+12,2017-12-31,BNB/USDT,7.5783,8.798,7.5175,8.53,1289214.15,10608475.15,31704,8.15775
1.51476E+12,2018-01-01,BNB/USDT,8.5478,8.7,7.8,8.45,654338.84,5400587.859,20279,8.25
1.51485E+12,2018-01-02,BNB/USDT,8.45,9.1133,8.0922,8.715,1262633.42,10811231.72,33193,8.60275
1.51494E+12,2018-01-03,BNB/USDT,8.7151,9.4697,8.2653,9.304,947392.65,8256005.928,27401,8.8675
1.51502E+12,2018-01-04,BNB/USDT,9.304,9.6511,8.5595,9.143,964494.94,8720171.271,28847,9.1053
1.51511E+12,2018-01-05,BNB/USDT,9.135,16.8172,8.9651,14.8908,2764977.04,34978202.42,51841,12.89115
1.5152E+12,2018-01-06,BNB/USDT,14.8908,23.6,14.6999,22.6,3130487.22,57138637.82,70041,19.14995
1.51528E+12,2018-01-07,BNB/USDT,22.6,22.6599,18.05,18.594,1543764.49,31345967.06,46194,20.35495
1.51537E+12,2018-01-08,BNB/USDT,18.5375,19.2999,14.0018,17.9971,2112065.22,36185866.15,49814,16.65085
1.51546E+12,2018-01-09,BNB/USDT,18.04,20.6114,16.435,17.399,1309277.95,23915578.64,42380,18.5232
1.51554E+12,2018-01-10,BNB/USDT,17.3992,17.5554,14.6004,17.5,1172651.15,18789438.2,42308,16.0779
1.51563E+12,2018-01-11,BNB/USDT,17.5,23.1079,13.66,21.2024,3542366.83,66194432.31,88612,18.38395
1.51572E+12,2018-01-12,BNB/USDT,21.1022,25.18,19.1,22.1999,2902338.37,65523685.06,86735,22.14
