unix,ds,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount,Value
1.52747E+12,2018-05-28,EOS/USDT,12.49,12.65,11.28,11.4788,3494258.32,41697515.3,33754,11.965
1.52755E+12,2018-05-29,EOS/USDT,11.4853,12.465,10.7,12.1112,6709192.34,78163973.77,67086,11.5825
1.52764E+12,2018-05-30,EOS/USDT,12.1113,12.82,11.6206,11.8968,6514864.18,78559433.81,52521,12.2203
1.52772E+12,2018-05-31,EOS/USDT,11.8712,12.74,11.8116,12.2353,6540020.8,80454508.71,55055,12.2758
1.52781E+12,2018-06-01,EOS/USDT,12.2351,12.3889,11.8354,12.2048,5946136.88,72160734.2,53090,12.11215
1.5279E+12,2018-06-02,EOS/USDT,12.2143,15.6774,12.1039,14.6976,9812623.63,137660461.8,133426,13.89065
1.52798E+12,2018-06-03,EOS/USDT,14.6976,15.451,14.2266,14.5304,5800716.38,85527513.83,81730,14.8388
1.52807E+12,2018-06-04,EOS/USDT,14.5304,14.8424,13.23,13.462,4878116.53,67436603.01,69831,14.0362
1.52816E+12,2018-06-05,EOS/USDT,13.4619,14.3,12.71,14.1996,6430602.84,87989130.24,86468,13.505
1.52824E+12,2018-06-06,EOS/USDT,14.1978,14.3,13.3677,13.9072,5958713.33,82746536.4,69194,13.83385
1.52833E+12,2018-06-07,EOS/USDT,13.91,14.7409,13.6,14.7207,6061410.77,84985557.6,69656,14.17045
1.52842E+12,2018-06-08,EOS/USDT,14.7205,14.9,13.55,13.9637,2727726.06,38752065.58,66798,14.225
1.5285E+12,2018-06-09,EOS/USDT,13.9794,15.0015,13.92,14.15,2592900.65,37660350.15,70817,14.46075
1.52859E+12,2018-06-10,EOS/USDT,14.15,14.1642,10.98,11.7313,10540465.95,134421113.9,117253,12.5721
1.52868E+12,2018-06-11,EOS/USDT,11.7355,11.93,10.61,11.7719,8878723.1,100318882.5,109917,11.27
1.52876E+12,2018-06-12,EOS/USDT,11.771,11.78,9.68,10.0909,9168694.85,99873337.99,98326,10.73
1.52885E+12,2018-06-13,EOS/USDT,10.0909,10.47,9.12,10.037,10351432.78,102359990.5,113104,9.795
1.52893E+12,2018-06-14,EOS/USDT,10.0312,11.7899,9.462,11.2534,10052349,106523028.9,128840,10.62595
1.52902E+12,2018-06-15,EOS/USDT,11.2534,11.45,10.5107,10.6547,5408054.38,59514835.84,81960,10.98035
1.52911E+12,2018-06-16,EOS/USDT,10.6504,10.8667,10.16,10.5254,6053921.05,64397314.35,69941,10.51335
1.52919E+12,2018-06-17,EOS/USDT,10.5254,10.75,10.25,10.3388,1627761.79,17059301.82,38446,10.5
1.52928E+12,2018-06-18,EOS/USDT,10.3388,10.899,10.0963,10.6791,10669784.21,110552297,73020,10.49765
1.52937E+12,2018-06-19,EOS/USDT,10.6738,10.9693,10.38,10.658,7961229.86,84254902.55,53189,10.67465
1.52945E+12,2018-06-20,EOS/USDT,10.6507,10.7495,10.16,10.412,8798849.05,91455464.48,59765,10.45475
1.52954E+12,2018-06-21,EOS/USDT,10.4077,10.83,10.2032,10.4099,8923799.16,93496975.06,55757,10.5166
1.52963E+12,2018-06-22,EOS/USDT,10.4031,10.432,8.246,8.5198,11547386.83,106261475.9,100813,9.339
1.52971E+12,2018-06-23,EOS/USDT,8.5133,8.747,8.068,8.4464,8165524.12,68441150.6,54241,8.4075
1.5298E+12,2018-06-24,EOS/USDT,8.4464,8.5153,6.92,8.06,8983446.42,68460743.08,74559,7.71765
1.52988E+12,2018-06-25,EOS/USDT,8.0526,8.7,7.668,8.3358,9612531.13,78832873.16,59566,8.184
1.52997E+12,2018-06-26,EOS/USDT,8.3357,8.3999,7.5329,7.576,5966985.99,47376969.37,39383,7.9664
