unix,ds,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount,Value
1.5476E+12,2019-01-16,LINK/USDT,0.5355,0.5355,0.4668,0.4895,1343660.31,665013.6444,3492,0.50115
1.54768E+12,2019-01-17,LINK/USDT,0.4895,0.4953,0.4639,0.4756,1411725.35,673447.2086,3987,0.4796
1.54777E+12,2019-01-18,LINK/USDT,0.4762,0.5112,0.4601,0.4894,984417.59,474999.2862,5662,0.48565
1.54786E+12,2019-01-19,LINK/USDT,0.4908,0.5,0.4673,0.4831,735443.2,354090.041,4482,0.48365
1.54794E+12,2019-01-20,LINK/USDT,0.4803,0.492,0.459,0.4834,677499.56,323333.5538,2098,0.4755
1.54803E+12,2019-01-21,LINK/USDT,0.4839,0.5198,0.465,0.4972,897787.84,446086.7876,3020,0.4924
1.54812E+12,2019-01-22,LINK/USDT,0.496,0.5656,0.4956,0.5344,1784953.5,955513.881,4972,0.5306
1.5482E+12,2019-01-23,LINK/USDT,0.5342,0.5475,0.4901,0.5046,1827069.39,940352.2978,4592,0.5188
1.54829E+12,2019-01-24,LINK/USDT,0.5046,0.5065,0.4518,0.5017,1529219.53,745639.1277,3970,0.47915
1.54837E+12,2019-01-25,LINK/USDT,0.5031,0.5157,0.4712,0.4739,1112869.08,544844.8441,3319,0.49345
1.54846E+12,2019-01-26,LINK/USDT,0.4736,0.4884,0.4624,0.4661,865653.89,410185.8216,2529,0.4754
1.54855E+12,2019-01-27,LINK/USDT,0.4661,0.4666,0.4229,0.4303,2278919.65,1004304.902,4757,0.44475
1.54863E+12,2019-01-28,LINK/USDT,0.431,0.4313,0.3504,0.4116,4006211.85,1540777.019,7036,0.39085
1.54872E+12,2019-01-29,LINK/USDT,0.4104,0.4638,0.4061,0.4505,5190825.37,2252399.736,10723,0.43495
1.54881E+12,2019-01-30,LINK/USDT,0.4505,0.4514,0.413,0.4249,2092369.59,897815.1269,5128,0.4322
1.54889E+12,2019-01-31,LINK/USDT,0.425,0.441,0.3811,0.3832,2029033.61,826552.0302,4899,0.41105
