unix,ds,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount,Value
1.51356E+12,2017-12-18,NEO/USDT,67.187,81.474,60,77.038,153215.715,10915663.62,13353,70.737
1.51364E+12,2017-12-19,NEO/USDT,77.204,83.8,63.21,69.75,189528.411,13704962.21,15593,73.505
1.51373E+12,2017-12-20,NEO/USDT,69.59,80,56,76.879,202837.611,13676523.92,15084,68
1.51381E+12,2017-12-21,NEO/USDT,76.49,81.5,62.22,70.75,146532.971,10468680.67,11447,71.86
1.5139E+12,2017-12-22,NEO/USDT,70.506,71.685,42,55.365,364115.945,19826314.11,22955,56.8425
1.51399E+12,2017-12-23,NEO/USDT,55.364,66,53.975,56.497,159410.55,9628124.762,12861,59.9875
1.51407E+12,2017-12-24,NEO/USDT,55.222,58.498,48.65,58.34,142864.983,7674503.678,14141,53.574
1.51416E+12,2017-12-25,NEO/USDT,58.34,67.99,55.947,65.476,90735.532,5484715.64,11724,61.9685
1.51425E+12,2017-12-26,NEO/USDT,65.5,67.738,61.08,65.231,88894.243,5677504.02,12075,64.409
1.51433E+12,2017-12-27,NEO/USDT,65.51,70.1,61,66.3,97680.051,6417955.609,12378,65.55
1.51442E+12,2017-12-28,NEO/USDT,66.299,66.922,56,64.48,125190.155,7528688.209,12133,61.461
1.51451E+12,2017-12-29,NEO/USDT,64.279,74.93,62.73,73.133,104557.455,7047493.784,12057,68.83
1.51459E+12,2017-12-30,NEO/USDT,73.333,74.244,60,70.783,149332.098,9901301.831,17689,67.122
1.51468E+12,2017-12-31,NEO/USDT,71.193,77.774,66,74.853,124362.869,9047326.945,16496,71.887
1.51476E+12,2018-01-01,NEO/USDT,74.854,80,71.05,78.299,81411.846,6134136.411,11129,75.525
1.51485E+12,2018-01-02,NEO/USDT,78.255,96.997,78.246,89.696,200642.887,17534972.07,27808,87.6215
1.51494E+12,2018-01-03,NEO/USDT,89.6,104.885,85.3,103.505,157777.608,14650169.13,26245,95.0925
1.51502E+12,2018-01-04,NEO/USDT,103.506,108.88,94.5,97.669,112336.601,11278997.5,22000,101.69
1.51511E+12,2018-01-05,NEO/USDT,97.669,106.997,88,95.134,136754.802,13318535.02,22618,97.4985
1.5152E+12,2018-01-06,NEO/USDT,95.135,102.869,90.392,100.491,67541.119,6577322.757,12657,96.6305
1.51528E+12,2018-01-07,NEO/USDT,100.092,109,97,103.096,51435.255,5320430.627,9847,103
1.51537E+12,2018-01-08,NEO/USDT,102.599,108.899,82.5,101.361,96541.847,9413613.003,15885,95.6995
1.51546E+12,2018-01-09,NEO/USDT,101.262,131,100.879,126.7,163943.227,19437483.39,25481,115.9395
1.51554E+12,2018-01-10,NEO/USDT,126.911,127.886,106.331,122.239,217513.907,25937804.82,26260,117.1085
1.51563E+12,2018-01-11,NEO/USDT,122.871,125,91.1,107.701,172426.94,18824489.16,24462,108.05
1.51572E+12,2018-01-12,NEO/USDT,107.701,126.099,101.49,123.111,84911.316,10006065.03,17125,113.7945
1.5158E+12,2018-01-13,NEO/USDT,123.111,149.98,119,139.777,114714.28,15536376.54,21525,134.49
1.51589E+12,2018-01-14,NEO/USDT,139.012,186,132,170,241962.311,36340525.26,43338,159
1.51597E+12,2018-01-15,NEO/USDT,170,198.6,143.39,189.382,404036.922,69455526.98,78879,170.995
1.51606E+12,2018-01-16,NEO/USDT,189.382,190.7,88.888,137.502,1191407.185,169770805.2,142205,139.794
1.51615E+12,2018-01-17,NEO/USDT,137.502,156.19,91.34,142,1578232.549,192840988.8,173316,123.765
1.51623E+12,2018-01-18,NEO/USDT,142,159.223,127,139.501,780008.366,112484258.1,113672,143.1115
1.51632E+12,2018-01-19,NEO/USDT,138.657,148.25,126.31,139.523,420299.152,58568689.59,65026,137.28
1.51641E+12,2018-01-20,NEO/USDT,139.523,157.26,137.579,149.999,319117.756,46813710.65,57277,147.4195
1.51649E+12,2018-01-21,NEO/USDT,150.287,151,124,132.589,301735.925,40967758.82,57126,137.5
1.51658E+12,2018-01-22,NEO/USDT,132.899,139,110.85,123.314,315449.808,39151978.42,57663,124.925
1.51667E+12,2018-01-23,NEO/USDT,123.347,131,108.5,122.77,288073.929,34733577.37,52236,119.75
1.51675E+12,2018-01-24,NEO/USDT,122.77,147,116.8,138,365376.365,48976884.01,72290,131.9
1.51684E+12,2018-01-25,NEO/USDT,138,148.329,135.07,138.024,218161.791,30719645.92,45733,141.6995
1.51692E+12,2018-01-26,NEO/USDT,138.023,141.5,123.79,137.621,252032.465,33561954.79,49671,132.645
1.51701E+12,2018-01-27,NEO/USDT,137.7,143,134.268,141.959,110428.369,15362101.56,25641,138.634
1.5171E+12,2018-01-28,NEO/USDT,141.959,156,141,154.101,165493.158,24470272.89,41096,148.5
1.51718E+12,2018-01-29,NEO/USDT,154.1,169.2,148.7,168.289,283531.324,45218934.56,72963,158.95
1.51727E+12,2018-01-30,NEO/USDT,168.287,169.999,136.45,146.185,440562.694,67309328.82,108487,153.2245
1.51736E+12,2018-01-31,NEO/USDT,146.185,147.9,132.901,146.488,243709.537,34456745.94,60631,140.4005
1.51744E+12,2018-02-01,NEO/USDT,146.101,147.6,112.78,126.5,397262.992,51386327.59,86267,130.19
1.51753E+12,2018-02-02,NEO/USDT,126.5,132.03,93.94,121.155,763993.41,88030710.37,136854,112.985
1.51762E+12,2018-02-03,NEO/USDT,121.155,129.93,108.05,124.601,346512.532,42026476.26,78504,118.99
1.5177E+12,2018-02-04,NEO/USDT,124.601,125,100.64,107.025,355973.816,39665821.55,73498,112.82
1.51779E+12,2018-02-05,NEO/USDT,107.025,109.85,73.626,82.136,969744.83,86451828.94,139217,91.738
1.51788E+12,2018-02-06,NEO/USDT,82.137,110.21,64.3,103.534,1649845.116,140651077.8,234327,87.255
1.51796E+12,2018-02-07,NEO/USDT,103.535,119.5,93,102.337,1153333.09,125031451.8,188986,106.25
1.51805E+12,2018-02-08,NEO/USDT,102.003,111,101.302,109.2,36451.642,3907171.211,5113,106.151
1.51813E+12,2018-02-09,NEO/USDT,109.32,116,109.32,114.52,310399.422,35343194.59,44906,112.66
1.51822E+12,2018-02-10,NEO/USDT,114.572,119.79,100.301,107.3,484147.251,53375433.22,102419,110.0455
1.51831E+12,2018-02-11,NEO/USDT,107.3,111.84,93.1,101.707,558336.262,57293725.79,122683,102.47
1.51839E+12,2018-02-12,NEO/USDT,101.661,115.12,101.661,111.89,491482.53,54572294.93,107957,108.3905
1.51848E+12,2018-02-13,NEO/USDT,111.897,113,106.222,108.5,249026.013,27262159.29,62554,109.611
1.51857E+12,2018-02-14,NEO/USDT,108.384,123,108.23,122.001,363358.118,42089361.57,90738,115.615
1.51865E+12,2018-02-15,NEO/USDT,121.923,124.5,116.1,121.003,361031.833,43751493.62,97690,120.3
1.51874E+12,2018-02-16,NEO/USDT,121.003,129.45,117.601,127.415,267448.945,33061392.05,81143,123.5255
1.51883E+12,2018-02-17,NEO/USDT,127.415,138.76,127.03,134.999,297993.945,39876614.97,89999,132.895
1.51891E+12,2018-02-18,NEO/USDT,134.999,136.878,120.748,125.121,299278.192,38243243.13,90358,128.813
1.519E+12,2018-02-19,NEO/USDT,125.138,137.56,123.702,136.391,235288.119,31290204.15,67888,130.631
1.51908E+12,2018-02-20,NEO/USDT,136.391,140.849,123.8,124.66,300979.475,40242235.09,85071,132.3245
1.51917E+12,2018-02-21,NEO/USDT,124.661,128.551,114.321,117.697,416877.348,50555587.78,101687,121.436
