"Date","Value","Country"
"1901-09-01","20.311","Afghanistan"
"1901-10-01","12.571","Afghanistan"
"1901-11-01","8.827","Afghanistan"
"1901-12-01","3.673","Afghanistan"
"1902-01-01","2.293","Afghanistan"
"1902-02-01","3.469","Afghanistan"
"1902-03-01","9.3","Afghanistan"
"1902-04-01","14.328","Afghanistan"
"1902-05-01","21.332","Afghanistan"
"1902-06-01","25.396","Afghanistan"
"1902-07-01","26.337","Afghanistan"
"1902-08-01","25.11","Afghanistan"
"1902-09-01","20.288","Afghanistan"
"1902-10-01","13.878","Afghanistan"
"1902-11-01","8.669","Afghanistan"
"1902-12-01","3.67","Afghanistan"
"1903-01-01","-1.387","Afghanistan"
"1903-02-01","3.082","Afghanistan"
"1903-03-01","4.041","Afghanistan"
"1903-04-01","11.763","Afghanistan"
"1903-05-01","18.776","Afghanistan"
"1903-06-01","25.023","Afghanistan"
"1903-07-01","25.909","Afghanistan"
"1903-08-01","24.984","Afghanistan"
"1903-09-01","20.623","Afghanistan"
"1903-10-01","14.416","Afghanistan"
"1903-11-01","7.099","Afghanistan"
"1903-12-01","1.508","Afghanistan"
"1904-01-01","-3.088","Afghanistan"
"1904-02-01","4.379","Afghanistan"
"1904-03-01","8.35","Afghanistan"
"1904-04-01","14.176","Afghanistan"
"1904-05-01","20.24","Afghanistan"
"1904-06-01","24.808","Afghanistan"
"1904-07-01","26.434","Afghanistan"
"1904-08-01","24.877","Afghanistan"
"1904-09-01","19.606","Afghanistan"
"1904-10-01","12.416","Afghanistan"
"1904-11-01","9.458","Afghanistan"
"1904-12-01","4.013","Afghanistan"
"1905-01-01","-1.24","Afghanistan"
"1905-02-01","-1.028","Afghanistan"
"1905-03-01","5.031","Afghanistan"
"1905-04-01","14.152","Afghanistan"
"1905-05-01","20.887","Afghanistan"
"1905-06-01","25.038","Afghanistan"
"1905-07-01","26.836","Afghanistan"
"1905-08-01","25.096","Afghanistan"
"1905-09-01","20.366","Afghanistan"
"1905-10-01","14.501","Afghanistan"
"1905-11-01","8.619","Afghanistan"
"1905-12-01","2.37","Afghanistan"
"1906-01-01","-0.163","Afghanistan"
"1906-02-01","0.832","Afghanistan"
"1906-03-01","6.988","Afghanistan"
"1906-04-01","12.193","Afghanistan"
"1906-05-01","20.556","Afghanistan"
"1906-06-01","24.885","Afghanistan"
"1906-07-01","26.73","Afghanistan"
"1906-08-01","25.786","Afghanistan"
"1906-09-01","20.179","Afghanistan"
"1906-10-01","14.82","Afghanistan"
"1906-11-01","9.4","Afghanistan"
"1906-12-01","4.413","Afghanistan"
"1907-01-01","1.884","Afghanistan"
"1907-02-01","1.058","Afghanistan"
"1907-03-01","6.979","Afghanistan"
"1907-04-01","14.757","Afghanistan"
"1907-05-01","18.187","Afghanistan"
"1907-06-01","22.819","Afghanistan"
"1907-07-01","26.43","Afghanistan"
"1907-08-01","24.844","Afghanistan"
"1907-09-01","20.302","Afghanistan"
"1907-10-01","12.524","Afghanistan"
"1907-11-01","7.775","Afghanistan"
"1907-12-01","2.676","Afghanistan"
"1908-01-01","1.326","Afghanistan"
"1908-02-01","2.764","Afghanistan"
"1908-03-01","7.35","Afghanistan"
"1908-04-01","14.416","Afghanistan"
"1908-05-01","19.072","Afghanistan"
"1908-06-01","24.642","Afghanistan"
"1908-07-01","27.152","Afghanistan"
"1908-08-01","25.192","Afghanistan"
"1908-09-01","19.371","Afghanistan"
"1908-10-01","12.342","Afghanistan"
"1908-11-01","8.193","Afghanistan"
"1908-12-01","2.57","Afghanistan"
"1909-01-01","-1.224","Afghanistan"
"1909-02-01","2.785","Afghanistan"
"1909-03-01","8.927","Afghanistan"
"1909-04-01","15.354","Afghanistan"
"1909-05-01","19.343","Afghanistan"
"1909-06-01","24.71","Afghanistan"
"1909-07-01","26.016","Afghanistan"
"1909-08-01","25.344","Afghanistan"
"1909-09-01","19.408","Afghanistan"
"1909-10-01","13.562","Afghanistan"
"1909-11-01","10.002","Afghanistan"
"1909-12-01","2.878","Afghanistan"
"1910-01-01","0.297","Afghanistan"
"1910-02-01","3.851","Afghanistan"
"1910-03-01","6.727","Afghanistan"
"1910-04-01","12.63","Afghanistan"
"1910-05-01","20.753","Afghanistan"
"1910-06-01","24.45","Afghanistan"
"1910-07-01","26.149","Afghanistan"
"1910-08-01","24.926","Afghanistan"
