Date,Value,Country
1907-12-01,13.239,Algeria
1908-01-01,12.337000000000002,Algeria
1908-02-01,13.523,Algeria
1908-03-01,17.337999999999994,Algeria
1908-04-01,21.159000000000002,Algeria
1908-05-01,28.541,Algeria
1908-06-01,31.125,Algeria
1908-07-01,33.707,Algeria
1908-08-01,32.566,Algeria
1908-09-01,29.862,Algeria
1908-10-01,23.894000000000002,Algeria
1908-11-01,17.738,Algeria
1908-12-01,12.165,Algeria
1909-01-01,9.992,Algeria
1909-02-01,13.414,Algeria
1909-03-01,19.012,Algeria
1909-04-01,22.381,Algeria
1909-05-01,26.074,Algeria
1909-06-01,30.613000000000003,Algeria
1909-07-01,32.004000000000005,Algeria
1909-08-01,32.153,Algeria
1909-09-01,29.796,Algeria
1909-10-01,23.63900000000001,Algeria
1909-11-01,18.673,Algeria
1909-12-01,13.087,Algeria
1910-01-01,11.188,Algeria
1910-02-01,13.918,Algeria
1910-03-01,17.787,Algeria
1910-04-01,22.001,Algeria
1910-05-01,25.118000000000002,Algeria
1910-06-01,30.725,Algeria
1910-07-01,33.843,Algeria
1910-08-01,32.541,Algeria
1910-09-01,28.706,Algeria
1910-10-01,25.089000000000002,Algeria
1910-11-01,18.181,Algeria
1910-12-01,13.026,Algeria
1911-01-01,9.591000000000001,Algeria
1911-02-01,13.579,Algeria
1911-03-01,17.607999999999997,Algeria
1911-04-01,22.25800000000001,Algeria
1911-05-01,26.074,Algeria
1911-06-01,31.26,Algeria
1911-07-01,32.681999999999995,Algeria
1911-08-01,32.827,Algeria
1911-09-01,29.441,Algeria
1911-10-01,24.956000000000003,Algeria
1911-11-01,17.213,Algeria
1911-12-01,13.407,Algeria
1912-01-01,11.99,Algeria
1912-02-01,16.781,Algeria
1912-03-01,19.55,Algeria
1912-04-01,21.69700000000001,Algeria
1912-05-01,28.243000000000002,Algeria
1912-06-01,30.799,Algeria
1912-07-01,34.048,Algeria
1912-08-01,33.367,Algeria
1912-09-01,27.881,Algeria
1912-10-01,22.874000000000002,Algeria
1912-11-01,15.811,Algeria
1912-12-01,11.36,Algeria
1913-01-01,12.573,Algeria
1913-02-01,14.284,Algeria
1913-03-01,17.910999999999994,Algeria
1913-04-01,21.749000000000002,Algeria
1913-05-01,27.187,Algeria
1913-06-01,31.572,Algeria
1913-07-01,33.592,Algeria
1913-08-01,33.705999999999996,Algeria
1913-09-01,29.845,Algeria
1913-10-01,24.244000000000003,Algeria
1913-11-01,17.686,Algeria
1913-12-01,12.602,Algeria
1914-01-01,11.715,Algeria
1914-02-01,14.075999999999999,Algeria
1914-03-01,18.697,Algeria
1914-04-01,23.143,Algeria
1914-05-01,28.26,Algeria
1914-06-01,31.794,Algeria
1914-07-01,34.001000000000005,Algeria
1914-08-01,32.241,Algeria
1914-09-01,29.393,Algeria
1914-10-01,23.515,Algeria
1914-11-01,17.662,Algeria
1914-12-01,12.021,Algeria
1915-01-01,11.121,Algeria
1915-02-01,14.091,Algeria
1915-03-01,19.657,Algeria
1915-04-01,21.632,Algeria
1915-05-01,27.792,Algeria
1915-06-01,30.854,Algeria
1915-07-01,33.789,Algeria
1915-08-01,33.131,Algeria
1915-09-01,28.581999999999997,Algeria
1915-10-01,22.775,Algeria
1915-11-01,17.843,Algeria
1915-12-01,12.587,Algeria
1916-01-01,11.164000000000001,Algeria
1916-02-01,14.059,Algeria
1916-03-01,18.625,Algeria
1916-04-01,21.538,Algeria
1916-05-01,26.369,Algeria
1916-06-01,31.472,Algeria
1916-07-01,34.04,Algeria
1916-08-01,32.692,Algeria
1916-09-01,28.522,Algeria
1916-10-01,23.097,Algeria
1916-11-01,16.576999999999998,Algeria
1916-12-01,13.561,Algeria
1917-01-01,12.243,Algeria
1917-02-01,15.152999999999999,Algeria
1917-03-01,18.116,Algeria
1917-04-01,21.743000000000002,Algeria
1917-05-01,27.115,Algeria
1917-06-01,30.522,Algeria
1917-07-01,32.749,Algeria
1917-08-01,32.772,Algeria
1917-09-01,29.535999999999998,Algeria
1917-10-01,23.132,Algeria
1917-11-01,15.22,Algeria
1917-12-01,11.233,Algeria
1918-01-01,12.319,Algeria
1918-02-01,13.276,Algeria
1918-03-01,16.747999999999998,Algeria
1918-04-01,21.847,Algeria
1918-05-01,26.897,Algeria
1918-06-01,30.559,Algeria
1918-07-01,33.665,Algeria
1918-08-01,31.852,Algeria
1918-09-01,29.727,Algeria
1918-10-01,22.799000000000003,Algeria
1918-11-01,17.16,Algeria
1918-12-01,12.086,Algeria
1919-01-01,11.276,Algeria
1919-02-01,15.909,Algeria
1919-03-01,18.053,Algeria
1919-04-01,22.638,Algeria
1919-05-01,26.199,Algeria
1919-06-01,31.355,Algeria
1919-07-01,33.281,Algeria
1919-08-01,32.663000000000004,Algeria
1919-09-01,29.445999999999998,Algeria
1919-10-01,23.596,Algeria
1919-11-01,17.623,Algeria
1919-12-01,11.241,Algeria
1920-01-01,11.35,Algeria
1920-02-01,14.306,Algeria
1920-03-01,17.729,Algeria
1920-04-01,23.503,Algeria
1920-05-01,27.359,Algeria
1920-06-01,31.44,Algeria
1920-07-01,34.134,Algeria
1920-08-01,33.272,Algeria
1920-09-01,29.619,Algeria
1920-10-01,24.25500000000001,Algeria
1920-11-01,17.894000000000005,Algeria
1920-12-01,12.271,Algeria
1921-01-01,11.132,Algeria
1921-02-01,14.435,Algeria
1921-03-01,17.819999999999997,Algeria
1921-04-01,21.856,Algeria
1921-05-01,26.53700000000001,Algeria
1921-06-01,30.439,Algeria
1921-07-01,33.852000000000004,Algeria
1921-08-01,32.525,Algeria
1921-09-01,30.157,Algeria
1921-10-01,24.11000000000001,Algeria
1921-11-01,17.553,Algeria
1921-12-01,12.267000000000001,Algeria
1922-01-01,11.472000000000001,Algeria
1922-02-01,14.519,Algeria
1922-03-01,18.38,Algeria
1922-04-01,23.189,Algeria
1922-05-01,26.948,Algeria
1922-06-01,31.47,Algeria
1922-07-01,33.729,Algeria
1922-08-01,32.91,Algeria
1922-09-01,28.578000000000007,Algeria
1922-10-01,24.308000000000003,Algeria
1922-11-01,17.689,Algeria
1922-12-01,12.022,Algeria
1923-01-01,10.709000000000001,Algeria
1923-02-01,13.988,Algeria
1923-03-01,17.991,Algeria
1923-04-01,21.648000000000003,Algeria
1923-05-01,26.548000000000002,Algeria
1923-06-01,29.468000000000004,Algeria
1923-07-01,33.234,Algeria
1923-08-01,32.6,Algeria
1923-09-01,28.612,Algeria
1923-10-01,25.012,Algeria
1923-11-01,17.785999999999994,Algeria
1923-12-01,11.633,Algeria
1924-01-01,11.807,Algeria
1924-02-01,14.544,Algeria
1924-03-01,18.972,Algeria
1924-04-01,22.538,Algeria
1924-05-01,29.23,Algeria
1924-06-01,31.714,Algeria
1924-07-01,33.497,Algeria
1924-08-01,33.205999999999996,Algeria
1924-09-01,30.928,Algeria
1924-10-01,24.215000000000003,Algeria
1924-11-01,17.608,Algeria
1924-12-01,12.758,Algeria
1925-01-01,10.902000000000001,Algeria
1925-02-01,14.075,Algeria
1925-03-01,17.299,Algeria
1925-04-01,22.469,Algeria
1925-05-01,26.19400000000001,Algeria
1925-06-01,30.969,Algeria
1925-07-01,33.285000000000004,Algeria
1925-08-01,33.061,Algeria
1925-09-01,29.54,Algeria
1925-10-01,22.59800000000001,Algeria
1925-11-01,17.68,Algeria
1925-12-01,14.647,Algeria
1926-01-01,13.921,Algeria
1926-02-01,15.624,Algeria
1926-03-01,18.723,Algeria
1926-04-01,22.968000000000004,Algeria
1926-05-01,26.698,Algeria
1926-06-01,31.394,Algeria
1926-07-01,34.005,Algeria
1926-08-01,32.885999999999996,Algeria
1926-09-01,30.073,Algeria
1926-10-01,25.35700000000001,Algeria
1926-11-01,17.942,Algeria
1926-12-01,12.429,Algeria
1927-01-01,11.147,Algeria
1927-02-01,13.892,Algeria
1927-03-01,18.73,Algeria
1927-04-01,22.451,Algeria
1927-05-01,28.159000000000002,Algeria
1927-06-01,31.949,Algeria
1927-07-01,34.176,Algeria
1927-08-01,33.414,Algeria
1927-09-01,30.44,Algeria
1927-10-01,09/23/2021,Algeria
1927-11-01,17.942,Algeria
1927-12-01,13.825,Algeria
1928-01-01,11.531,Algeria
1928-02-01,14.155,Algeria
1928-03-01,18.707,Algeria
1928-04-01,23.285,Algeria
1928-05-01,26.37,Algeria
1928-06-01,05/31/2021,Algeria
1928-07-01,33.895,Algeria
1928-08-01,33.483000000000004,Algeria
1928-09-01,30.344,Algeria
1928-10-01,24.813000000000002,Algeria
1928-11-01,16.998,Algeria
1928-12-01,12.304,Algeria
1929-01-01,11.843,Algeria
1929-02-01,14.295,Algeria
1929-03-01,18.182,Algeria
1929-04-01,22.96,Algeria
1929-05-01,26.408,Algeria
1929-06-01,30.547,Algeria
1929-07-01,33.384,Algeria
1929-08-01,32.366,Algeria
1929-09-01,29.319000000000006,Algeria
1929-10-01,23.304000000000002,Algeria
1929-11-01,16.384,Algeria
1929-12-01,13.073,Algeria
1930-01-01,13.024000000000001,Algeria
1930-02-01,15.218,Algeria
1930-03-01,19.227999999999998,Algeria
1930-04-01,22.391,Algeria
1930-05-01,27.22300000000001,Algeria
1930-06-01,30.71,Algeria
1930-07-01,33.875,Algeria
1930-08-01,32.828,Algeria
1930-09-01,29.049,Algeria
1930-10-01,24.956000000000003,Algeria
1930-11-01,18.585,Algeria
1930-12-01,14.367,Algeria
1931-01-01,12.963,Algeria
1931-02-01,13.177,Algeria
1931-03-01,20.818,Algeria
1931-04-01,23.619,Algeria
1931-05-01,27.779,Algeria
1931-06-01,32.568000000000005,Algeria
1931-07-01,34.676,Algeria
1931-08-01,34.93,Algeria
1931-09-01,29.886,Algeria
1931-10-01,24.956000000000003,Algeria
1931-11-01,18.756,Algeria
1931-12-01,12.262,Algeria
1932-01-01,11.592,Algeria
1932-02-01,14.536,Algeria
1932-03-01,19.238,Algeria
1932-04-01,23.625,Algeria
1932-05-01,28.849,Algeria
1932-06-01,32.629,Algeria
1932-07-01,34.059000000000005,Algeria
1932-08-01,32.474000000000004,Algeria
1932-09-01,30.561,Algeria
1932-10-01,24.144000000000002,Algeria
1932-11-01,18.113,Algeria
1932-12-01,13.583,Algeria
1933-01-01,12.463,Algeria
1933-02-01,15.472,Algeria
1933-03-01,17.953,Algeria
1933-04-01,22.89,Algeria
1933-05-01,28.192,Algeria
1933-06-01,30.715,Algeria
1933-07-01,33.185,Algeria
1933-08-01,32.579,Algeria
1933-09-01,29.803,Algeria
1933-10-01,25.472,Algeria
1933-11-01,16.724,Algeria
1933-12-01,12.574000000000002,Algeria
1934-01-01,10.799000000000001,Algeria
1934-02-01,13.349,Algeria
1934-03-01,16.185,Algeria
1934-04-01,22.554000000000002,Algeria
1934-05-01,25.616,Algeria
1934-06-01,32.179,Algeria
1934-07-01,33.645,Algeria
1934-08-01,33.509,Algeria
1934-09-01,29.418000000000006,Algeria
1934-10-01,23.179000000000002,Algeria
1934-11-01,17.898,Algeria
1934-12-01,14.605,Algeria
1935-01-01,10.567,Algeria
1935-02-01,13.415,Algeria
1935-03-01,18.452,Algeria
1935-04-01,22.568,Algeria
1935-05-01,25.738000000000003,Algeria
1935-06-01,32.248000000000005,Algeria
1935-07-01,33.372,Algeria
1935-08-01,33.397,Algeria
1935-09-01,30.084,Algeria
1935-10-01,22.626,Algeria
1935-11-01,18.395,Algeria
1935-12-01,14.175,Algeria
1936-01-01,13.883,Algeria
1936-02-01,16.974999999999998,Algeria
1936-03-01,19.281,Algeria
1936-04-01,23.576,Algeria
1936-05-01,25.121,Algeria
1936-06-01,30.936,Algeria
1936-07-01,33.722,Algeria
1936-08-01,31.910999999999998,Algeria
1936-09-01,29.474,Algeria
1936-10-01,22.46,Algeria
1936-11-01,16.393,Algeria
1936-12-01,11.559000000000001,Algeria
1937-01-01,12.795,Algeria
1937-02-01,15.997,Algeria
1937-03-01,19.559,Algeria
1937-04-01,23.614,Algeria
1937-05-01,26.622,Algeria
1937-06-01,32.341,Algeria
1937-07-01,33.309000000000005,Algeria
1937-08-01,33.319,Algeria
1937-09-01,30.113000000000003,Algeria
1937-10-01,24.619000000000003,Algeria
1937-11-01,19.995,Algeria
1937-12-01,12.447000000000001,Algeria
1938-01-01,11.134,Algeria
1938-02-01,13.529000000000002,Algeria
1938-03-01,16.662999999999997,Algeria
1938-04-01,21.332,Algeria
1938-05-01,26.235,Algeria
1938-06-01,31.752,Algeria
1938-07-01,33.262,Algeria
1938-08-01,33.391,Algeria
1938-09-01,30.658,Algeria
1938-10-01,24.754,Algeria
1938-11-01,17.525,Algeria
1938-12-01,12.497,Algeria
1939-01-01,12.744000000000002,Algeria
