Date,Value,Country
1824-08-01,19.338,Andorra
1824-09-01,16.442999999999998,Andorra
1824-10-01,11.677999999999999,Andorra
1824-11-01,9.112,Andorra
1824-12-01,6.385999999999999,Andorra
1825-01-01,3.568,Andorra
1825-02-01,4.843,Andorra
1825-03-01,6.276,Andorra
1825-04-01,10.600999999999999,Andorra
1825-05-01,13.425999999999998,Andorra
1825-06-01,17.418,Andorra
1825-07-01,19.942999999999998,Andorra
1825-08-01,19.697,Andorra
1825-09-01,17.407,Andorra
1825-10-01,11.242,Andorra
1825-11-01,7.141,Andorra
1825-12-01,6.079,Andorra
1826-01-01,0.8250000000000002,Andorra
1826-02-01,5.6320000000000014,Andorra
1826-03-01,7.963999999999999,Andorra
1826-04-01,9.933,Andorra
1826-05-01,12.334,Andorra
1826-06-01,17.087,Andorra
1826-07-01,01/20/2021,Andorra
1826-08-01,20.518,Andorra
1826-09-01,16.73,Andorra
1826-10-01,11.924,Andorra
1826-11-01,5.779,Andorra
1826-12-01,3.9760000000000004,Andorra
1827-01-01,2.071,Andorra
1827-02-01,2.5649999999999995,Andorra
1827-03-01,7.9609999999999985,Andorra
1827-04-01,10.612,Andorra
1827-05-01,13.292,Andorra
1827-06-01,16.678,Andorra
1827-07-01,21.285999999999998,Andorra
1827-08-01,19.015,Andorra
1827-09-01,15.904000000000002,Andorra
1827-10-01,11.965,Andorra
1827-11-01,5.221,Andorra
1827-12-01,4.871,Andorra
1828-01-01,4.665,Andorra
1828-02-01,4.691,Andorra
1828-03-01,7.723,Andorra
1828-04-01,10.338,Andorra
1828-05-01,14.186,Andorra
1828-06-01,18.275,Andorra
1828-07-01,19.682,Andorra
1828-08-01,19.18,Andorra
1828-09-01,16.439,Andorra
1828-10-01,11.811,Andorra
1828-11-01,7.92,Andorra
1828-12-01,5.148,Andorra
1829-01-01,1.4069999999999998,Andorra
1829-02-01,2.8159999999999994,Andorra
1829-03-01,7.31,Andorra
1829-04-01,9.843,Andorra
1829-05-01,13.669,Andorra
1829-06-01,17.014,Andorra
1829-07-01,20.012999999999998,Andorra
1829-08-01,18.648,Andorra
1829-09-01,14.765999999999998,Andorra
1829-10-01,9.832,Andorra
1829-11-01,5.609,Andorra
1829-12-01,0.7549999999999994,Andorra
1830-01-01,-0.1519999999999997,Andorra
1830-02-01,3.306,Andorra
1830-03-01,8.779,Andorra
1830-04-01,11.658,Andorra
1830-05-01,13.885,Andorra
1830-06-01,16.625,Andorra
1830-07-01,20.914,Andorra
1830-08-01,19.428,Andorra
1830-09-01,14.483,Andorra
1830-10-01,11.144,Andorra
1830-11-01,7.689,Andorra
1830-12-01,3.458,Andorra
1831-01-01,2.99,Andorra
1831-02-01,5.401999999999999,Andorra
1831-03-01,8.283999999999999,Andorra
1831-04-01,9.808,Andorra
1831-05-01,13.689,Andorra
1831-06-01,17.295,Andorra
1831-07-01,19.635,Andorra
1831-08-01,18.709,Andorra
1831-09-01,15.034,Andorra
1831-10-01,12.859000000000002,Andorra
1831-11-01,7.487999999999999,Andorra
1831-12-01,4.287,Andorra
1832-01-01,2.648,Andorra
1832-02-01,4.457999999999998,Andorra
1832-03-01,6.694,Andorra
1832-04-01,9.176,Andorra
1832-05-01,13.307,Andorra
1832-06-01,16.546,Andorra
1832-07-01,20.933000000000003,Andorra
1832-08-01,20.347,Andorra
1832-09-01,16.13,Andorra
1832-10-01,11.591,Andorra
1832-11-01,6.877000000000002,Andorra
1832-12-01,3.403,Andorra
1833-01-01,2.673,Andorra
1833-02-01,6.2970000000000015,Andorra
1833-03-01,5.8039999999999985,Andorra
1833-04-01,8.536,Andorra
1833-05-01,15.175999999999998,Andorra
1833-06-01,17.93,Andorra
1833-07-01,18.063,Andorra
1833-08-01,18.407,Andorra
1833-09-01,14.324000000000002,Andorra
1833-10-01,11.095999999999998,Andorra
1833-11-01,7.625,Andorra
1833-12-01,5.625,Andorra
1834-01-01,5.6629999999999985,Andorra
1834-02-01,4.834,Andorra
1834-03-01,7.697,Andorra
1834-04-01,8.808,Andorra
1834-05-01,14.902,Andorra
1834-06-01,18.272000000000002,Andorra
1834-07-01,20.452,Andorra
1834-08-01,19.488,Andorra
1834-09-01,18.78,Andorra
1834-10-01,12.106,Andorra
1834-11-01,7.987,Andorra
1834-12-01,3.568,Andorra
1835-01-01,4.0440000000000005,Andorra
1835-02-01,5.643999999999999,Andorra
1835-03-01,7.013,Andorra
1835-04-01,8.955,Andorra
1835-05-01,12.814,Andorra
1835-06-01,15.986,Andorra
1835-07-01,20.76,Andorra
1835-08-01,01/19/2021,Andorra
1835-09-01,15.245999999999999,Andorra
1835-10-01,10.157,Andorra
1835-11-01,5.396,Andorra
1835-12-01,1.8130000000000002,Andorra
1836-01-01,2.4450000000000003,Andorra
1836-02-01,3.694,Andorra
1836-03-01,8.243,Andorra
1836-04-01,8.16,Andorra
1836-05-01,10.671,Andorra
1836-06-01,17.475,Andorra
1836-07-01,21.049,Andorra
1836-08-01,19.744,Andorra
1836-09-01,14.593,Andorra
1836-10-01,11.497,Andorra
1836-11-01,6.381,Andorra
1836-12-01,3.701,Andorra
1837-01-01,2.415,Andorra
1837-02-01,5.095,Andorra
1837-03-01,3.848,Andorra
1837-04-01,6.984,Andorra
1837-05-01,11.242,Andorra
1837-06-01,18.686,Andorra
1837-07-01,20.430999999999997,Andorra
1837-08-01,20.791999999999998,Andorra
1837-09-01,15.199000000000002,Andorra
1837-10-01,10.982,Andorra
1837-11-01,5.859,Andorra
1837-12-01,4.7360000000000015,Andorra
1838-01-01,1.8630000000000004,Andorra
1838-02-01,3.981,Andorra
1838-03-01,7.247999999999998,Andorra
1838-04-01,7.96,Andorra
1838-05-01,13.374,Andorra
1838-06-01,17.385,Andorra
1838-07-01,20.168,Andorra
1838-08-01,19.484,Andorra
1838-09-01,15.364,Andorra
1838-10-01,11.047,Andorra
1838-11-01,8.207,Andorra
1838-12-01,3.265,Andorra
1839-01-01,2.5140000000000002,Andorra
1839-02-01,4.441,Andorra
1839-03-01,6.761,Andorra
1839-04-01,8.565,Andorra
1839-05-01,12.657,Andorra
1839-06-01,18.231,Andorra
1839-07-01,20.233,Andorra
1839-08-01,19.162,Andorra
1839-09-01,15.155,Andorra
1839-10-01,11.302,Andorra
1839-11-01,7.556,Andorra
1839-12-01,5.702999999999999,Andorra
1840-01-01,4.3820000000000014,Andorra
1840-02-01,3.813,Andorra
1840-03-01,3.6439999999999997,Andorra
1840-04-01,9.123,Andorra
1840-05-01,13.597999999999999,Andorra
1840-06-01,18.263,Andorra
1840-07-01,18.951,Andorra
1840-08-01,20.489,Andorra
1840-09-01,15.627,Andorra
1840-10-01,10.806,Andorra
1840-11-01,8.006,Andorra
1840-12-01,2.5289999999999995,Andorra
1841-01-01,1.841,Andorra
1841-02-01,4.888,Andorra
1841-03-01,8.064,Andorra
1841-04-01,9.494,Andorra
1841-05-01,15.033,Andorra
1841-06-01,16.319000000000006,Andorra
1841-07-01,18.634,Andorra
1841-08-01,18.730999999999998,Andorra
1841-09-01,16.739,Andorra
1841-10-01,11.565999999999999,Andorra
1841-11-01,7.245,Andorra
1841-12-01,4.348,Andorra
1842-01-01,0.5339999999999998,Andorra
1842-02-01,4.1610000000000005,Andorra
1842-03-01,7.887,Andorra
1842-04-01,8.213,Andorra
1842-05-01,13.876,Andorra
1842-06-01,19.672,Andorra
1842-07-01,20.729,Andorra
1842-08-01,20.015,Andorra
1842-09-01,15.005999999999998,Andorra
1842-10-01,9.394,Andorra
1842-11-01,6.21,Andorra
1842-12-01,4.742999999999999,Andorra
1843-01-01,3.924,Andorra
1843-02-01,5.432,Andorra
1843-03-01,6.686,Andorra
1843-04-01,9.941,Andorra
1843-05-01,12.981,Andorra
1843-06-01,15.75,Andorra
1843-07-01,18.595,Andorra
1843-08-01,19.352,Andorra
1843-09-01,16.878,Andorra
1843-10-01,11.899,Andorra
1843-11-01,6.646,Andorra
1843-12-01,4.34,Andorra
1844-01-01,2.7350000000000003,Andorra
1844-02-01,3.68,Andorra
1844-03-01,6.382999999999999,Andorra
1844-04-01,11.161,Andorra
1844-05-01,12.27,Andorra
1844-06-01,18.561,Andorra
1844-07-01,20.122,Andorra
1844-08-01,18.144,Andorra
1844-09-01,16.628,Andorra
1844-10-01,11.69,Andorra
1844-11-01,7.422999999999999,Andorra
1844-12-01,2.845,Andorra
1845-01-01,4.204,Andorra
1845-02-01,2.1049999999999995,Andorra
1845-03-01,6.1789999999999985,Andorra
1845-04-01,9.429,Andorra
1845-05-01,11.745,Andorra
1845-06-01,17.312,Andorra
1845-07-01,19.255,Andorra
1845-08-01,17.619999999999994,Andorra
1845-09-01,16.483,Andorra
1845-10-01,11.866,Andorra
1845-11-01,8.066,Andorra
1845-12-01,4.489,Andorra
1846-01-01,5.127999999999999,Andorra
1846-02-01,6.617999999999999,Andorra
1846-03-01,8.267999999999999,Andorra
1846-04-01,9.642,Andorra
1846-05-01,14.099,Andorra
1846-06-01,19.939,Andorra
1846-07-01,21.64,Andorra
1846-08-01,19.986,Andorra
1846-09-01,16.803,Andorra
1846-10-01,10.299,Andorra
1846-11-01,7.17,Andorra
1846-12-01,1.2599999999999998,Andorra
1847-01-01,4.0280000000000005,Andorra
1847-02-01,3.522,Andorra
1847-03-01,5.8210000000000015,Andorra
1847-04-01,8.397,Andorra
1847-05-01,15.235999999999999,Andorra
1847-06-01,16.169,Andorra
1847-07-01,20.515,Andorra
