Date,Value,Country
1891-08-01,27.745,Antigua And Barbuda
1891-09-01,27.683000000000003,Antigua And Barbuda
1891-10-01,26.97600000000001,Antigua And Barbuda
1891-11-01,26.478,Antigua And Barbuda
1891-12-01,25.369000000000003,Antigua And Barbuda
1892-01-01,25.083,Antigua And Barbuda
1892-02-01,24.535999999999998,Antigua And Barbuda
1892-03-01,25.445999999999998,Antigua And Barbuda
1892-04-01,25.44100000000001,Antigua And Barbuda
1892-05-01,26.604,Antigua And Barbuda
1892-06-01,27.123,Antigua And Barbuda
1892-07-01,27.331,Antigua And Barbuda
1892-08-01,27.712,Antigua And Barbuda
1892-09-01,27.325,Antigua And Barbuda
1892-10-01,26.736,Antigua And Barbuda
1892-11-01,25.845,Antigua And Barbuda
1892-12-01,24.688000000000002,Antigua And Barbuda
1893-01-01,23.724,Antigua And Barbuda
1893-02-01,24.273000000000003,Antigua And Barbuda
1893-03-01,24.647,Antigua And Barbuda
1893-04-01,25.452,Antigua And Barbuda
1893-05-01,26.155,Antigua And Barbuda
1893-06-01,27.131,Antigua And Barbuda
1893-07-01,27.378,Antigua And Barbuda
1893-08-01,27.831,Antigua And Barbuda
1893-09-01,27.171,Antigua And Barbuda
1893-10-01,26.873,Antigua And Barbuda
1893-11-01,26.022,Antigua And Barbuda
1893-12-01,24.782,Antigua And Barbuda
1894-01-01,24.349,Antigua And Barbuda
1894-02-01,24.128,Antigua And Barbuda
1894-03-01,24.269,Antigua And Barbuda
1894-04-01,24.964000000000002,Antigua And Barbuda
1894-05-01,26.513,Antigua And Barbuda
1894-06-01,26.686,Antigua And Barbuda
1894-07-01,27.076999999999998,Antigua And Barbuda
1894-08-01,27.678,Antigua And Barbuda
1894-09-01,27.746,Antigua And Barbuda
1894-10-01,26.59800000000001,Antigua And Barbuda
1894-11-01,25.877,Antigua And Barbuda
1894-12-01,24.788,Antigua And Barbuda
1895-01-01,24.112,Antigua And Barbuda
1895-02-01,24.208,Antigua And Barbuda
1895-03-01,24.77,Antigua And Barbuda
1895-04-01,25.462,Antigua And Barbuda
1895-05-01,26.264,Antigua And Barbuda
1895-06-01,27.276999999999997,Antigua And Barbuda
1895-07-01,27.616,Antigua And Barbuda
1895-08-01,27.768,Antigua And Barbuda
1895-09-01,27.423000000000002,Antigua And Barbuda
1895-10-01,26.911,Antigua And Barbuda
1895-11-01,26.304000000000002,Antigua And Barbuda
1895-12-01,25.068,Antigua And Barbuda
1896-01-01,24.483,Antigua And Barbuda
1896-02-01,24.398000000000003,Antigua And Barbuda
1896-03-01,24.881,Antigua And Barbuda
1896-04-01,25.063000000000002,Antigua And Barbuda
1896-05-01,26.308000000000003,Antigua And Barbuda
1896-06-01,27.31,Antigua And Barbuda
1896-07-01,27.659,Antigua And Barbuda
1896-08-01,27.723000000000006,Antigua And Barbuda
1896-09-01,27.671,Antigua And Barbuda
1896-10-01,27.28,Antigua And Barbuda
1896-11-01,25.88300000000001,Antigua And Barbuda
1896-12-01,24.986,Antigua And Barbuda
1897-01-01,24.532,Antigua And Barbuda
1897-02-01,24.708,Antigua And Barbuda
1897-03-01,25.15,Antigua And Barbuda
1897-04-01,25.98200000000001,Antigua And Barbuda
1897-05-01,26.502,Antigua And Barbuda
1897-06-01,27.272,Antigua And Barbuda
1897-07-01,27.813,Antigua And Barbuda
1897-08-01,27.89,Antigua And Barbuda
1897-09-01,27.586,Antigua And Barbuda
1897-10-01,27.257,Antigua And Barbuda
1897-11-01,26.013,Antigua And Barbuda
1897-12-01,25.128,Antigua And Barbuda
1898-01-01,24.535,Antigua And Barbuda
1898-02-01,24.206999999999997,Antigua And Barbuda
1898-03-01,24.653,Antigua And Barbuda
1898-04-01,25.981,Antigua And Barbuda
1898-05-01,27.134,Antigua And Barbuda
1898-06-01,27.72,Antigua And Barbuda
1898-07-01,27.621,Antigua And Barbuda
1898-08-01,27.759,Antigua And Barbuda
1898-09-01,27.421,Antigua And Barbuda
1898-10-01,27.067,Antigua And Barbuda
1898-11-01,25.829,Antigua And Barbuda
1898-12-01,25.151000000000003,Antigua And Barbuda
1899-01-01,24.296,Antigua And Barbuda
1899-02-01,24.475,Antigua And Barbuda
1899-03-01,07/24/2021,Antigua And Barbuda
1899-04-01,25.373,Antigua And Barbuda
1899-05-01,26.789,Antigua And Barbuda
1899-06-01,27.239,Antigua And Barbuda
1899-07-01,27.68,Antigua And Barbuda
1899-08-01,27.622,Antigua And Barbuda
1899-09-01,27.458000000000002,Antigua And Barbuda
1899-10-01,26.588,Antigua And Barbuda
1899-11-01,26.34800000000001,Antigua And Barbuda
1899-12-01,24.535,Antigua And Barbuda
1900-01-01,24.37,Antigua And Barbuda
1900-02-01,24.399,Antigua And Barbuda
1900-03-01,24.857,Antigua And Barbuda
1900-04-01,25.831000000000003,Antigua And Barbuda
1900-05-01,26.761,Antigua And Barbuda
1900-06-01,27.011,Antigua And Barbuda
1900-07-01,27.56,Antigua And Barbuda
1900-08-01,27.638,Antigua And Barbuda
1900-09-01,27.544,Antigua And Barbuda
1900-10-01,27.03700000000001,Antigua And Barbuda
1900-11-01,26.436,Antigua And Barbuda
1900-12-01,25.315,Antigua And Barbuda
1901-01-01,24.556,Antigua And Barbuda
1901-02-01,24.752,Antigua And Barbuda
1901-03-01,25.477,Antigua And Barbuda
1901-04-01,26.234,Antigua And Barbuda
1901-05-01,27.459,Antigua And Barbuda
1901-06-01,27.355999999999998,Antigua And Barbuda
1901-07-01,27.351,Antigua And Barbuda
1901-08-01,27.921999999999997,Antigua And Barbuda
1901-09-01,27.873,Antigua And Barbuda
1901-10-01,27.052000000000003,Antigua And Barbuda
1901-11-01,26.398000000000003,Antigua And Barbuda
1901-12-01,07/25/2021,Antigua And Barbuda
1902-01-01,24.644,Antigua And Barbuda
1902-02-01,25.107,Antigua And Barbuda
1902-03-01,24.965,Antigua And Barbuda
1902-04-01,25.983,Antigua And Barbuda
1902-05-01,26.903,Antigua And Barbuda
1902-06-01,27.315,Antigua And Barbuda
1902-07-01,27.732,Antigua And Barbuda
1902-08-01,28.023000000000003,Antigua And Barbuda
1902-09-01,27.681,Antigua And Barbuda
1902-10-01,26.823,Antigua And Barbuda
1902-11-01,26.083000000000002,Antigua And Barbuda
1902-12-01,25.081000000000003,Antigua And Barbuda
1903-01-01,24.688,Antigua And Barbuda
1903-02-01,24.85,Antigua And Barbuda
1903-03-01,24.967,Antigua And Barbuda
1903-04-01,26.03700000000001,Antigua And Barbuda
1903-05-01,27.119,Antigua And Barbuda
1903-06-01,27.543000000000006,Antigua And Barbuda
1903-07-01,27.489,Antigua And Barbuda
1903-08-01,27.787,Antigua And Barbuda
1903-09-01,27.437,Antigua And Barbuda
