Date,Value,Country
1809-08-01,21.754,Azerbaijan
1809-09-01,17.604,Azerbaijan
1809-10-01,12.223,Azerbaijan
1809-11-01,2.7250000000000005,Azerbaijan
1809-12-01,0.613,Azerbaijan
1810-01-01,-2.648,Azerbaijan
1810-02-01,1.0530000000000002,Azerbaijan
1810-03-01,5.026999999999999,Azerbaijan
1810-04-01,8.561,Azerbaijan
1810-05-01,12.969000000000001,Azerbaijan
1810-06-01,18.904,Azerbaijan
1810-07-01,21.142,Azerbaijan
1810-08-01,20.905,Azerbaijan
1810-09-01,15.682,Azerbaijan
1810-10-01,8.828000000000003,Azerbaijan
1810-11-01,3.1830000000000003,Azerbaijan
1810-12-01,1.176,Azerbaijan
1811-01-01,-1.3,Azerbaijan
1811-02-01,-1.513,Azerbaijan
1811-03-01,4.085999999999999,Azerbaijan
1811-04-01,7.006,Azerbaijan
1811-05-01,13.104000000000001,Azerbaijan
1811-06-01,18.65,Azerbaijan
1811-07-01,20.570999999999998,Azerbaijan
1811-08-01,09/22/2021,Azerbaijan
1811-09-01,16.677,Azerbaijan
1811-10-01,9.539,Azerbaijan
1811-11-01,3.989,Azerbaijan
1811-12-01,03/02/2021,Azerbaijan
1812-01-01,-1.7530000000000001,Azerbaijan
1812-02-01,-3.1639999999999997,Azerbaijan
1812-03-01,0.8149999999999995,Azerbaijan
1812-04-01,8.419,Azerbaijan
1812-05-01,13.529000000000002,Azerbaijan
1812-06-01,19.276,Azerbaijan
1812-07-01,24.73,Azerbaijan
1812-08-01,01/25/2021,Azerbaijan
1812-09-01,16.602,Azerbaijan
1812-10-01,10.733,Azerbaijan
1812-11-01,5.475,Azerbaijan
1812-12-01,-2.312,Azerbaijan
1813-01-01,-5.907000000000001,Azerbaijan
1813-02-01,-1.4299999999999995,Azerbaijan
1813-03-01,0.3929999999999998,Azerbaijan
1813-04-01,9.626,Azerbaijan
1813-05-01,16.573,Azerbaijan
1813-06-01,20.25,Azerbaijan
1813-07-01,22.988000000000003,Azerbaijan
1813-08-01,22.132,Azerbaijan
1813-09-01,18.63,Azerbaijan
1813-10-01,11.883,Azerbaijan
1813-11-01,9.028,Azerbaijan
1813-12-01,0.954,Azerbaijan
1814-01-01,-0.16899999999999998,Azerbaijan
1814-02-01,0.06900000000000017,Azerbaijan
1814-03-01,3.335,Azerbaijan
1814-04-01,8.753,Azerbaijan
1814-05-01,12.618000000000002,Azerbaijan
1814-06-01,19.975,Azerbaijan
1814-07-01,20.614,Azerbaijan
1814-08-01,21.774,Azerbaijan
1814-09-01,17.519000000000002,Azerbaijan
1814-10-01,10.186,Azerbaijan
1814-11-01,01/07/2021,Azerbaijan
1814-12-01,5.567,Azerbaijan
1815-01-01,-1.087,Azerbaijan
1815-02-01,-0.2789999999999999,Azerbaijan
1815-03-01,1.9919999999999995,Azerbaijan
1815-04-01,8.216000000000001,Azerbaijan
1815-05-01,14.153000000000002,Azerbaijan
1815-06-01,18.484,Azerbaijan
1815-07-01,23.825,Azerbaijan
1815-08-01,22.314,Azerbaijan
1815-09-01,17.831,Azerbaijan
1815-10-01,10.492,Azerbaijan
1815-11-01,5.709,Azerbaijan
1815-12-01,-1.36,Azerbaijan
1816-01-01,,Azerbaijan
1816-02-01,,Azerbaijan
1816-03-01,,Azerbaijan
1816-04-01,8.404,Azerbaijan
1816-05-01,01/15/2021,Azerbaijan
1816-06-01,04/19/2021,Azerbaijan
1816-07-01,20.631,Azerbaijan
1816-08-01,21.594,Azerbaijan
1816-09-01,16.964000000000002,Azerbaijan
1816-10-01,8.545,Azerbaijan
1816-11-01,5.643,Azerbaijan
1816-12-01,-0.56,Azerbaijan
1817-01-01,-1.253,Azerbaijan
1817-02-01,1.8640000000000003,Azerbaijan
1817-03-01,4.965,Azerbaijan
1817-04-01,9.516,Azerbaijan
1817-05-01,12.852,Azerbaijan
1817-06-01,17.685,Azerbaijan
1817-07-01,21.54,Azerbaijan
1817-08-01,12/23/2021,Azerbaijan
1817-09-01,14.582,Azerbaijan
1817-10-01,8.896,Azerbaijan
1817-11-01,5.152,Azerbaijan
1817-12-01,-0.565,Azerbaijan
1818-01-01,-1.442,Azerbaijan
1818-02-01,-1.1869999999999998,Azerbaijan
1818-03-01,5.526999999999999,Azerbaijan
1818-04-01,12.563,Azerbaijan
1818-05-01,16.17,Azerbaijan
