Date,Value,Country
1887-05-01,24.758000000000006,Bahamas
1887-06-01,26.902,Bahamas
1887-07-01,28.106,Bahamas
1887-08-01,27.844,Bahamas
1887-09-01,26.936999999999998,Bahamas
1887-10-01,25.904,Bahamas
1887-11-01,23.436,Bahamas
1887-12-01,22.0,Bahamas
1888-01-01,21.803,Bahamas
1888-02-01,22.158,Bahamas
1888-03-01,21.814,Bahamas
1888-04-01,23.426,Bahamas
1888-05-01,25.221,Bahamas
1888-06-01,26.888,Bahamas
1888-07-01,08/27/2021,Bahamas
1888-08-01,28.122,Bahamas
1888-09-01,27.494,Bahamas
1888-10-01,25.76100000000001,Bahamas
1888-11-01,24.186,Bahamas
1888-12-01,21.515,Bahamas
1889-01-01,22.035,Bahamas
1889-02-01,21.694000000000006,Bahamas
1889-03-01,21.797,Bahamas
1889-04-01,23.655,Bahamas
1889-05-01,25.413,Bahamas
1889-06-01,27.179000000000002,Bahamas
1889-07-01,28.263,Bahamas
1889-08-01,27.725,Bahamas
1889-09-01,27.057,Bahamas
1889-10-01,24.943,Bahamas
1889-11-01,24.475,Bahamas
1889-12-01,22.459,Bahamas
1890-01-01,22.802,Bahamas
1890-02-01,23.33,Bahamas
1890-03-01,22.045,Bahamas
1890-04-01,23.75500000000001,Bahamas
1890-05-01,25.94,Bahamas
1890-06-01,27.53700000000001,Bahamas
1890-07-01,27.916,Bahamas
1890-08-01,27.652,Bahamas
1890-09-01,27.198,Bahamas
1890-10-01,26.036,Bahamas
1890-11-01,24.581,Bahamas
1890-12-01,21.487,Bahamas
1891-01-01,21.000999999999998,Bahamas
1891-02-01,23.254,Bahamas
1891-03-01,22.696,Bahamas
1891-04-01,23.263,Bahamas
1891-05-01,24.944000000000006,Bahamas
1891-06-01,26.97,Bahamas
1891-07-01,28.307,Bahamas
1891-08-01,28.211,Bahamas
1891-09-01,27.32,Bahamas
1891-10-01,25.007,Bahamas
1891-11-01,23.473000000000006,Bahamas
1891-12-01,05/23/2021,Bahamas
1892-01-01,20.933000000000003,Bahamas
1892-02-01,21.184,Bahamas
1892-03-01,22.057,Bahamas
1892-04-01,23.962000000000003,Bahamas
1892-05-01,25.513,Bahamas
1892-06-01,26.775,Bahamas
1892-07-01,27.998,Bahamas
1892-08-01,28.281,Bahamas
1892-09-01,27.308000000000003,Bahamas
1892-10-01,25.381,Bahamas
1892-11-01,23.065,Bahamas
1892-12-01,21.859,Bahamas
1893-01-01,19.508,Bahamas
1893-02-01,22.957,Bahamas
1893-03-01,22.50500000000001,Bahamas
1893-04-01,24.57500000000001,Bahamas
1893-05-01,25.894,Bahamas
1893-06-01,27.042,Bahamas
1893-07-01,28.084,Bahamas
1893-08-01,28.063,Bahamas
1893-09-01,27.341,Bahamas
