Date,Value,Country
1861-03-01,25.164,Baker Island
1861-04-01,25.137,Baker Island
1861-05-01,24.804,Baker Island
1861-06-01,24.94,Baker Island
1861-07-01,24.816999999999997,Baker Island
1861-08-01,25.188000000000002,Baker Island
1861-09-01,24.746,Baker Island
1861-10-01,24.368000000000002,Baker Island
1861-11-01,25.063000000000002,Baker Island
1861-12-01,24.435,Baker Island
1862-01-01,,Baker Island
1862-02-01,,Baker Island
1862-03-01,,Baker Island
1862-04-01,,Baker Island
1862-05-01,,Baker Island
1862-06-01,,Baker Island
1862-07-01,,Baker Island
1862-08-01,,Baker Island
1862-09-01,,Baker Island
1862-10-01,,Baker Island
1862-11-01,,Baker Island
1862-12-01,,Baker Island
1863-01-01,,Baker Island
1863-02-01,,Baker Island
1863-03-01,,Baker Island
1863-04-01,,Baker Island
1863-05-01,,Baker Island
1863-06-01,,Baker Island
1863-07-01,,Baker Island
1863-08-01,,Baker Island
1863-09-01,,Baker Island
1863-10-01,,Baker Island
1863-11-01,,Baker Island
1863-12-01,,Baker Island
1864-01-01,,Baker Island
1864-02-01,,Baker Island
1864-03-01,,Baker Island
1864-04-01,,Baker Island
1864-05-01,,Baker Island
1864-06-01,,Baker Island
1864-07-01,,Baker Island
1864-08-01,,Baker Island
1864-09-01,,Baker Island
1864-10-01,,Baker Island
1864-11-01,,Baker Island
1864-12-01,,Baker Island
1865-01-01,25.592,Baker Island
1865-02-01,24.755,Baker Island
1865-03-01,24.733,Baker Island
1865-04-01,24.82800000000001,Baker Island
1865-05-01,25.206,Baker Island
1865-06-01,25.286,Baker Island
1865-07-01,,Baker Island
1865-08-01,25.161,Baker Island
1865-09-01,24.976,Baker Island
1865-10-01,24.92100000000001,Baker Island
1865-11-01,25.234,Baker Island
1865-12-01,24.38000000000001,Baker Island
1866-01-01,25.22,Baker Island
1866-02-01,24.598000000000006,Baker Island
1866-03-01,25.14,Baker Island
1866-04-01,25.308000000000003,Baker Island
1866-05-01,25.264,Baker Island
1866-06-01,24.714000000000002,Baker Island
1866-07-01,25.149,Baker Island
1866-08-01,25.127,Baker Island
1866-09-01,24.917,Baker Island
1866-10-01,24.199,Baker Island
1866-11-01,24.84,Baker Island
1866-12-01,08/24/2021,Baker Island
1867-01-01,24.628,Baker Island
1867-02-01,24.859,Baker Island
1867-03-01,25.26,Baker Island
1867-04-01,25.54300000000001,Baker Island
1867-05-01,25.267,Baker Island
1867-06-01,25.068,Baker Island
1867-07-01,06/25/2021,Baker Island
1867-08-01,24.894000000000002,Baker Island
1867-09-01,25.019000000000002,Baker Island
1867-10-01,24.836,Baker Island
1867-11-01,25.342,Baker Island
1867-12-01,24.801,Baker Island
1868-01-01,24.884,Baker Island
1868-02-01,25.043000000000006,Baker Island
1868-03-01,25.377,Baker Island
1868-04-01,25.624000000000002,Baker Island
1868-05-01,25.565,Baker Island
1868-06-01,25.172,Baker Island
1868-07-01,25.212,Baker Island
1868-08-01,25.256,Baker Island
1868-09-01,25.054000000000002,Baker Island
1868-10-01,25.291,Baker Island
1868-11-01,24.778000000000002,Baker Island
1868-12-01,25.19100000000001,Baker Island
1869-01-01,24.869,Baker Island
1869-02-01,25.945,Baker Island
1869-03-01,25.568,Baker Island
1869-04-01,25.327,Baker Island
1869-05-01,25.439,Baker Island
1869-06-01,25.227,Baker Island
1869-07-01,25.28,Baker Island
1869-08-01,25.126,Baker Island
1869-09-01,25.227,Baker Island
1869-10-01,24.66800000000001,Baker Island
1869-11-01,24.48,Baker Island
1869-12-01,24.202,Baker Island
1870-01-01,24.569000000000006,Baker Island
1870-02-01,24.397,Baker Island
1870-03-01,25.363000000000003,Baker Island
1870-04-01,25.646,Baker Island
1870-05-01,25.397,Baker Island
1870-06-01,25.247,Baker Island
1870-07-01,25.204,Baker Island
1870-08-01,24.64,Baker Island
1870-09-01,24.597,Baker Island
1870-10-01,24.343000000000004,Baker Island
1870-11-01,24.419,Baker Island
1870-12-01,23.866,Baker Island
1871-01-01,24.26,Baker Island
1871-02-01,24.396,Baker Island
1871-03-01,25.114,Baker Island
1871-04-01,25.807,Baker Island
1871-05-01,25.235,Baker Island
1871-06-01,24.551,Baker Island
1871-07-01,24.55,Baker Island
1871-08-01,24.945,Baker Island
1871-09-01,24.496,Baker Island
1871-10-01,24.38600000000001,Baker Island
1871-11-01,24.00800000000001,Baker Island
1871-12-01,24.083000000000002,Baker Island
1872-01-01,23.958,Baker Island
1872-02-01,05/24/2021,Baker Island
1872-03-01,08/25/2021,Baker Island
1872-04-01,25.829,Baker Island
1872-05-01,25.813,Baker Island
1872-06-01,25.239,Baker Island
1872-07-01,24.933000000000003,Baker Island
1872-08-01,25.113000000000003,Baker Island
1872-09-01,25.238000000000003,Baker Island
1872-10-01,24.88600000000001,Baker Island
1872-11-01,24.617,Baker Island
1872-12-01,24.263,Baker Island
1873-01-01,24.564,Baker Island
1873-02-01,25.111,Baker Island
1873-03-01,25.325,Baker Island
1873-04-01,24.971,Baker Island
1873-05-01,25.243,Baker Island
1873-06-01,25.289,Baker Island
1873-07-01,24.881999999999998,Baker Island
1873-08-01,25.068,Baker Island
1873-09-01,24.992,Baker Island
1873-10-01,24.808000000000003,Baker Island
1873-11-01,25.058000000000003,Baker Island
1873-12-01,24.966,Baker Island
1874-01-01,25.087,Baker Island
1874-02-01,25.502,Baker Island
1874-03-01,25.555999999999997,Baker Island
1874-04-01,25.60700000000001,Baker Island
1874-05-01,25.776,Baker Island
1874-06-01,25.104,Baker Island
1874-07-01,24.779,Baker Island
1874-08-01,24.968000000000004,Baker Island
1874-09-01,24.948,Baker Island
1874-10-01,24.838,Baker Island
1874-11-01,24.520000000000003,Baker Island
1874-12-01,24.617,Baker Island
1875-01-01,24.033,Baker Island
1875-02-01,24.604,Baker Island
1875-03-01,24.956,Baker Island
1875-04-01,25.017000000000003,Baker Island
1875-05-01,24.996,Baker Island
1875-06-01,24.931,Baker Island
1875-07-01,24.820999999999998,Baker Island
1875-08-01,25.07500000000001,Baker Island
1875-09-01,24.862,Baker Island
1875-10-01,24.455,Baker Island
1875-11-01,24.07500000000001,Baker Island
1875-12-01,23.932,Baker Island
1876-01-01,24.378,Baker Island
1876-02-01,24.802,Baker Island
1876-03-01,25.112,Baker Island
1876-04-01,25.405,Baker Island
1876-05-01,25.023000000000003,Baker Island
1876-06-01,24.992,Baker Island
1876-07-01,24.918000000000006,Baker Island
1876-08-01,24.815,Baker Island
1876-09-01,24.735,Baker Island
1876-10-01,24.493000000000002,Baker Island
1876-11-01,24.279,Baker Island
1876-12-01,23.73,Baker Island
1877-01-01,24.727,Baker Island
1877-02-01,24.845,Baker Island
1877-03-01,25.613000000000003,Baker Island
1877-04-01,25.23,Baker Island
1877-05-01,25.392,Baker Island
1877-06-01,24.991,Baker Island
1877-07-01,25.348000000000006,Baker Island
1877-08-01,25.593000000000004,Baker Island
1877-09-01,25.39,Baker Island
1877-10-01,25.35700000000001,Baker Island
1877-11-01,25.931,Baker Island
1877-12-01,25.135,Baker Island
1878-01-01,24.931,Baker Island
1878-02-01,25.642,Baker Island
1878-03-01,26.65,Baker Island
1878-04-01,26.368000000000002,Baker Island
1878-05-01,25.594,Baker Island
1878-06-01,25.618000000000002,Baker Island
1878-07-01,25.546999999999997,Baker Island
1878-08-01,25.31900000000001,Baker Island
1878-09-01,25.543000000000006,Baker Island
1878-10-01,25.459,Baker Island
1878-11-01,25.465,Baker Island
1878-12-01,24.63900000000001,Baker Island
1879-01-01,24.575,Baker Island
1879-02-01,25.086,Baker Island
1879-03-01,25.127,Baker Island
1879-04-01,25.254,Baker Island
1879-05-01,25.281,Baker Island
1879-06-01,24.81900000000001,Baker Island
1879-07-01,24.788,Baker Island
1879-08-01,24.49,Baker Island
1879-09-01,24.719,Baker Island
1879-10-01,24.641,Baker Island
1879-11-01,24.446,Baker Island
1879-12-01,24.438000000000002,Baker Island
1880-01-01,24.026,Baker Island
1880-02-01,25.248,Baker Island
1880-03-01,25.158,Baker Island
1880-04-01,24.766,Baker Island
1880-05-01,25.291999999999998,Baker Island
1880-06-01,24.482,Baker Island
1880-07-01,24.87,Baker Island
1880-08-01,25.32500000000001,Baker Island
1880-09-01,24.902,Baker Island
1880-10-01,24.93,Baker Island
1880-11-01,24.501,Baker Island
1880-12-01,23.884,Baker Island
