Date,Value,Country
1893-09-01,24.801,Benin
1893-10-01,25.721999999999998,Benin
1893-11-01,26.908,Benin
1893-12-01,25.465,Benin
1894-01-01,25.642,Benin
1894-02-01,27.46,Benin
1894-03-01,29.014,Benin
1894-04-01,28.544,Benin
1894-05-01,27.894,Benin
1894-06-01,25.989,Benin
1894-07-01,24.764,Benin
1894-08-01,23.754,Benin
1894-09-01,24.627,Benin
1894-10-01,25.524,Benin
1894-11-01,26.178,Benin
1894-12-01,25.214,Benin
1895-01-01,25.733,Benin
1895-02-01,27.995,Benin
1895-03-01,29.014,Benin
1895-04-01,29.545,Benin
1895-05-01,28.043000000000006,Benin
1895-06-01,25.773000000000003,Benin
1895-07-01,24.945,Benin
1895-08-01,24.16,Benin
1895-09-01,24.799,Benin
1895-10-01,26.102,Benin
1895-11-01,27.011,Benin
1895-12-01,26.305,Benin
1896-01-01,25.884,Benin
1896-02-01,28.001,Benin
1896-03-01,28.653,Benin
1896-04-01,29.116,Benin
1896-05-01,27.414,Benin
1896-06-01,25.776,Benin
1896-07-01,25.111,Benin
1896-08-01,24.006,Benin
1896-09-01,24.861,Benin
1896-10-01,25.997,Benin
1896-11-01,26.612,Benin
1896-12-01,25.876,Benin
1897-01-01,25.81,Benin
1897-02-01,27.827,Benin
1897-03-01,30.009,Benin
1897-04-01,29.464,Benin
1897-05-01,28.447,Benin
1897-06-01,26.613000000000003,Benin
1897-07-01,25.823,Benin
1897-08-01,25.499,Benin
1897-09-01,25.54,Benin
1897-10-01,26.608,Benin
1897-11-01,26.105999999999998,Benin
1897-12-01,25.414,Benin
1898-01-01,25.484,Benin
1898-02-01,26.88900000000001,Benin
1898-03-01,29.693,Benin
1898-04-01,29.116,Benin
1898-05-01,28.164,Benin
1898-06-01,26.397,Benin
1898-07-01,25.107,Benin
1898-08-01,23.701,Benin
1898-09-01,24.699,Benin
1898-10-01,25.605999999999998,Benin
1898-11-01,27.392,Benin
1898-12-01,25.177,Benin
1899-01-01,24.635,Benin
1899-02-01,27.905,Benin
1899-03-01,29.103,Benin
1899-04-01,29.099,Benin
1899-05-01,28.820999999999998,Benin
1899-06-01,26.467,Benin
1899-07-01,26.284,Benin
1899-08-01,25.543000000000006,Benin
1899-09-01,26.099,Benin
1899-10-01,26.410999999999998,Benin
1899-11-01,26.828000000000007,Benin
1899-12-01,25.885,Benin
1900-01-01,25.20000000000001,Benin
1900-02-01,28.721,Benin
1900-03-01,30.795,Benin
1900-04-01,29.678,Benin
1900-05-01,28.314,Benin
1900-06-01,26.936,Benin
1900-07-01,24.922,Benin
1900-08-01,24.808000000000003,Benin
1900-09-01,25.736,Benin
1900-10-01,26.549,Benin
1900-11-01,26.945,Benin
1900-12-01,25.753,Benin
1901-01-01,25.34,Benin
1901-02-01,28.454,Benin
1901-03-01,29.892,Benin
1901-04-01,29.392,Benin
1901-05-01,28.225,Benin
1901-06-01,26.577,Benin
1901-07-01,25.648000000000003,Benin
1901-08-01,25.223000000000006,Benin
1901-09-01,25.881,Benin
1901-10-01,25.78,Benin
1901-11-01,26.833,Benin
1901-12-01,25.945999999999998,Benin
1902-01-01,24.855,Benin
1902-02-01,28.263,Benin
1902-03-01,29.649,Benin
1902-04-01,29.95,Benin
1902-05-01,28.414,Benin
1902-06-01,27.154,Benin
1902-07-01,25.546,Benin
1902-08-01,25.228,Benin
1902-09-01,25.29,Benin
1902-10-01,25.387,Benin
1902-11-01,26.454,Benin
1902-12-01,24.718000000000004,Benin
1903-01-01,25.183000000000003,Benin
1903-02-01,26.341,Benin
1903-03-01,29.543000000000006,Benin
1903-04-01,28.873,Benin
1903-05-01,28.399,Benin
1903-06-01,26.287,Benin
1903-07-01,24.808000000000003,Benin
1903-08-01,24.127,Benin
1903-09-01,24.904,Benin
1903-10-01,25.642,Benin
1903-11-01,25.959,Benin
1903-12-01,25.645,Benin
1904-01-01,24.541,Benin
1904-02-01,26.643,Benin
1904-03-01,28.169,Benin
1904-04-01,28.067,Benin
1904-05-01,27.156,Benin
1904-06-01,26.355,Benin
1904-07-01,24.779,Benin
1904-08-01,24.313,Benin
1904-09-01,25.15,Benin
1904-10-01,25.035,Benin
1904-11-01,26.872,Benin
1904-12-01,25.989,Benin
1905-01-01,25.457,Benin
1905-02-01,26.69,Benin
1905-03-01,28.87,Benin
1905-04-01,29.169,Benin
1905-05-01,28.085,Benin
1905-06-01,25.719,Benin
1905-07-01,24.938,Benin
1905-08-01,24.073,Benin
1905-09-01,24.987,Benin
1905-10-01,25.99,Benin
1905-11-01,26.885,Benin
1905-12-01,26.572,Benin
1906-01-01,25.84,Benin
1906-02-01,28.26400000000001,Benin
1906-03-01,30.535,Benin
1906-04-01,30.175,Benin
1906-05-01,27.725,Benin
1906-06-01,26.31,Benin
1906-07-01,24.914,Benin
1906-08-01,24.49,Benin
1906-09-01,25.303,Benin
1906-10-01,26.37,Benin
1906-11-01,26.509,Benin
1906-12-01,26.15,Benin
1907-01-01,25.673000000000002,Benin
1907-02-01,27.13000000000001,Benin
1907-03-01,29.433000000000003,Benin
1907-04-01,28.662,Benin
1907-05-01,27.784,Benin
1907-06-01,26.204,Benin
1907-07-01,25.296,Benin
1907-08-01,24.011,Benin
1907-09-01,25.136,Benin
1907-10-01,26.387,Benin
1907-11-01,26.462,Benin
1907-12-01,24.980999999999998,Benin
1908-01-01,25.559,Benin
1908-02-01,27.859,Benin
1908-03-01,29.317,Benin
1908-04-01,28.754,Benin
1908-05-01,28.069000000000006,Benin
1908-06-01,26.685,Benin
1908-07-01,25.73,Benin
1908-08-01,24.875,Benin
1908-09-01,25.480999999999998,Benin
1908-10-01,26.211,Benin
1908-11-01,26.23,Benin
1908-12-01,25.431,Benin
1909-01-01,25.774,Benin
1909-02-01,28.45300000000001,Benin
1909-03-01,30.156,Benin
1909-04-01,28.731,Benin
1909-05-01,27.753,Benin
1909-06-01,25.771,Benin
1909-07-01,24.843000000000004,Benin
1909-08-01,24.041999999999998,Benin
1909-09-01,25.041999999999998,Benin
1909-10-01,26.188,Benin
1909-11-01,26.467,Benin
