Date,Value,Country
1871-01-01,21.704,Bolivia
1871-02-01,21.119000000000003,Bolivia
1871-03-01,21.75,Bolivia
1871-04-01,20.686999999999998,Bolivia
1871-05-01,18.368,Bolivia
1871-06-01,17.307000000000002,Bolivia
1871-07-01,17.580000000000002,Bolivia
1871-08-01,19.487,Bolivia
1871-09-01,20.495,Bolivia
1871-10-01,08/22/2021,Bolivia
1871-11-01,22.337,Bolivia
1871-12-01,22.018,Bolivia
1872-01-01,22.031,Bolivia
1872-02-01,21.676,Bolivia
1872-03-01,21.436999999999998,Bolivia
1872-04-01,19.852999999999998,Bolivia
1872-05-01,18.489,Bolivia
1872-06-01,17.267,Bolivia
1872-07-01,17.205000000000002,Bolivia
1872-08-01,19.557,Bolivia
1872-09-01,21.078000000000007,Bolivia
1872-10-01,21.871,Bolivia
1872-11-01,22.369,Bolivia
1872-12-01,21.825,Bolivia
1873-01-01,22.789,Bolivia
1873-02-01,22.507,Bolivia
1873-03-01,21.492,Bolivia
1873-04-01,20.778,Bolivia
1873-05-01,20.16,Bolivia
1873-06-01,18.98,Bolivia
1873-07-01,17.665000000000006,Bolivia
1873-08-01,09/19/2021,Bolivia
1873-09-01,21.384,Bolivia
1873-10-01,22.269000000000002,Bolivia
1873-11-01,22.44,Bolivia
1873-12-01,22.58,Bolivia
1874-01-01,21.236,Bolivia
1874-02-01,21.567,Bolivia
1874-03-01,20.538,Bolivia
1874-04-01,20.426,Bolivia
1874-05-01,18.471,Bolivia
1874-06-01,17.531,Bolivia
1874-07-01,18.117,Bolivia
1874-08-01,19.273,Bolivia
1874-09-01,21.039,Bolivia
1874-10-01,21.322,Bolivia
1874-11-01,21.678,Bolivia
1874-12-01,21.587,Bolivia
1875-01-01,21.719,Bolivia
1875-02-01,21.844,Bolivia
1875-03-01,20.801,Bolivia
1875-04-01,20.051,Bolivia
1875-05-01,18.58,Bolivia
1875-06-01,16.014,Bolivia
1875-07-01,17.249000000000002,Bolivia
1875-08-01,17.868,Bolivia
1875-09-01,19.963,Bolivia
1875-10-01,21.346,Bolivia
1875-11-01,21.570999999999998,Bolivia
1875-12-01,21.667,Bolivia
1876-01-01,21.713,Bolivia
1876-02-01,22.04600000000001,Bolivia
1876-03-01,21.532,Bolivia
1876-04-01,20.609,Bolivia
1876-05-01,19.825000000000006,Bolivia
1876-06-01,17.052,Bolivia
1876-07-01,18.591,Bolivia
1876-08-01,18.665,Bolivia
1876-09-01,21.103,Bolivia
1876-10-01,22.168000000000006,Bolivia
1876-11-01,22.018,Bolivia
1876-12-01,21.599,Bolivia
1877-01-01,22.85700000000001,Bolivia
1877-02-01,22.45300000000001,Bolivia
1877-03-01,23.414,Bolivia
1877-04-01,21.302,Bolivia
1877-05-01,18.964000000000002,Bolivia
1877-06-01,18.014,Bolivia
1877-07-01,19.072000000000006,Bolivia
1877-08-01,19.535999999999998,Bolivia
1877-09-01,21.556,Bolivia
1877-10-01,23.229,Bolivia
1877-11-01,22.092,Bolivia
1877-12-01,21.502,Bolivia
1878-01-01,21.466,Bolivia
1878-02-01,22.278000000000002,Bolivia
1878-03-01,23.256999999999998,Bolivia
1878-04-01,21.48,Bolivia
1878-05-01,18.22,Bolivia
1878-06-01,17.871,Bolivia
1878-07-01,18.435,Bolivia
1878-08-01,19.209,Bolivia
1878-09-01,21.013,Bolivia
1878-10-01,22.021,Bolivia
1878-11-01,22.755,Bolivia
1878-12-01,21.998,Bolivia
1879-01-01,21.058000000000003,Bolivia
1879-02-01,21.772,Bolivia
1879-03-01,21.752,Bolivia
1879-04-01,20.083,Bolivia
1879-05-01,18.292,Bolivia
1879-06-01,17.277,Bolivia
1879-07-01,18.39,Bolivia
1879-08-01,18.166,Bolivia
1879-09-01,20.064,Bolivia
1879-10-01,22.065,Bolivia
1879-11-01,22.555999999999997,Bolivia
1879-12-01,21.746,Bolivia
1880-01-01,21.72,Bolivia
1880-02-01,21.705,Bolivia
1880-03-01,21.219,Bolivia
1880-04-01,19.944000000000006,Bolivia
1880-05-01,19.174,Bolivia
1880-06-01,18.424,Bolivia
1880-07-01,18.319000000000006,Bolivia
1880-08-01,20.022,Bolivia
1880-09-01,19.195999999999998,Bolivia
1880-10-01,20.991,Bolivia
1880-11-01,21.823,Bolivia
1880-12-01,21.798,Bolivia
1881-01-01,21.682,Bolivia
1881-02-01,21.443,Bolivia
1881-03-01,21.619,Bolivia
