Date,Value,Country
1744-09-01,15.586,Bosnia And Herzegovina
1744-10-01,10.380999999999998,Bosnia And Herzegovina
1744-11-01,6.162000000000001,Bosnia And Herzegovina
1744-12-01,1.483,Bosnia And Herzegovina
1745-01-01,-1.557,Bosnia And Herzegovina
1745-02-01,0.6160000000000001,Bosnia And Herzegovina
1745-03-01,4.039,Bosnia And Herzegovina
1745-04-01,9.62,Bosnia And Herzegovina
1745-05-01,,Bosnia And Herzegovina
1745-06-01,,Bosnia And Herzegovina
1745-07-01,,Bosnia And Herzegovina
1745-08-01,,Bosnia And Herzegovina
1745-09-01,,Bosnia And Herzegovina
1745-10-01,,Bosnia And Herzegovina
1745-11-01,,Bosnia And Herzegovina
1745-12-01,,Bosnia And Herzegovina
1746-01-01,,Bosnia And Herzegovina
1746-02-01,,Bosnia And Herzegovina
1746-03-01,,Bosnia And Herzegovina
1746-04-01,,Bosnia And Herzegovina
1746-05-01,,Bosnia And Herzegovina
1746-06-01,,Bosnia And Herzegovina
1746-07-01,,Bosnia And Herzegovina
1746-08-01,,Bosnia And Herzegovina
1746-09-01,,Bosnia And Herzegovina
1746-10-01,,Bosnia And Herzegovina
1746-11-01,,Bosnia And Herzegovina
1746-12-01,,Bosnia And Herzegovina
1747-01-01,,Bosnia And Herzegovina
1747-02-01,,Bosnia And Herzegovina
1747-03-01,,Bosnia And Herzegovina
1747-04-01,,Bosnia And Herzegovina
1747-05-01,,Bosnia And Herzegovina
1747-06-01,,Bosnia And Herzegovina
1747-07-01,,Bosnia And Herzegovina
1747-08-01,,Bosnia And Herzegovina
1747-09-01,,Bosnia And Herzegovina
1747-10-01,,Bosnia And Herzegovina
1747-11-01,,Bosnia And Herzegovina
1747-12-01,,Bosnia And Herzegovina
1748-01-01,,Bosnia And Herzegovina
1748-02-01,,Bosnia And Herzegovina
1748-03-01,,Bosnia And Herzegovina
1748-04-01,,Bosnia And Herzegovina
1748-05-01,,Bosnia And Herzegovina
1748-06-01,,Bosnia And Herzegovina
1748-07-01,,Bosnia And Herzegovina
1748-08-01,,Bosnia And Herzegovina
1748-09-01,,Bosnia And Herzegovina
1748-10-01,,Bosnia And Herzegovina
1748-11-01,,Bosnia And Herzegovina
1748-12-01,,Bosnia And Herzegovina
1749-01-01,,Bosnia And Herzegovina
1749-02-01,,Bosnia And Herzegovina
1749-03-01,,Bosnia And Herzegovina
1749-04-01,,Bosnia And Herzegovina
1749-05-01,,Bosnia And Herzegovina
1749-06-01,,Bosnia And Herzegovina
1749-07-01,,Bosnia And Herzegovina
1749-08-01,,Bosnia And Herzegovina
1749-09-01,,Bosnia And Herzegovina
1749-10-01,,Bosnia And Herzegovina
1749-11-01,,Bosnia And Herzegovina
1749-12-01,,Bosnia And Herzegovina
1750-01-01,0.529,Bosnia And Herzegovina
1750-02-01,3.26,Bosnia And Herzegovina
1750-03-01,7.27,Bosnia And Herzegovina
1750-04-01,10.097,Bosnia And Herzegovina
1750-05-01,14.68,Bosnia And Herzegovina
1750-06-01,18.160999999999998,Bosnia And Herzegovina
1750-07-01,21.887,Bosnia And Herzegovina
1750-08-01,20.148,Bosnia And Herzegovina
1750-09-01,15.62,Bosnia And Herzegovina
1750-10-01,8.676,Bosnia And Herzegovina
1750-11-01,,Bosnia And Herzegovina
1750-12-01,1.0070000000000001,Bosnia And Herzegovina
1751-01-01,-0.21799999999999994,Bosnia And Herzegovina
1751-02-01,-0.6199999999999997,Bosnia And Herzegovina
1751-03-01,6.975,Bosnia And Herzegovina
1751-04-01,09/09/2021,Bosnia And Herzegovina
1751-05-01,,Bosnia And Herzegovina
1751-06-01,19.302,Bosnia And Herzegovina
1751-07-01,21.076,Bosnia And Herzegovina
1751-08-01,20.627,Bosnia And Herzegovina
1751-09-01,15.123,Bosnia And Herzegovina
1751-10-01,,Bosnia And Herzegovina
1751-11-01,,Bosnia And Herzegovina
1751-12-01,,Bosnia And Herzegovina
1752-01-01,-1.3419999999999999,Bosnia And Herzegovina
1752-02-01,,Bosnia And Herzegovina
1752-03-01,6.651,Bosnia And Herzegovina
1752-04-01,9.759,Bosnia And Herzegovina
1752-05-01,,Bosnia And Herzegovina
1752-06-01,,Bosnia And Herzegovina
1752-07-01,,Bosnia And Herzegovina
1752-08-01,,Bosnia And Herzegovina
1752-09-01,,Bosnia And Herzegovina
1752-10-01,10.423,Bosnia And Herzegovina
1752-11-01,7.186,Bosnia And Herzegovina
1752-12-01,2.875,Bosnia And Herzegovina
1753-01-01,-1.9730000000000003,Bosnia And Herzegovina
1753-02-01,0.04300000000000015,Bosnia And Herzegovina
1753-03-01,6.558,Bosnia And Herzegovina
1753-04-01,10.293,Bosnia And Herzegovina
1753-05-01,15.253,Bosnia And Herzegovina
1753-06-01,20.463,Bosnia And Herzegovina
1753-07-01,21.589000000000002,Bosnia And Herzegovina
1753-08-01,19.567,Bosnia And Herzegovina
1753-09-01,16.607,Bosnia And Herzegovina
1753-10-01,11.343,Bosnia And Herzegovina
1753-11-01,4.776,Bosnia And Herzegovina
1753-12-01,-0.13199999999999967,Bosnia And Herzegovina
1754-01-01,-1.71,Bosnia And Herzegovina
1754-02-01,-1.9989999999999992,Bosnia And Herzegovina
1754-03-01,3.022,Bosnia And Herzegovina
1754-04-01,11.086,Bosnia And Herzegovina
1754-05-01,15.558,Bosnia And Herzegovina
1754-06-01,19.549,Bosnia And Herzegovina
1754-07-01,20.253,Bosnia And Herzegovina
1754-08-01,20.097,Bosnia And Herzegovina
1754-09-01,15.854000000000001,Bosnia And Herzegovina
1754-10-01,12.313,Bosnia And Herzegovina
1754-11-01,6.956,Bosnia And Herzegovina
1754-12-01,2.047,Bosnia And Herzegovina
1755-01-01,-4.787999999999999,Bosnia And Herzegovina
1755-02-01,-2.623,Bosnia And Herzegovina
