Date,Value,Country
1921-04-01,21.491,Botswana
1921-05-01,17.87,Botswana
1921-06-01,15.394,Botswana
1921-07-01,13.831,Botswana
1921-08-01,16.913999999999998,Botswana
1921-09-01,21.415,Botswana
1921-10-01,25.56900000000001,Botswana
1921-11-01,25.015,Botswana
1921-12-01,25.234,Botswana
1922-01-01,27.137,Botswana
1922-02-01,25.866,Botswana
1922-03-01,25.593000000000004,Botswana
1922-04-01,22.896,Botswana
1922-05-01,18.435,Botswana
1922-06-01,15.806,Botswana
1922-07-01,15.981,Botswana
1922-08-01,18.178,Botswana
1922-09-01,22.541999999999998,Botswana
1922-10-01,24.259,Botswana
1922-11-01,25.614,Botswana
1922-12-01,27.108,Botswana
1923-01-01,25.388,Botswana
1923-02-01,25.031,Botswana
1923-03-01,24.092,Botswana
1923-04-01,20.469,Botswana
1923-05-01,18.187,Botswana
1923-06-01,15.375,Botswana
1923-07-01,14.923,Botswana
1923-08-01,18.391,Botswana
1923-09-01,22.221,Botswana
1923-10-01,26.246,Botswana
1923-11-01,27.371,Botswana
1923-12-01,26.699,Botswana
1924-01-01,27.918000000000006,Botswana
1924-02-01,25.324,Botswana
1924-03-01,24.719,Botswana
1924-04-01,21.269000000000002,Botswana
1924-05-01,18.408,Botswana
1924-06-01,15.483,Botswana
1924-07-01,14.526,Botswana
1924-08-01,17.205,Botswana
1924-09-01,20.84,Botswana
1924-10-01,24.458000000000002,Botswana
1924-11-01,25.225,Botswana
1924-12-01,25.632,Botswana
1925-01-01,25.304,Botswana
1925-02-01,25.118000000000002,Botswana
1925-03-01,23.963,Botswana
1925-04-01,21.427,Botswana
1925-05-01,16.753,Botswana
1925-06-01,14.623,Botswana
1925-07-01,14.29,Botswana
1925-08-01,17.802999999999994,Botswana
1925-09-01,20.377,Botswana
1925-10-01,24.437,Botswana
1925-11-01,26.07200000000001,Botswana
1925-12-01,26.769000000000002,Botswana
1926-01-01,27.658,Botswana
1926-02-01,27.423000000000002,Botswana
1926-03-01,24.856,Botswana
1926-04-01,22.302,Botswana
1926-05-01,18.538,Botswana
1926-06-01,15.303,Botswana
1926-07-01,12.768,Botswana
1926-08-01,17.185,Botswana
1926-09-01,21.579,Botswana
1926-10-01,24.396,Botswana
1926-11-01,25.721,Botswana
1926-12-01,25.999000000000002,Botswana
1927-01-01,27.256999999999998,Botswana
1927-02-01,25.87,Botswana
1927-03-01,24.485,Botswana
1927-04-01,21.811,Botswana
1927-05-01,17.486,Botswana
1927-06-01,14.481,Botswana
1927-07-01,14.565,Botswana
1927-08-01,16.668,Botswana
1927-09-01,22.131999999999998,Botswana
1927-10-01,25.023000000000003,Botswana
1927-11-01,26.557,Botswana
1927-12-01,26.451,Botswana
1928-01-01,26.091,Botswana
1928-02-01,26.07500000000001,Botswana
1928-03-01,24.338,Botswana
1928-04-01,21.698,Botswana
1928-05-01,17.365,Botswana
1928-06-01,15.366,Botswana
1928-07-01,14.309000000000001,Botswana
1928-08-01,16.401,Botswana
1928-09-01,22.112,Botswana
1928-10-01,25.871,Botswana
1928-11-01,26.573,Botswana
1928-12-01,27.124000000000002,Botswana
1929-01-01,26.368,Botswana
1929-02-01,25.674,Botswana
1929-03-01,23.667,Botswana
1929-04-01,21.676,Botswana
1929-05-01,19.145,Botswana
1929-06-01,16.541,Botswana
1929-07-01,15.225,Botswana
1929-08-01,17.072999999999997,Botswana
1929-09-01,22.694000000000006,Botswana
1929-10-01,26.724,Botswana
1929-11-01,27.031,Botswana
1929-12-01,25.596,Botswana
1930-01-01,26.339,Botswana
1930-02-01,26.498,Botswana
1930-03-01,24.279,Botswana
1930-04-01,21.14,Botswana
1930-05-01,16.477999999999998,Botswana
1930-06-01,13.851,Botswana
1930-07-01,14.425999999999998,Botswana
1930-08-01,17.142,Botswana
1930-09-01,21.028,Botswana
1930-10-01,25.03700000000001,Botswana
1930-11-01,27.14,Botswana
1930-12-01,26.180000000000003,Botswana
1931-01-01,25.832,Botswana
1931-02-01,03/27/2021,Botswana
1931-03-01,24.794,Botswana
1931-04-01,21.091,Botswana
1931-05-01,19.73,Botswana
1931-06-01,14.905,Botswana
1931-07-01,14.681,Botswana
1931-08-01,18.129,Botswana
1931-09-01,21.891,Botswana
1931-10-01,24.711,Botswana
1931-11-01,24.964000000000002,Botswana
1931-12-01,26.57800000000001,Botswana
1932-01-01,26.695,Botswana
1932-02-01,26.035,Botswana
1932-03-01,23.913,Botswana
1932-04-01,21.906,Botswana
1932-05-01,18.102,Botswana
1932-06-01,14.244000000000002,Botswana
1932-07-01,13.219000000000001,Botswana
1932-08-01,16.677,Botswana
1932-09-01,21.865,Botswana
1932-10-01,25.63300000000001,Botswana
1932-11-01,26.968000000000004,Botswana
1932-12-01,26.032,Botswana
1933-01-01,26.033,Botswana
1933-02-01,26.48,Botswana
1933-03-01,25.732,Botswana
1933-04-01,22.121,Botswana
1933-05-01,18.26,Botswana
1933-06-01,14.851,Botswana
1933-07-01,15.649000000000001,Botswana
1933-08-01,17.65,Botswana
1933-09-01,21.285,Botswana
1933-10-01,25.932,Botswana
1933-11-01,25.206000000000003,Botswana
1933-12-01,25.24,Botswana
1934-01-01,25.505,Botswana
1934-02-01,24.468000000000004,Botswana
1934-03-01,24.229,Botswana
1934-04-01,22.132,Botswana
1934-05-01,19.187,Botswana
1934-06-01,15.911,Botswana
1934-07-01,16.048000000000002,Botswana
1934-08-01,18.865,Botswana
1934-09-01,21.33,Botswana
1934-10-01,24.576,Botswana
1934-11-01,25.44,Botswana
1934-12-01,25.09800000000001,Botswana
1935-01-01,26.053,Botswana
1935-02-01,24.556,Botswana
1935-03-01,23.968000000000004,Botswana
1935-04-01,21.283,Botswana
1935-05-01,17.864,Botswana
1935-06-01,13.814,Botswana
1935-07-01,15.385,Botswana
1935-08-01,15.263999999999998,Botswana
1935-09-01,21.555999999999997,Botswana
1935-10-01,26.279000000000003,Botswana
1935-11-01,25.564,Botswana
1935-12-01,26.064,Botswana
1936-01-01,25.616,Botswana
1936-02-01,25.73,Botswana
1936-03-01,23.81600000000001,Botswana
1936-04-01,21.533,Botswana
1936-05-01,17.577,Botswana
1936-06-01,15.468,Botswana
1936-07-01,15.054,Botswana
1936-08-01,17.645,Botswana
1936-09-01,20.211,Botswana
1936-10-01,24.643,Botswana
1936-11-01,25.833000000000002,Botswana
1936-12-01,25.875,Botswana
1937-01-01,26.227,Botswana
1937-02-01,24.464000000000002,Botswana
1937-03-01,24.424,Botswana
1937-04-01,21.552,Botswana
1937-05-01,18.007,Botswana
1937-06-01,14.904000000000002,Botswana
1937-07-01,13.687000000000001,Botswana
1937-08-01,17.34,Botswana
1937-09-01,20.72,Botswana
1937-10-01,25.141,Botswana
1937-11-01,26.91500000000001,Botswana
1937-12-01,24.779000000000003,Botswana
1938-01-01,26.201999999999998,Botswana
1938-02-01,24.98,Botswana
1938-03-01,25.362,Botswana
1938-04-01,23.304000000000002,Botswana
1938-05-01,19.24,Botswana
1938-06-01,15.294,Botswana
1938-07-01,15.005999999999998,Botswana
1938-08-01,17.247,Botswana
1938-09-01,21.535999999999998,Botswana
1938-10-01,25.717,Botswana
1938-11-01,24.673000000000002,Botswana
1938-12-01,25.425,Botswana
1939-01-01,25.774,Botswana
1939-02-01,24.867,Botswana
1939-03-01,23.154,Botswana
1939-04-01,20.831,Botswana
1939-05-01,08/18/2021,Botswana
1939-06-01,14.744000000000002,Botswana
1939-07-01,14.847000000000001,Botswana
1939-08-01,17.166999999999998,Botswana
1939-09-01,19.934,Botswana
1939-10-01,24.675,Botswana
1939-11-01,24.88600000000001,Botswana
1939-12-01,25.704,Botswana
1940-01-01,26.41,Botswana
1940-02-01,25.451,Botswana
1940-03-01,24.317,Botswana
1940-04-01,04/21/2021,Botswana
1940-05-01,17.851,Botswana
1940-06-01,15.211,Botswana
1940-07-01,14.835,Botswana
1940-08-01,18.945,Botswana
1940-09-01,22.611,Botswana
1940-10-01,24.093000000000004,Botswana
1940-11-01,26.216,Botswana
1940-12-01,27.416,Botswana
1941-01-01,25.049,Botswana
1941-02-01,25.355,Botswana
1941-03-01,24.996,Botswana
1941-04-01,22.905,Botswana
1941-05-01,19.635,Botswana
1941-06-01,16.366,Botswana
1941-07-01,15.701,Botswana
1941-08-01,18.62,Botswana
1941-09-01,21.713,Botswana
1941-10-01,25.88900000000001,Botswana
1941-11-01,27.199,Botswana
1941-12-01,26.709000000000003,Botswana
1942-01-01,27.682,Botswana
1942-02-01,27.852,Botswana
1942-03-01,24.805,Botswana
1942-04-01,21.821,Botswana
1942-05-01,18.012,Botswana
1942-06-01,15.908,Botswana
1942-07-01,14.827,Botswana
1942-08-01,19.047,Botswana
1942-09-01,22.874,Botswana
1942-10-01,23.285,Botswana
1942-11-01,26.282,Botswana
