Date,Value,Country
1883-02-01,24.152,British Virgin Islands
1883-03-01,23.994,British Virgin Islands
1883-04-01,24.570999999999998,British Virgin Islands
1883-05-01,25.695999999999998,British Virgin Islands
1883-06-01,26.86,British Virgin Islands
1883-07-01,27.396,British Virgin Islands
1883-08-01,27.265,British Virgin Islands
1883-09-01,26.943,British Virgin Islands
1883-10-01,26.167,British Virgin Islands
1883-11-01,25.461,British Virgin Islands
1883-12-01,24.239,British Virgin Islands
1884-01-01,24.295,British Virgin Islands
1884-02-01,23.732,British Virgin Islands
1884-03-01,23.72900000000001,British Virgin Islands
1884-04-01,24.081,British Virgin Islands
1884-05-01,26.058000000000003,British Virgin Islands
1884-06-01,26.871,British Virgin Islands
1884-07-01,27.565,British Virgin Islands
1884-08-01,27.096,British Virgin Islands
1884-09-01,27.21,British Virgin Islands
1884-10-01,26.334,British Virgin Islands
1884-11-01,26.304,British Virgin Islands
1884-12-01,24.304,British Virgin Islands
1885-01-01,23.926,British Virgin Islands
1885-02-01,24.557,British Virgin Islands
1885-03-01,24.204,British Virgin Islands
1885-04-01,24.916,British Virgin Islands
1885-05-01,26.49,British Virgin Islands
1885-06-01,27.209,British Virgin Islands
1885-07-01,27.674,British Virgin Islands
1885-08-01,27.500999999999998,British Virgin Islands
1885-09-01,27.386,British Virgin Islands
1885-10-01,26.412,British Virgin Islands
1885-11-01,26.58,British Virgin Islands
1885-12-01,25.315,British Virgin Islands
1886-01-01,24.022,British Virgin Islands
1886-02-01,24.034,British Virgin Islands
1886-03-01,24.342,British Virgin Islands
1886-04-01,24.868,British Virgin Islands
1886-05-01,26.066,British Virgin Islands
1886-06-01,26.956999999999997,British Virgin Islands
1886-07-01,27.086,British Virgin Islands
1886-08-01,09/27/2021,British Virgin Islands
1886-09-01,26.959,British Virgin Islands
1886-10-01,26.661,British Virgin Islands
1886-11-01,25.436999999999998,British Virgin Islands
1886-12-01,24.389,British Virgin Islands
1887-01-01,22.945,British Virgin Islands
1887-02-01,23.063,British Virgin Islands
1887-03-01,23.245,British Virgin Islands
1887-04-01,24.441,British Virgin Islands
1887-05-01,25.784,British Virgin Islands
1887-06-01,26.82,British Virgin Islands
1887-07-01,27.67,British Virgin Islands
1887-08-01,27.289,British Virgin Islands
1887-09-01,27.35,British Virgin Islands
1887-10-01,27.015,British Virgin Islands
1887-11-01,25.951,British Virgin Islands
1887-12-01,24.688,British Virgin Islands
1888-01-01,23.448,British Virgin Islands
1888-02-01,23.709,British Virgin Islands
1888-03-01,23.845,British Virgin Islands
1888-04-01,24.658,British Virgin Islands
1888-05-01,25.939,British Virgin Islands
1888-06-01,27.311999999999998,British Virgin Islands
1888-07-01,27.479,British Virgin Islands
1888-08-01,27.953000000000007,British Virgin Islands
1888-09-01,28.057,British Virgin Islands
1888-10-01,26.462,British Virgin Islands
1888-11-01,26.136,British Virgin Islands
1888-12-01,25.164,British Virgin Islands
1889-01-01,24.68,British Virgin Islands
1889-02-01,24.49,British Virgin Islands
1889-03-01,25.233,British Virgin Islands
1889-04-01,25.871,British Virgin Islands
1889-05-01,26.541999999999998,British Virgin Islands
1889-06-01,27.186999999999998,British Virgin Islands
1889-07-01,27.513,British Virgin Islands
1889-08-01,27.548,British Virgin Islands
1889-09-01,27.047,British Virgin Islands
1889-10-01,26.499000000000002,British Virgin Islands
1889-11-01,26.343000000000004,British Virgin Islands
1889-12-01,25.15,British Virgin Islands
1890-01-01,24.496,British Virgin Islands
1890-02-01,24.255,British Virgin Islands
1890-03-01,24.288,British Virgin Islands
1890-04-01,24.515,British Virgin Islands
1890-05-01,09/26/2021,British Virgin Islands
1890-06-01,27.178,British Virgin Islands
1890-07-01,27.119,British Virgin Islands
1890-08-01,27.263,British Virgin Islands
1890-09-01,01/27/2021,British Virgin Islands
1890-10-01,26.569000000000006,British Virgin Islands
1890-11-01,25.805,British Virgin Islands
1890-12-01,24.553,British Virgin Islands
1891-01-01,24.247,British Virgin Islands
1891-02-01,24.186,British Virgin Islands
1891-03-01,24.38000000000001,British Virgin Islands
1891-04-01,25.258000000000006,British Virgin Islands
1891-05-01,26.291,British Virgin Islands
1891-06-01,27.081999999999997,British Virgin Islands
1891-07-01,27.806,British Virgin Islands
1891-08-01,27.779,British Virgin Islands
1891-09-01,27.704,British Virgin Islands
1891-10-01,26.864,British Virgin Islands
1891-11-01,26.256,British Virgin Islands
1891-12-01,25.232,British Virgin Islands
1892-01-01,24.766,British Virgin Islands
1892-02-01,24.063,British Virgin Islands
1892-03-01,25.183000000000003,British Virgin Islands
1892-04-01,25.079,British Virgin Islands
1892-05-01,26.313,British Virgin Islands
1892-06-01,01/27/2021,British Virgin Islands
1892-07-01,27.391,British Virgin Islands
1892-08-01,27.71,British Virgin Islands
1892-09-01,27.317,British Virgin Islands
1892-10-01,26.694000000000006,British Virgin Islands
1892-11-01,25.704,British Virgin Islands
1892-12-01,24.535,British Virgin Islands
1893-01-01,23.443,British Virgin Islands
1893-02-01,24.131,British Virgin Islands
1893-03-01,24.321,British Virgin Islands
1893-04-01,25.183000000000003,British Virgin Islands
1893-05-01,25.99,British Virgin Islands
1893-06-01,27.104,British Virgin Islands
1893-07-01,27.332,British Virgin Islands
1893-08-01,27.838,British Virgin Islands
1893-09-01,27.153000000000002,British Virgin Islands
1893-10-01,26.788,British Virgin Islands
1893-11-01,26.051,British Virgin Islands
1893-12-01,24.571,British Virgin Islands
1894-01-01,24.23,British Virgin Islands
1894-02-01,23.947,British Virgin Islands
1894-03-01,24.052,British Virgin Islands
1894-04-01,24.680999999999997,British Virgin Islands
1894-05-01,26.282,British Virgin Islands
1894-06-01,26.67,British Virgin Islands
1894-07-01,27.237,British Virgin Islands
1894-08-01,27.772,British Virgin Islands
1894-09-01,27.796,British Virgin Islands
1894-10-01,26.711,British Virgin Islands
1894-11-01,25.869,British Virgin Islands
1894-12-01,24.526,British Virgin Islands
1895-01-01,23.984,British Virgin Islands
1895-02-01,23.926,British Virgin Islands
1895-03-01,24.449,British Virgin Islands
1895-04-01,25.206,British Virgin Islands
1895-05-01,26.186,British Virgin Islands
1895-06-01,27.366999999999997,British Virgin Islands
1895-07-01,27.73,British Virgin Islands
1895-08-01,27.875999999999998,British Virgin Islands
1895-09-01,27.654,British Virgin Islands
1895-10-01,26.983,British Virgin Islands
1895-11-01,26.378,British Virgin Islands
1895-12-01,24.858,British Virgin Islands
1896-01-01,24.109,British Virgin Islands
1896-02-01,24.28,British Virgin Islands
1896-03-01,24.55,British Virgin Islands
1896-04-01,24.829,British Virgin Islands
1896-05-01,26.207,British Virgin Islands
1896-06-01,27.424,British Virgin Islands
1896-07-01,27.847,British Virgin Islands
1896-08-01,27.89,British Virgin Islands
1896-09-01,27.709,British Virgin Islands
1896-10-01,27.266,British Virgin Islands
1896-11-01,25.958,British Virgin Islands
1896-12-01,24.848000000000006,British Virgin Islands
1897-01-01,24.279,British Virgin Islands
1897-02-01,24.629,British Virgin Islands
1897-03-01,24.968000000000004,British Virgin Islands
1897-04-01,25.67,British Virgin Islands
1897-05-01,26.285,British Virgin Islands
1897-06-01,27.331,British Virgin Islands
1897-07-01,28.025,British Virgin Islands
1897-08-01,05/28/2021,British Virgin Islands
1897-09-01,27.623,British Virgin Islands
1897-10-01,27.36,British Virgin Islands
1897-11-01,26.098000000000006,British Virgin Islands
1897-12-01,25.074,British Virgin Islands
1898-01-01,24.426,British Virgin Islands
1898-02-01,23.974,British Virgin Islands
1898-03-01,24.486,British Virgin Islands
1898-04-01,25.694000000000006,British Virgin Islands
1898-05-01,26.864,British Virgin Islands
1898-06-01,27.61,British Virgin Islands
1898-07-01,27.663,British Virgin Islands
1898-08-01,27.797,British Virgin Islands
1898-09-01,27.541,British Virgin Islands
1898-10-01,27.203000000000007,British Virgin Islands
1898-11-01,25.739,British Virgin Islands
1898-12-01,25.087,British Virgin Islands
1899-01-01,24.125,British Virgin Islands
1899-02-01,24.428,British Virgin Islands
1899-03-01,24.494,British Virgin Islands
1899-04-01,25.055,British Virgin Islands
1899-05-01,26.489,British Virgin Islands
1899-06-01,27.066,British Virgin Islands
1899-07-01,27.725,British Virgin Islands
1899-08-01,27.621,British Virgin Islands
1899-09-01,27.461,British Virgin Islands
1899-10-01,26.512,British Virgin Islands
1899-11-01,26.303,British Virgin Islands
1899-12-01,24.335,British Virgin Islands
1900-01-01,24.206999999999997,British Virgin Islands
1900-02-01,24.221999999999998,British Virgin Islands
1900-03-01,24.517,British Virgin Islands
1900-04-01,25.394,British Virgin Islands
1900-05-01,26.552,British Virgin Islands
1900-06-01,26.811999999999998,British Virgin Islands
1900-07-01,27.553,British Virgin Islands
1900-08-01,27.762,British Virgin Islands
1900-09-01,27.594,British Virgin Islands
1900-10-01,27.029,British Virgin Islands
1900-11-01,26.526,British Virgin Islands
1900-12-01,25.201999999999998,British Virgin Islands
1901-01-01,24.410999999999998,British Virgin Islands
1901-02-01,24.759,British Virgin Islands
1901-03-01,25.186,British Virgin Islands
1901-04-01,26.055,British Virgin Islands
1901-05-01,27.283,British Virgin Islands
1901-06-01,27.377,British Virgin Islands
1901-07-01,27.402,British Virgin Islands
1901-08-01,28.083,British Virgin Islands
1901-09-01,27.938,British Virgin Islands
1901-10-01,01/27/2021,British Virgin Islands
1901-11-01,26.262,British Virgin Islands
1901-12-01,25.058000000000003,British Virgin Islands
1902-01-01,24.449,British Virgin Islands
1902-02-01,25.096,British Virgin Islands
1902-03-01,24.69400000000001,British Virgin Islands
1902-04-01,25.515,British Virgin Islands
1902-05-01,26.477,British Virgin Islands
1902-06-01,27.108,British Virgin Islands
1902-07-01,27.805,British Virgin Islands
1902-08-01,28.133000000000006,British Virgin Islands
1902-09-01,27.577,British Virgin Islands
1902-10-01,26.72,British Virgin Islands
1902-11-01,25.969,British Virgin Islands
1902-12-01,24.972,British Virgin Islands
1903-01-01,24.62,British Virgin Islands
1903-02-01,24.687,British Virgin Islands
1903-03-01,24.759,British Virgin Islands
1903-04-01,25.782,British Virgin Islands
1903-05-01,27.083,British Virgin Islands
1903-06-01,27.768,British Virgin Islands
1903-07-01,27.68,British Virgin Islands
1903-08-01,27.858,British Virgin Islands
1903-09-01,27.399,British Virgin Islands
1903-10-01,26.825,British Virgin Islands
1903-11-01,26.021,British Virgin Islands
1903-12-01,24.829,British Virgin Islands
1904-01-01,24.311,British Virgin Islands
1904-02-01,24.278,British Virgin Islands
1904-03-01,24.328000000000007,British Virgin Islands
1904-04-01,24.836,British Virgin Islands
1904-05-01,26.283,British Virgin Islands
1904-06-01,27.076,British Virgin Islands
1904-07-01,27.273000000000003,British Virgin Islands
1904-08-01,27.155,British Virgin Islands
1904-09-01,27.041,British Virgin Islands
1904-10-01,26.455,British Virgin Islands
1904-11-01,26.236,British Virgin Islands
1904-12-01,25.032,British Virgin Islands
1905-01-01,24.36,British Virgin Islands
1905-02-01,24.301,British Virgin Islands
1905-03-01,24.578000000000007,British Virgin Islands
1905-04-01,25.612,British Virgin Islands
1905-05-01,26.151,British Virgin Islands
1905-06-01,27.476,British Virgin Islands
1905-07-01,27.843000000000004,British Virgin Islands
1905-08-01,28.252,British Virgin Islands
1905-09-01,27.656,British Virgin Islands
1905-10-01,27.238000000000003,British Virgin Islands
1905-11-01,26.987,British Virgin Islands
1905-12-01,25.503,British Virgin Islands
1906-01-01,24.561999999999998,British Virgin Islands
1906-02-01,24.551,British Virgin Islands
1906-03-01,24.775,British Virgin Islands
1906-04-01,25.221999999999998,British Virgin Islands
1906-05-01,26.496,British Virgin Islands
1906-06-01,26.883000000000006,British Virgin Islands
1906-07-01,27.286,British Virgin Islands
1906-08-01,27.812,British Virgin Islands
1906-09-01,27.375,British Virgin Islands
1906-10-01,27.163,British Virgin Islands
1906-11-01,26.657,British Virgin Islands
1906-12-01,24.459,British Virgin Islands
1907-01-01,23.607,British Virgin Islands
1907-02-01,23.541,British Virgin Islands
1907-03-01,23.875,British Virgin Islands
1907-04-01,24.831,British Virgin Islands
1907-05-01,25.954,British Virgin Islands
1907-06-01,26.955,British Virgin Islands
1907-07-01,27.653000000000002,British Virgin Islands
1907-08-01,27.64,British Virgin Islands
1907-09-01,27.417,British Virgin Islands
1907-10-01,26.876,British Virgin Islands
1907-11-01,26.243,British Virgin Islands
1907-12-01,25.289,British Virgin Islands
1908-01-01,24.41,British Virgin Islands
1908-02-01,23.943,British Virgin Islands
1908-03-01,24.592,British Virgin Islands
1908-04-01,25.052,British Virgin Islands
1908-05-01,26.414,British Virgin Islands
1908-06-01,27.173,British Virgin Islands
1908-07-01,27.308000000000003,British Virgin Islands
1908-08-01,27.871,British Virgin Islands
1908-09-01,27.483,British Virgin Islands
1908-10-01,26.897,British Virgin Islands
1908-11-01,26.151,British Virgin Islands
1908-12-01,25.152,British Virgin Islands
1909-01-01,23.985,British Virgin Islands
1909-02-01,23.958,British Virgin Islands
1909-03-01,24.845,British Virgin Islands
1909-04-01,24.941999999999997,British Virgin Islands
1909-05-01,26.366999999999997,British Virgin Islands
1909-06-01,26.733,British Virgin Islands
1909-07-01,27.437,British Virgin Islands
1909-08-01,27.169,British Virgin Islands
1909-09-01,27.632,British Virgin Islands
1909-10-01,27.124000000000002,British Virgin Islands
1909-11-01,26.129,British Virgin Islands
1909-12-01,24.15,British Virgin Islands
1910-01-01,23.653,British Virgin Islands
1910-02-01,23.566,British Virgin Islands
1910-03-01,24.094,British Virgin Islands
1910-04-01,24.820999999999998,British Virgin Islands
1910-05-01,25.535999999999998,British Virgin Islands
1910-06-01,26.927,British Virgin Islands
1910-07-01,27.363000000000003,British Virgin Islands
1910-08-01,27.549,British Virgin Islands
1910-09-01,27.087,British Virgin Islands
1910-10-01,26.85,British Virgin Islands
1910-11-01,26.499,British Virgin Islands
1910-12-01,25.381,British Virgin Islands
1911-01-01,23.964,British Virgin Islands
1911-02-01,23.698,British Virgin Islands
1911-03-01,23.731,British Virgin Islands
1911-04-01,25.124,British Virgin Islands
1911-05-01,26.238000000000003,British Virgin Islands
1911-06-01,27.561,British Virgin Islands
1911-07-01,27.474,British Virgin Islands
1911-08-01,27.925,British Virgin Islands
1911-09-01,27.68,British Virgin Islands
1911-10-01,27.318,British Virgin Islands
1911-11-01,26.684,British Virgin Islands
1911-12-01,25.223000000000006,British Virgin Islands
1912-01-01,24.69,British Virgin Islands
1912-02-01,24.819000000000006,British Virgin Islands
1912-03-01,25.123,British Virgin Islands
1912-04-01,25.162,British Virgin Islands
1912-05-01,26.64,British Virgin Islands
1912-06-01,27.214,British Virgin Islands
1912-07-01,27.789,British Virgin Islands
1912-08-01,27.897,British Virgin Islands
1912-09-01,27.603,British Virgin Islands
1912-10-01,26.933000000000003,British Virgin Islands
1912-11-01,26.249,British Virgin Islands
1912-12-01,25.16,British Virgin Islands
1913-01-01,24.255,British Virgin Islands
1913-02-01,23.779,British Virgin Islands
1913-03-01,24.196,British Virgin Islands
1913-04-01,24.337,British Virgin Islands
1913-05-01,25.498,British Virgin Islands
1913-06-01,26.615,British Virgin Islands
1913-07-01,27.124000000000002,British Virgin Islands
1913-08-01,27.24,British Virgin Islands
1913-09-01,27.359,British Virgin Islands
1913-10-01,26.465,British Virgin Islands
1913-11-01,26.059,British Virgin Islands
1913-12-01,24.562,British Virgin Islands
1914-01-01,24.146,British Virgin Islands
1914-02-01,24.255,British Virgin Islands
1914-03-01,24.619,British Virgin Islands
1914-04-01,25.133000000000006,British Virgin Islands
1914-05-01,26.156,British Virgin Islands
1914-06-01,26.764,British Virgin Islands
1914-07-01,27.332,British Virgin Islands
1914-08-01,27.522,British Virgin Islands
1914-09-01,27.635,British Virgin Islands
1914-10-01,27.239,British Virgin Islands
1914-11-01,26.525,British Virgin Islands
1914-12-01,25.919,British Virgin Islands
1915-01-01,24.423,British Virgin Islands
1915-02-01,24.282,British Virgin Islands
1915-03-01,24.94100000000001,British Virgin Islands
1915-04-01,25.254,British Virgin Islands
1915-05-01,26.755,British Virgin Islands
1915-06-01,27.514,British Virgin Islands
1915-07-01,28.013,British Virgin Islands
1915-08-01,28.125999999999998,British Virgin Islands
1915-09-01,27.968000000000004,British Virgin Islands
1915-10-01,27.493000000000002,British Virgin Islands
1915-11-01,26.523000000000003,British Virgin Islands
1915-12-01,25.423,British Virgin Islands
1916-01-01,24.381999999999998,British Virgin Islands
1916-02-01,24.322,British Virgin Islands
1916-03-01,24.227,British Virgin Islands
1916-04-01,25.072,British Virgin Islands
1916-05-01,26.707,British Virgin Islands
1916-06-01,27.165,British Virgin Islands
1916-07-01,27.423000000000002,British Virgin Islands
1916-08-01,27.547,British Virgin Islands
1916-09-01,27.458000000000002,British Virgin Islands
1916-10-01,26.75,British Virgin Islands
1916-11-01,25.919,British Virgin Islands
1916-12-01,24.158,British Virgin Islands
1917-01-01,23.500999999999998,British Virgin Islands
1917-02-01,23.532,British Virgin Islands
1917-03-01,23.91200000000001,British Virgin Islands
1917-04-01,24.921,British Virgin Islands
1917-05-01,26.445999999999998,British Virgin Islands
1917-06-01,27.268,British Virgin Islands
1917-07-01,27.383000000000006,British Virgin Islands
1917-08-01,27.482,British Virgin Islands
1917-09-01,27.29,British Virgin Islands
1917-10-01,26.705,British Virgin Islands
1917-11-01,26.299,British Virgin Islands
1917-12-01,24.484,British Virgin Islands
1918-01-01,24.404,British Virgin Islands
1918-02-01,24.395,British Virgin Islands
1918-03-01,24.50800000000001,British Virgin Islands
1918-04-01,25.253,British Virgin Islands
1918-05-01,25.851,British Virgin Islands
1918-06-01,27.15,British Virgin Islands
1918-07-01,27.499000000000002,British Virgin Islands
1918-08-01,28.117,British Virgin Islands
1918-09-01,27.639,British Virgin Islands
1918-10-01,26.745,British Virgin Islands
1918-11-01,26.113000000000003,British Virgin Islands
1918-12-01,24.887,British Virgin Islands
1919-01-01,24.425,British Virgin Islands
1919-02-01,24.682,British Virgin Islands
1919-03-01,24.809,British Virgin Islands
1919-04-01,25.393,British Virgin Islands
1919-05-01,26.991,British Virgin Islands
1919-06-01,27.528,British Virgin Islands
1919-07-01,27.438000000000002,British Virgin Islands
1919-08-01,28.146,British Virgin Islands
1919-09-01,27.386,British Virgin Islands
1919-10-01,27.255,British Virgin Islands
1919-11-01,26.337,British Virgin Islands
1919-12-01,25.269,British Virgin Islands
1920-01-01,24.499,British Virgin Islands
1920-02-01,24.825,British Virgin Islands
1920-03-01,25.092,British Virgin Islands
1920-04-01,25.509,British Virgin Islands
1920-05-01,26.643,British Virgin Islands
1920-06-01,27.098000000000006,British Virgin Islands
1920-07-01,27.574,British Virgin Islands
1920-08-01,27.563,British Virgin Islands
1920-09-01,27.565,British Virgin Islands
1920-10-01,27.084,British Virgin Islands
1920-11-01,26.457,British Virgin Islands
1920-12-01,25.239,British Virgin Islands
1921-01-01,24.669,British Virgin Islands
1921-02-01,24.81,British Virgin Islands
1921-03-01,24.42,British Virgin Islands
1921-04-01,24.456,British Virgin Islands
1921-05-01,26.336,British Virgin Islands
1921-06-01,27.587,British Virgin Islands
1921-07-01,27.108,British Virgin Islands
1921-08-01,27.855,British Virgin Islands
1921-09-01,27.536,British Virgin Islands
1921-10-01,26.973000000000006,British Virgin Islands
1921-11-01,26.359,British Virgin Islands
1921-12-01,25.012,British Virgin Islands
1922-01-01,24.239,British Virgin Islands
1922-02-01,24.561,British Virgin Islands
1922-03-01,24.427,British Virgin Islands
1922-04-01,24.448,British Virgin Islands
1922-05-01,26.248,British Virgin Islands
1922-06-01,26.795,British Virgin Islands
1922-07-01,27.384,British Virgin Islands
1922-08-01,27.509,British Virgin Islands
1922-09-01,27.473000000000006,British Virgin Islands
1922-10-01,26.805,British Virgin Islands
1922-11-01,26.035,British Virgin Islands
1922-12-01,24.889,British Virgin Islands
1923-01-01,23.861,British Virgin Islands
1923-02-01,24.282,British Virgin Islands
1923-03-01,24.361,British Virgin Islands
1923-04-01,24.729,British Virgin Islands
1923-05-01,26.642,British Virgin Islands
1923-06-01,26.905,British Virgin Islands
1923-07-01,27.48,British Virgin Islands
1923-08-01,28.103,British Virgin Islands
1923-09-01,27.785,British Virgin Islands
1923-10-01,26.984,British Virgin Islands
1923-11-01,26.478,British Virgin Islands
1923-12-01,24.91,British Virgin Islands
1924-01-01,24.695999999999998,British Virgin Islands
1924-02-01,24.332,British Virgin Islands
1924-03-01,25.185,British Virgin Islands
1924-04-01,25.638,British Virgin Islands
1924-05-01,26.655,British Virgin Islands
1924-06-01,27.052,British Virgin Islands
1924-07-01,27.504,British Virgin Islands
1924-08-01,27.596999999999998,British Virgin Islands
1924-09-01,27.392,British Virgin Islands
1924-10-01,27.026,British Virgin Islands
1924-11-01,26.538,British Virgin Islands
1924-12-01,25.169,British Virgin Islands
1925-01-01,24.436,British Virgin Islands
1925-02-01,24.000999999999998,British Virgin Islands
