Date,Value,Country
1909-03-01,24.391,Cameroon
1909-04-01,24.391,Cameroon
1909-05-01,24.396,Cameroon
1909-06-01,23.381,Cameroon
1909-07-01,22.739,Cameroon
1909-08-01,22.886,Cameroon
1909-09-01,22.875,Cameroon
1909-10-01,23.632,Cameroon
1909-11-01,23.909,Cameroon
1909-12-01,22.875,Cameroon
1910-01-01,22.946,Cameroon
1910-02-01,23.875999999999998,Cameroon
1910-03-01,24.484,Cameroon
1910-04-01,24.701,Cameroon
1910-05-01,24.416,Cameroon
1910-06-01,23.78,Cameroon
1910-07-01,23.221,Cameroon
1910-08-01,23.069000000000006,Cameroon
1910-09-01,23.866,Cameroon
1910-10-01,23.075,Cameroon
1910-11-01,23.22,Cameroon
1910-12-01,23.086,Cameroon
1911-01-01,24.167,Cameroon
1911-02-01,24.421,Cameroon
1911-03-01,24.994,Cameroon
1911-04-01,24.888,Cameroon
1911-05-01,23.707,Cameroon
1911-06-01,22.86,Cameroon
1911-07-01,23.148000000000003,Cameroon
1911-08-01,22.767,Cameroon
1911-09-01,23.253,Cameroon
1911-10-01,23.465,Cameroon
1911-11-01,23.334,Cameroon
1911-12-01,23.57200000000001,Cameroon
1912-01-01,23.923000000000002,Cameroon
1912-02-01,24.704,Cameroon
1912-03-01,25.744,Cameroon
1912-04-01,26.49,Cameroon
1912-05-01,26.266,Cameroon
1912-06-01,25.084,Cameroon
1912-07-01,23.567,Cameroon
1912-08-01,23.315,Cameroon
1912-09-01,22.647,Cameroon
1912-10-01,23.171,Cameroon
1912-11-01,23.944000000000006,Cameroon
1912-12-01,23.124000000000002,Cameroon
1913-01-01,24.183000000000003,Cameroon
1913-02-01,24.933000000000003,Cameroon
1913-03-01,24.78,Cameroon
1913-04-01,25.729,Cameroon
1913-05-01,25.704,Cameroon
1913-06-01,25.22,Cameroon
1913-07-01,24.418000000000006,Cameroon
1913-08-01,24.131999999999998,Cameroon
1913-09-01,24.067,Cameroon
1913-10-01,24.117,Cameroon
1913-11-01,23.828000000000007,Cameroon
1913-12-01,22.927000000000003,Cameroon
1914-01-01,25.135,Cameroon
1914-02-01,25.055,Cameroon
1914-03-01,25.516,Cameroon
1914-04-01,25.698,Cameroon
1914-05-01,25.433000000000003,Cameroon
1914-06-01,24.118,Cameroon
1914-07-01,24.355999999999998,Cameroon
1914-08-01,24.195999999999998,Cameroon
1914-09-01,23.834,Cameroon
1914-10-01,23.919,Cameroon
1914-11-01,25.173,Cameroon
1914-12-01,24.292,Cameroon
1915-01-01,24.028000000000002,Cameroon
1915-02-01,25.253,Cameroon
1915-03-01,26.261,Cameroon
1915-04-01,26.18,Cameroon
1915-05-01,25.368000000000002,Cameroon
1915-06-01,24.237,Cameroon
1915-07-01,23.448,Cameroon
1915-08-01,23.567,Cameroon
1915-09-01,23.741,Cameroon
1915-10-01,24.016,Cameroon
1915-11-01,24.779,Cameroon
1915-12-01,23.645000000000003,Cameroon
1916-01-01,23.86,Cameroon
1916-02-01,25.552,Cameroon
1916-03-01,25.908,Cameroon
1916-04-01,25.584,Cameroon
1916-05-01,24.807,Cameroon
1916-06-01,23.822,Cameroon
1916-07-01,22.839,Cameroon
1916-08-01,22.966,Cameroon
1916-09-01,22.984,Cameroon
1916-10-01,23.664,Cameroon
1916-11-01,24.742,Cameroon
1916-12-01,22.74,Cameroon
1917-01-01,25.038,Cameroon
1917-02-01,25.175,Cameroon
1917-03-01,25.951,Cameroon
1917-04-01,25.306,Cameroon
1917-05-01,24.589000000000002,Cameroon
1917-06-01,24.345,Cameroon
