Date,Value,Country
1929-09-01,24.955,Colombia
1929-10-01,24.745,Colombia
1929-11-01,24.72,Colombia
1929-12-01,24.471999999999998,Colombia
1930-01-01,24.492,Colombia
1930-02-01,25.129,Colombia
1930-03-01,25.356,Colombia
1930-04-01,24.451,Colombia
1930-05-01,24.355,Colombia
1930-06-01,24.035,Colombia
1930-07-01,24.438,Colombia
1930-08-01,24.721,Colombia
1930-09-01,24.743000000000002,Colombia
1930-10-01,24.472,Colombia
1930-11-01,25.116,Colombia
1930-12-01,25.066,Colombia
1931-01-01,25.437,Colombia
1931-02-01,25.866,Colombia
1931-03-01,25.968000000000004,Colombia
1931-04-01,25.351,Colombia
1931-05-01,24.884,Colombia
1931-06-01,24.673000000000002,Colombia
1931-07-01,24.313,Colombia
1931-08-01,24.717,Colombia
1931-09-01,25.018,Colombia
1931-10-01,24.902,Colombia
1931-11-01,24.611,Colombia
1931-12-01,24.409,Colombia
1932-01-01,24.555,Colombia
1932-02-01,25.174,Colombia
1932-03-01,24.807,Colombia
1932-04-01,02/25/2021,Colombia
1932-05-01,24.461,Colombia
1932-06-01,24.144000000000002,Colombia
1932-07-01,06/24/2021,Colombia
1932-08-01,24.633000000000006,Colombia
1932-09-01,24.76400000000001,Colombia
1932-10-01,24.571,Colombia
1932-11-01,24.886999999999997,Colombia
1932-12-01,24.518,Colombia
1933-01-01,24.666,Colombia
1933-02-01,24.797,Colombia
1933-03-01,24.952,Colombia
1933-04-01,24.74,Colombia
1933-05-01,24.759,Colombia
1933-06-01,24.003,Colombia
1933-07-01,24.375,Colombia
1933-08-01,24.283,Colombia
1933-09-01,24.79600000000001,Colombia
1933-10-01,24.094,Colombia
1933-11-01,24.191,Colombia
1933-12-01,23.892,Colombia
1934-01-01,23.967,Colombia
1934-02-01,24.191,Colombia
1934-03-01,24.124000000000002,Colombia
1934-04-01,24.641,Colombia
1934-05-01,24.466,Colombia
1934-06-01,24.507,Colombia
1934-07-01,24.158,Colombia
1934-08-01,24.781,Colombia
1934-09-01,25.146,Colombia
1934-10-01,24.173000000000002,Colombia
1934-11-01,24.588,Colombia
1934-12-01,24.588,Colombia
1935-01-01,24.796,Colombia
1935-02-01,24.698,Colombia
1935-03-01,25.04000000000001,Colombia
1935-04-01,24.614,Colombia
1935-05-01,24.172,Colombia
1935-06-01,24.242,Colombia
1935-07-01,24.38,Colombia
1935-08-01,24.253,Colombia
1935-09-01,24.72,Colombia
1935-10-01,24.544,Colombia
1935-11-01,24.462,Colombia
1935-12-01,24.604,Colombia
1936-01-01,24.60100000000001,Colombia
1936-02-01,25.475,Colombia
1936-03-01,25.406,Colombia
1936-04-01,24.833000000000002,Colombia
1936-05-01,24.951,Colombia
1936-06-01,24.299,Colombia
1936-07-01,24.43,Colombia
1936-08-01,24.813,Colombia
1936-09-01,24.892000000000003,Colombia
1936-10-01,24.455,Colombia
1936-11-01,25.104,Colombia
1936-12-01,24.629,Colombia
1937-01-01,24.68,Colombia
1937-02-01,25.112,Colombia
1937-03-01,25.501,Colombia
1937-04-01,25.142,Colombia
1937-05-01,24.799000000000003,Colombia
1937-06-01,24.46,Colombia
1937-07-01,24.394,Colombia
1937-08-01,24.901,Colombia
1937-09-01,25.131,Colombia
1937-10-01,24.948,Colombia
1937-11-01,24.773000000000003,Colombia
1937-12-01,24.707,Colombia
1938-01-01,24.809,Colombia
1938-02-01,25.36,Colombia
1938-03-01,24.809,Colombia
1938-04-01,24.184,Colombia
1938-05-01,24.377,Colombia
1938-06-01,24.367,Colombia
1938-07-01,24.136,Colombia
1938-08-01,24.265,Colombia
1938-09-01,24.88000000000001,Colombia
1938-10-01,24.468000000000004,Colombia
1938-11-01,24.54,Colombia
1938-12-01,24.091,Colombia
1939-01-01,24.573,Colombia
1939-02-01,24.748,Colombia
1939-03-01,24.91200000000001,Colombia
1939-04-01,24.697,Colombia
1939-05-01,24.923000000000002,Colombia
1939-06-01,24.488000000000003,Colombia
1939-07-01,24.612,Colombia
1939-08-01,24.973000000000006,Colombia
1939-09-01,24.998,Colombia
1939-10-01,24.754,Colombia
1939-11-01,25.090999999999998,Colombia
1939-12-01,25.088,Colombia
1940-01-01,25.089000000000002,Colombia
1940-02-01,02/26/2021,Colombia
1940-03-01,26.161,Colombia
1940-04-01,25.456,Colombia
1940-05-01,25.372,Colombia
1940-06-01,24.964000000000002,Colombia
1940-07-01,24.826,Colombia
1940-08-01,25.179,Colombia
1940-09-01,25.69,Colombia
1940-10-01,25.108,Colombia
1940-11-01,24.98,Colombia
1940-12-01,25.178,Colombia
1941-01-01,25.277,Colombia
1941-02-01,26.315,Colombia
1941-03-01,26.173000000000002,Colombia
1941-04-01,25.731,Colombia
1941-05-01,25.721,Colombia
1941-06-01,24.91500000000001,Colombia
1941-07-01,25.014,Colombia
1941-08-01,25.408,Colombia
1941-09-01,25.452,Colombia
1941-10-01,25.591,Colombia
1941-11-01,25.61,Colombia
1941-12-01,25.336,Colombia
1942-01-01,25.467,Colombia
1942-02-01,26.127,Colombia
1942-03-01,26.102,Colombia
1942-04-01,25.519000000000002,Colombia
1942-05-01,25.114,Colombia
1942-06-01,24.645,Colombia
1942-07-01,24.527,Colombia
1942-08-01,24.811,Colombia
1942-09-01,25.127,Colombia
1942-10-01,24.806,Colombia
1942-11-01,25.127,Colombia
1942-12-01,24.527,Colombia
1943-01-01,24.91,Colombia
1943-02-01,24.852,Colombia
1943-03-01,24.531,Colombia
1943-04-01,24.461,Colombia
1943-05-01,24.397,Colombia
1943-06-01,24.145,Colombia
1943-07-01,24.211,Colombia
1943-08-01,24.601,Colombia
1943-09-01,25.04000000000001,Colombia
1943-10-01,24.81,Colombia
1943-11-01,24.718000000000004,Colombia
1943-12-01,24.697,Colombia
1944-01-01,24.717,Colombia
1944-02-01,24.955,Colombia
1944-03-01,25.108,Colombia
1944-04-01,24.92,Colombia
1944-05-01,24.632,Colombia
1944-06-01,24.299,Colombia
1944-07-01,24.634,Colombia
1944-08-01,24.991,Colombia
1944-09-01,24.711,Colombia
1944-10-01,25.022,Colombia
1944-11-01,24.901999999999997,Colombia
1944-12-01,24.574,Colombia
1945-01-01,24.812,Colombia
1945-02-01,09/25/2021,Colombia
1945-03-01,25.706,Colombia
1945-04-01,24.713,Colombia
1945-05-01,24.471,Colombia
1945-06-01,24.739,Colombia
1945-07-01,24.480999999999998,Colombia
1945-08-01,24.980999999999998,Colombia
1945-09-01,25.367,Colombia
1945-10-01,24.63000000000001,Colombia
1945-11-01,24.979,Colombia
1945-12-01,24.723000000000006,Colombia
1946-01-01,24.971,Colombia
1946-02-01,25.404,Colombia
1946-03-01,25.421,Colombia
1946-04-01,24.803,Colombia
1946-05-01,24.783,Colombia
1946-06-01,24.646,Colombia
1946-07-01,24.57,Colombia
1946-08-01,24.653,Colombia
1946-09-01,24.914,Colombia
1946-10-01,24.524,Colombia
1946-11-01,24.864,Colombia
1946-12-01,24.986,Colombia
1947-01-01,25.045,Colombia
1947-02-01,25.53,Colombia
1947-03-01,25.78700000000001,Colombia
1947-04-01,25.253,Colombia
1947-05-01,24.779,Colombia
1947-06-01,24.626,Colombia
1947-07-01,24.461,Colombia
1947-08-01,24.862,Colombia
1947-09-01,25.03700000000001,Colombia
1947-10-01,24.855,Colombia
1947-11-01,24.895,Colombia
1947-12-01,24.721999999999998,Colombia
1948-01-01,25.487,Colombia
1948-02-01,25.646,Colombia
1948-03-01,25.734,Colombia
1948-04-01,24.733,Colombia
1948-05-01,25.085,Colombia
1948-06-01,24.628,Colombia
1948-07-01,24.64,Colombia
1948-08-01,24.919,Colombia
1948-09-01,25.225,Colombia
1948-10-01,24.884,Colombia
1948-11-01,25.149,Colombia
1948-12-01,24.752,Colombia
1949-01-01,25.028000000000002,Colombia
1949-02-01,25.19,Colombia
1949-03-01,25.31900000000001,Colombia
1949-04-01,24.985,Colombia
1949-05-01,24.775,Colombia
1949-06-01,24.278000000000002,Colombia
1949-07-01,24.204,Colombia
1949-08-01,24.517,Colombia
1949-09-01,24.827,Colombia
1949-10-01,24.696,Colombia
1949-11-01,24.67,Colombia
1949-12-01,24.554,Colombia
1950-01-01,24.525,Colombia
1950-02-01,24.818,Colombia
1950-03-01,24.878,Colombia
1950-04-01,24.635,Colombia
1950-05-01,24.233,Colombia
1950-06-01,24.087,Colombia
1950-07-01,23.86,Colombia
1950-08-01,24.13,Colombia
1950-09-01,24.845,Colombia
1950-10-01,03/24/2021,Colombia
1950-11-01,24.52,Colombia
1950-12-01,24.279,Colombia
1951-01-01,24.27,Colombia
1951-02-01,24.511,Colombia
1951-03-01,24.989,Colombia
1951-04-01,24.93,Colombia
1951-05-01,24.76400000000001,Colombia
1951-06-01,24.642,Colombia
1951-07-01,24.524,Colombia
1951-08-01,25.096999999999998,Colombia
1951-09-01,25.222,Colombia
1951-10-01,24.897,Colombia
1951-11-01,24.896,Colombia
1951-12-01,24.99,Colombia
1952-01-01,25.19,Colombia
1952-02-01,25.718000000000004,Colombia
1952-03-01,25.82,Colombia
1952-04-01,25.149,Colombia
1952-05-01,24.94,Colombia
1952-06-01,06/24/2021,Colombia
1952-07-01,24.486,Colombia
1952-08-01,24.776,Colombia
1952-09-01,25.106,Colombia
1952-10-01,12/25/2021,Colombia
1952-11-01,24.924,Colombia
1952-12-01,24.965,Colombia
1953-01-01,24.968000000000004,Colombia
1953-02-01,25.313,Colombia
1953-03-01,25.453000000000007,Colombia
1953-04-01,25.214,Colombia
1953-05-01,24.841,Colombia
1953-06-01,24.81600000000001,Colombia
1953-07-01,24.712,Colombia
1953-08-01,25.539,Colombia
1953-09-01,25.28700000000001,Colombia
1953-10-01,24.951,Colombia
1953-11-01,25.241,Colombia
1953-12-01,25.024,Colombia
1954-01-01,24.821,Colombia
1954-02-01,25.304,Colombia
1954-03-01,25.651,Colombia
1954-04-01,24.831,Colombia
1954-05-01,24.802000000000003,Colombia
1954-06-01,24.41200000000001,Colombia
1954-07-01,24.209,Colombia
1954-08-01,24.725,Colombia
1954-09-01,25.286,Colombia
1954-10-01,24.10700000000001,Colombia
1954-11-01,24.518,Colombia
1954-12-01,24.224,Colombia
1955-01-01,24.516,Colombia
1955-02-01,25.086,Colombia
1955-03-01,24.791,Colombia
1955-04-01,24.477,Colombia
1955-05-01,24.752,Colombia
1955-06-01,24.306,Colombia
1955-07-01,24.175,Colombia
1955-08-01,24.585,Colombia
1955-09-01,24.45300000000001,Colombia
1955-10-01,24.50500000000001,Colombia
1955-11-01,24.608,Colombia
1955-12-01,24.283,Colombia
1956-01-01,24.176,Colombia
1956-02-01,24.666,Colombia
1956-03-01,24.995,Colombia
1956-04-01,24.819000000000006,Colombia
1956-05-01,24.49,Colombia
1956-06-01,24.116,Colombia
1956-07-01,24.067,Colombia
1956-08-01,24.277,Colombia
1956-09-01,24.577,Colombia
1956-10-01,24.10100000000001,Colombia
1956-11-01,24.714,Colombia
1956-12-01,24.431,Colombia
1957-01-01,24.53,Colombia
1957-02-01,25.422,Colombia
1957-03-01,25.349,Colombia
1957-04-01,24.989,Colombia
1957-05-01,24.974,Colombia
1957-06-01,24.72300000000001,Colombia
1957-07-01,24.862,Colombia
1957-08-01,25.102,Colombia
1957-09-01,25.664,Colombia
1957-10-01,24.94,Colombia
1957-11-01,25.194000000000006,Colombia
1957-12-01,25.096,Colombia
1958-01-01,25.825,Colombia
1958-02-01,26.22,Colombia
1958-03-01,26.503,Colombia
1958-04-01,25.692,Colombia
1958-05-01,25.448,Colombia
1958-06-01,25.129,Colombia
1958-07-01,25.158,Colombia
1958-08-01,25.218000000000004,Colombia
1958-09-01,25.68,Colombia
1958-10-01,25.234,Colombia
1958-11-01,04/25/2021,Colombia
1958-12-01,25.259,Colombia
1959-01-01,25.41500000000001,Colombia
1959-02-01,25.369,Colombia
1959-03-01,25.809,Colombia
1959-04-01,25.31,Colombia
1959-05-01,24.76400000000001,Colombia
1959-06-01,24.367,Colombia
1959-07-01,24.493,Colombia
1959-08-01,24.819000000000006,Colombia
1959-09-01,25.161,Colombia
1959-10-01,24.79300000000001,Colombia
1959-11-01,24.889,Colombia
1959-12-01,25.029,Colombia
1960-01-01,25.088,Colombia
