Date,Value,Country
1885-05-01,25.673000000000002,Costa Rica
1885-06-01,25.226,Costa Rica
1885-07-01,25.438,Costa Rica
1885-08-01,25.399,Costa Rica
1885-09-01,25.132,Costa Rica
1885-10-01,24.808000000000003,Costa Rica
1885-11-01,24.326,Costa Rica
1885-12-01,23.955,Costa Rica
1886-01-01,23.96,Costa Rica
1886-02-01,24.189,Costa Rica
1886-03-01,25.998,Costa Rica
1886-04-01,25.945999999999998,Costa Rica
1886-05-01,25.63300000000001,Costa Rica
1886-06-01,25.679,Costa Rica
1886-07-01,25.594,Costa Rica
1886-08-01,25.58,Costa Rica
1886-09-01,25.367,Costa Rica
1886-10-01,24.719,Costa Rica
1886-11-01,25.135,Costa Rica
1886-12-01,24.392000000000003,Costa Rica
1887-01-01,24.744,Costa Rica
1887-02-01,24.864,Costa Rica
1887-03-01,24.824,Costa Rica
1887-04-01,25.259,Costa Rica
1887-05-01,25.112,Costa Rica
1887-06-01,24.767,Costa Rica
1887-07-01,25.045,Costa Rica
1887-08-01,24.698,Costa Rica
1887-09-01,24.827,Costa Rica
1887-10-01,24.267,Costa Rica
1887-11-01,24.589,Costa Rica
1887-12-01,24.903000000000002,Costa Rica
1888-01-01,24.676,Costa Rica
1888-02-01,24.29,Costa Rica
1888-03-01,25.408,Costa Rica
1888-04-01,24.581,Costa Rica
1888-05-01,25.478,Costa Rica
1888-06-01,24.683000000000003,Costa Rica
1888-07-01,25.57,Costa Rica
1888-08-01,24.766,Costa Rica
1888-09-01,24.913,Costa Rica
1888-10-01,24.985,Costa Rica
1888-11-01,25.133000000000006,Costa Rica
1888-12-01,24.268,Costa Rica
1889-01-01,24.812,Costa Rica
1889-02-01,26.503,Costa Rica
1889-03-01,26.065,Costa Rica
1889-04-01,26.647,Costa Rica
1889-05-01,26.451,Costa Rica
1889-06-01,26.036,Costa Rica
1889-07-01,25.791,Costa Rica
1889-08-01,25.281,Costa Rica
1889-09-01,25.433000000000003,Costa Rica
1889-10-01,24.423,Costa Rica
1889-11-01,24.465999999999998,Costa Rica
1889-12-01,22.992,Costa Rica
1890-01-01,23.803,Costa Rica
1890-02-01,23.994,Costa Rica
1890-03-01,24.776,Costa Rica
1890-04-01,25.855,Costa Rica
1890-05-01,25.798000000000002,Costa Rica
1890-06-01,24.824,Costa Rica
1890-07-01,25.576999999999998,Costa Rica
1890-08-01,25.23500000000001,Costa Rica
1890-09-01,24.737,Costa Rica
1890-10-01,24.316,Costa Rica
1890-11-01,23.811999999999998,Costa Rica
