Date,Value
2019-01-01,23
2019-01-02,19
2019-01-03,28
2019-01-04,23
2019-01-05,32
2019-01-06,34
2019-01-07,28
2019-01-08,32
2019-01-09,27
2019-01-10,23
2019-01-11,20
2019-01-12,16
2019-01-13,23
2019-01-14,20
2019-01-15,20
2019-01-16,23
2019-01-17,21
2019-01-18,26
2019-01-19,22
2019-01-20,12
2019-01-21,29
2019-01-22,23
2019-01-23,27
2019-01-24,19
2019-01-25,22
2019-01-26,28
2019-01-27,26
2019-01-28,26
2019-01-29,30
2019-01-30,26
2019-01-31,26
2019-02-01,14
2019-02-02,21
2019-02-03,24
2019-02-04,25
2019-02-05,28
2019-02-06,20
2019-02-07,24
2019-02-08,18
2019-02-09,18
2019-02-10,24
2019-02-11,26
2019-02-12,18
2019-02-13,35
2019-02-14,14
2019-02-15,18
2019-02-16,11
2019-02-17,12
2019-02-18,27
2019-02-19,18
2019-02-20,29
2019-02-21,26
2019-02-22,17
2019-02-23,25
2019-02-24,17
2019-02-25,28
2019-02-26,19
2019-02-27,17
2019-02-28,24
2019-03-01,21
2019-03-02,25
2019-03-03,22
2019-03-04,20
2019-03-05,20
2019-03-06,24
2019-03-07,20
2019-03-08,11
2019-03-09,20
2019-03-10,19
2019-03-11,23
2019-03-12,22
2019-03-13,25
2019-03-14,26
2019-03-15,29
2019-03-16,18
2019-03-17,33
2019-03-18,19
2019-03-19,21
2019-03-20,33
2019-03-21,28
2019-03-22,30
2019-03-23,30
2019-03-24,33
2019-03-25,39
2019-03-26,57
2019-03-27,37
2019-03-28,65
2019-03-29,58
2019-03-30,49
2019-03-31,75
2019-04-01,55
2019-04-02,58
2019-04-03,64
2019-04-04,73
2019-04-05,58
2019-04-06,72
2019-04-07,67
2019-04-08,71
2019-04-09,79
2019-04-10,61
2019-04-11,68
2019-04-12,49
2019-04-13,55
2019-04-14,49
2019-04-15,44
2019-04-16,53
2019-04-17,50
2019-04-18,61
2019-04-19,48
2019-04-20,42
2019-04-21,44
2019-04-22,36
2019-04-23,38
2019-04-24,39
2019-04-25,43
2019-04-26,35
2019-04-27,34
2019-04-28,28
2019-04-29,29
2019-04-30,28
2019-05-01,27
2019-05-02,17
2019-05-03,24
2019-05-04,22
2019-05-05,24
2019-05-06,30
2019-05-07,21
2019-05-08,19
2019-05-09,25
2019-05-10,26
2019-05-11,21
2019-05-12,18
2019-05-13,25
2019-05-14,17
2019-05-15,18
2019-05-16,25
2019-05-17,24
2019-05-18,21
2019-05-19,25
2019-05-20,19
2019-05-21,23
2019-05-22,22
2019-05-23,15
2019-05-24,24
2019-05-25,16
2019-05-26,27
2019-05-27,17
2019-05-28,21
2019-05-29,14
2019-05-30,21
2019-05-31,16
2019-06-01,17
2019-06-02,16
2019-06-03,19
2019-06-04,20
2019-06-05,25
2019-06-06,11
2019-06-07,23
2019-06-08,14
2019-06-09,17
2019-06-10,20
2019-06-11,19
2019-06-12,14
2019-06-13,29
2019-06-14,13
2019-06-15,30
2019-06-16,12
2019-06-17,16
2019-06-18,14
2019-06-19,18
2019-06-20,12
2019-06-21,17
2019-06-22,14
2019-06-23,17
2019-06-24,12
2019-06-25,21
2019-06-26,19
2019-06-27,29
2019-06-28,16
2019-06-29,15
2019-06-30,16
2019-07-01,19
2019-07-02,23
2019-07-03,12
2019-07-04,9
2019-07-05,22
2019-07-06,20
2019-07-07,23
2019-07-08,21
2019-07-09,22
2019-07-10,15
2019-07-11,17
2019-07-12,18
2019-07-13,19
2019-07-14,13
2019-07-15,15
2019-07-16,16
2019-07-17,23
2019-07-18,21
2019-07-19,15
2019-07-20,21
2019-07-21,11
2019-07-22,17
2019-07-23,16
2019-07-24,23
2019-07-25,15
2019-07-26,13
2019-07-27,11
2019-07-28,20
2019-07-29,22
2019-07-30,11
2019-07-31,17
2019-08-01,14
2019-08-02,18
2019-08-03,10
2019-08-04,19
2019-08-05,11
2019-08-06,11
2019-08-07,13
2019-08-08,15
2019-08-09,27
2019-08-10,22
2019-08-11,26
2019-08-12,25
2019-08-13,27
2019-08-14,28
2019-08-15,23
2019-08-16,14
2019-08-17,29
2019-08-18,23
2019-08-19,26
2019-08-20,16
2019-08-21,18
2019-08-22,21
2019-08-23,13
2019-08-24,12
2019-08-25,23
2019-08-26,19
2019-08-27,21
2019-08-28,21
2019-08-29,15
2019-08-30,16
2019-08-31,16
2019-09-01,12
2019-09-02,24
2019-09-03,14
2019-09-04,15
2019-09-05,20
2019-09-06,18
2019-09-07,18
2019-09-08,25
2019-09-09,21
2019-09-10,23
2019-09-11,14
2019-09-12,17
2019-09-13,24
2019-09-14,17
2019-09-15,32
2019-09-16,33
2019-09-17,22
2019-09-18,24
2019-09-19,28
2019-09-20,13
2019-09-21,24
2019-09-22,18
2019-09-23,21
2019-09-24,19
2019-09-25,17
2019-09-26,11
2019-09-27,17
2019-09-28,15
2019-09-29,20
2019-09-30,24
2019-10-01,18
2019-10-02,24
2019-10-03,14
2019-10-04,27
2019-10-05,29
2019-10-06,21
2019-10-07,27
2019-10-08,25
2019-10-09,19
2019-10-10,20
2019-10-11,14
2019-10-12,21
2019-10-13,23
2019-10-14,19
2019-10-15,18
2019-10-16,22
2019-10-17,27
2019-10-18,16
2019-10-19,22
2019-10-20,23
2019-10-21,18
2019-10-22,38
2019-10-23,32
2019-10-24,17
2019-10-25,28
2019-10-26,28
2019-10-27,22
2019-10-28,30
2019-10-29,19
2019-10-30,24
2019-10-31,24
2019-11-01,36
2019-11-02,20
2019-11-03,19
2019-11-04,26
2019-11-05,24
2019-11-06,25
2019-11-07,29
2019-11-08,21
2019-11-09,24
2019-11-10,20
2019-11-11,26
2019-11-12,27
2019-11-13,30
2019-11-14,32
2019-11-15,36
2019-11-16,23
2019-11-17,25
2019-11-18,28
2019-11-19,30
2019-11-20,23
