Date,Value
2019-01-01,21
2019-01-02,50
2019-01-03,46
2019-01-04,31
2019-01-05,34
2019-01-06,36
2019-01-07,40
2019-01-08,39
2019-01-09,41
2019-01-10,29
2019-01-11,38
2019-01-12,45
2019-01-13,28
2019-01-14,40
2019-01-15,34
2019-01-16,41
2019-01-17,30
2019-01-18,41
2019-01-19,44
2019-01-20,46
2019-01-21,45
2019-01-22,42
2019-01-23,42
2019-01-24,40
2019-01-25,33
2019-01-26,31
2019-01-27,45
2019-01-28,43
2019-01-29,33
2019-01-30,39
2019-01-31,43
2019-02-01,42
2019-02-02,39
2019-02-03,45
2019-02-04,30
2019-02-05,46
2019-02-06,40
2019-02-07,40
2019-02-08,44
2019-02-09,46
2019-02-10,36
2019-02-11,51
2019-02-12,40
2019-02-13,50
2019-02-14,44
2019-02-15,37
2019-02-16,43
2019-02-17,40
2019-02-18,35
2019-02-19,43
2019-02-20,37
2019-02-21,39
2019-02-22,42
2019-02-23,41
2019-02-24,35
2019-02-25,46
2019-02-26,24
2019-02-27,49
2019-02-28,38
2019-03-01,0
2019-03-02,42
2019-03-03,35
2019-03-04,38
2019-03-05,44
2019-03-06,39
2019-03-07,38
2019-03-08,32
2019-03-09,40
2019-03-10,35
2019-03-11,35
2019-03-12,37
2019-03-13,38
2019-03-14,36
2019-03-15,19
2019-03-16,32
2019-03-17,36
2019-03-18,33
2019-03-19,43
2019-03-20,43
2019-03-21,28
2019-03-22,41
2019-03-23,36
2019-03-24,34
2019-03-25,32
2019-03-26,26
2019-03-27,36
2019-03-28,29
2019-03-29,33
2019-03-30,27
2019-03-31,32
2019-04-01,32
2019-04-02,43
2019-04-03,32
2019-04-04,38
2019-04-05,27
2019-04-06,39
2019-04-07,33
2019-04-08,33
2019-04-09,28
2019-04-10,30
2019-04-11,36
2019-04-12,26
2019-04-13,32
2019-04-14,26
2019-04-15,31
2019-04-16,20
2019-04-17,33
2019-04-18,27
2019-04-19,28
2019-04-20,29
2019-04-21,37
2019-04-22,46
2019-04-23,33
2019-04-24,36
2019-04-25,30
2019-04-26,33
2019-04-27,28
2019-04-28,39
2019-04-29,37
2019-04-30,30
2019-05-01,22
2019-05-02,43
2019-05-03,26
2019-05-04,26
2019-05-05,27
2019-05-06,14
2019-05-07,31
2019-05-08,33
2019-05-09,27
2019-05-10,40
2019-05-11,24
2019-05-12,32
2019-05-13,30
2019-05-14,29
2019-05-15,35
2019-05-16,39
2019-05-17,27
2019-05-18,23
2019-05-19,31
2019-05-20,28
2019-05-21,33
2019-05-22,39
2019-05-23,31
2019-05-24,38
2019-05-25,35
2019-05-26,31
2019-05-27,25
2019-05-28,24
2019-05-29,20
2019-05-30,37
2019-05-31,28
2019-06-01,27
2019-06-02,28
2019-06-03,22
2019-06-04,45
2019-06-05,34
2019-06-06,27
2019-06-07,23
2019-06-08,27
2019-06-09,37
2019-06-10,29
2019-06-11,27
2019-06-12,25
2019-06-13,16
2019-06-14,39
2019-06-15,41
2019-06-16,25
2019-06-17,39
2019-06-18,36
2019-06-19,30
2019-06-20,35
2019-06-21,35
2019-06-22,31
2019-06-23,26
2019-06-24,29
2019-06-25,30
2019-06-26,31
2019-06-27,25
2019-06-28,35
2019-06-29,20
2019-06-30,33
2019-07-01,32
2019-07-02,34
2019-07-03,29
2019-07-04,40
2019-07-05,23
