"Date","Value"
"2015-01-01","25690.0"
"2015-01-02","37048.0"
"2015-01-03","32123.0"
"2015-01-04","14160.0"
"2015-01-05","19747.0"
"2015-01-06","5353.0"
"2015-01-07","3263.0"
"2015-01-08","9705.0"
"2015-01-09","3920.0"
"2015-01-10","4128.0"
"2015-01-11","39566.0"
"2015-01-12","5747.0"
"2015-01-13","13196.0"
"2015-01-14","9733.0"
"2015-01-15","18682.0"
"2015-01-16","24179.0"
"2015-01-17","17732.0"
"2015-01-18","24501.0"
"2015-01-19","17266.0"
"2015-01-20","6813.0"
"2015-01-21","14384.0"
"2015-01-22","19378.0"
"2015-01-23","16652.0"
"2015-01-24","18214.0"
"2015-01-25","31725.0"
"2015-01-26","15265.0"
"2015-01-27","11120.0"
"2015-01-28","13174.0"
"2015-01-29","17730.0"
"2015-01-30","26088.0"
"2015-01-31","23746.0"
"2015-02-01","11171.0"
"2015-02-02","10309.0"
"2015-02-03","12791.0"
"2015-02-04","13676.0"
"2015-02-05","20666.0"
"2015-02-06","1285.0"
"2015-02-07","3461.0"
"2015-02-08","25400.0"
"2015-02-09","3941.0"
"2015-02-10","6153.0"
"2015-02-11","14961.0"
"2015-02-12","6568.0"
"2015-02-13","12175.0"
"2015-02-14","36783.0"
"2015-02-15","39136.0"
"2015-02-16","11729.0"
"2015-02-17","39725.0"
"2015-02-18","18464.0"
"2015-02-19","8704.0"
"2015-02-20","4235.0"
"2015-02-21","28045.0"
"2015-02-22","44322.0"
"2015-02-23","28112.0"
"2015-02-24","24038.0"
"2015-02-25","12310.0"
"2015-02-26","9683.0"
"2015-02-27","18910.0"
"2015-02-28","22995.0"
"2015-03-01","9638.0"
"2015-03-02","19593.0"
"2015-03-03","6772.0"
"2015-03-04","21331.0"
"2015-03-05","16262.0"
"2015-03-06","2943.0"
"2015-03-07","6572.0"
"2015-03-08","2923.0"
"2015-03-09","6231.0"
"2015-03-10","6596.0"
"2015-03-11","21545.0"
"2015-03-12","9466.0"
"2015-03-13","11228.0"
"2015-03-14","13302.0"
"2015-03-15","15383.0"
"2015-03-16","8672.0"
"2015-03-17","8515.0"
"2015-03-18","9900.0"
"2015-03-19","11305.0"
"2015-03-20","20483.0"
"2015-03-21","11432.0"
"2015-03-22","25546.0"
"2015-03-23","6218.0"
"2015-03-24","13898.0"
"2015-03-25","26128.0"
"2015-03-26","9276.0"
"2015-03-27","10588.0"
"2015-03-28","27799.0"
"2015-03-29","51759.0"
"2015-03-30","19596.0"
"2015-03-31","14096.0"
"2015-04-01","18262.0"
"2015-04-02","17498.0"
"2015-04-03","23362.0"
"2015-04-04","18651.0"
"2015-04-05","8004.0"
"2015-04-06","2968.0"
"2015-04-07","9501.0"
"2015-04-08","35.0"
"2015-04-09","4462.0"
"2015-04-10","37100.0"
"2015-04-11","9174.0"
"2015-04-12","4023.0"
"2015-04-13","22779.0"
"2015-04-14","10841.0"
"2015-04-15","6788.0"
"2015-04-16","2486.0"
"2015-04-17","5538.0"
"2015-04-18","15159.0"
"2015-04-19","16478.0"
"2015-04-20","3223.0"
"2015-04-21","15044.0"
"2015-04-22","10858.0"
"2015-04-23","3750.0"
"2015-04-24","4061.0"
"2015-04-25","14273.0"
"2015-04-26","27458.0"
"2015-04-27","14781.0"
"2015-04-28","7830.0"
"2015-04-29","8863.0"
"2015-04-30","6872.0"
"2015-05-01","6872.0"
"2015-05-02","18374.0"
"2015-05-03","22423.0"
"2015-05-04","39588.0"
"2015-05-05","15756.0"
"2015-05-06","4607.0"
"2015-05-07","10944.0"
"2015-05-08","3691.0"
"2015-05-09","8027.0"
"2015-05-10","25422.0"
"2015-05-11","9331.0"
"2015-05-12","8330.0"
"2015-05-13","4412.0"
"2015-05-14","6569.0"
"2015-05-15","15370.0"
"2015-05-16","27638.0"
"2015-05-17","31877.0"
"2015-05-18","5379.0"
"2015-05-19","11586.0"
"2015-05-20","5967.0"
"2015-05-21","7132.0"
"2015-05-22","8822.0"
"2015-05-23","15791.0"
"2015-05-24","20868.0"
"2015-05-25","4874.0"
"2015-05-26","3544.0"
"2015-05-27","10175.0"
"2015-05-28","6573.0"
"2015-05-29","5489.0"
"2015-05-30","8044.0"
"2015-05-31","22822.0"
"2015-06-01","17973.0"
"2015-06-02","9570.0"
"2015-06-03","7930.0"
"2015-06-04","19571.0"
"2015-06-05","6537.0"
"2015-06-06","8806.0"
"2015-06-07","3856.0"
"2015-06-08","3153.0"
"2015-06-09","18050.0"
"2015-06-10","20328.0"
"2015-06-11","4662.0"
"2015-06-12","38675.0"
"2015-06-13","8453.0"
"2015-06-14","15804.0"
"2015-06-15","6580.0"
"2015-06-16","5741.0"
"2015-06-17","10768.0"
"2015-06-18","9005.0"
"2015-06-19","6093.0"
"2015-06-20","6446.0"
"2015-06-21","12519.0"
"2015-06-22","2486.0"
"2015-06-23","5596.0"
"2015-06-24","3985.0"
"2015-06-25","2763.0"
"2015-06-26","3941.0"
"2015-06-27","3834.0"
"2015-06-28","10837.0"
"2015-06-29","3643.0"
"2015-06-30","3505.0"
"2015-07-01","5652.0"
"2015-07-02","9145.0"
"2015-07-03","15324.0"
"2015-07-04","14485.0"
"2015-07-05","11261.0"
"2015-07-06","18287.0"
"2015-07-07","613.0"
"2015-07-08","3762.0"
"2015-07-09","6680.0"
"2015-07-10","3924.0"
"2015-07-11","12041.0"
"2015-07-12","31879.0"
"2015-07-13","4126.0"
"2015-07-14","2414.0"
"2015-07-15","3308.0"
"2015-07-16","739.0"
"2015-07-17","91.0"
"2015-07-18","8623.0"
"2015-07-19","12903.0"
"2015-07-20","4157.0"
"2015-07-21","705.0"
"2015-07-22","1941.0"
"2015-07-23","3771.0"
"2015-07-24","2927.0"
"2015-07-25","16995.0"
"2015-07-26","19549.0"
"2015-07-27","5535.0"
"2015-07-28","481.0"
"2015-07-29","0.0"
"2015-07-30","1819.0"
"2015-07-31","9755.0"
"2015-08-01","6122.0"
"2015-08-02","38468.0"
"2015-08-03","32325.0"
"2015-08-04","12816.0"
"2015-08-05","23333.0"
"2015-08-06","3689.0"
"2015-08-07","3898.0"
"2015-08-08","9336.0"
"2015-08-09","3938.0"
"2015-08-10","4663.0"
"2015-08-11","41854.0"
"2015-08-12","20815.0"
"2015-08-13","26503.0"
"2015-08-14","17153.0"
"2015-08-15","12667.0"
"2015-08-16","12211.0"
"2015-08-17","7411.0"
"2015-08-18","6914.0"
"2015-08-19","7921.0"
"2015-08-20","3172.0"
"2015-08-21","4705.0"
"2015-08-22","15159.0"
"2015-08-23","47238.0"
"2015-08-24","20286.0"
"2015-08-25","3886.0"
"2015-08-26","8191.0"
"2015-08-27","3467.0"
"2015-08-28","2246.0"
"2015-08-29","4450.0"
"2015-08-30","16766.0"
"2015-08-31","3687.0"
"2015-09-01","8046.0"
"2015-09-02","20367.0"
"2015-09-03","9985.0"
"2015-09-04","3167.0"
"2015-09-05","8374.0"
"2015-09-06","3235.0"
"2015-09-07","8338.0"
"2015-09-08","33748.0"
"2015-09-09","4911.0"
"2015-09-10","6641.0"
"2015-09-11","1972.0"
"2015-09-12","12597.0"
"2015-09-13","43685.0"
"2015-09-14","11033.0"
"2015-09-15","9576.0"
"2015-09-16","25815.0"
"2015-09-17","16464.0"
"2015-09-18","3239.0"
"2015-09-19","9779.0"
"2015-09-20","16307.0"
"2015-09-21","4370.0"
"2015-09-22","5816.0"
"2015-09-23","6277.0"
"2015-09-24","4582.0"
"2015-09-25","3065.0"
"2015-09-26","4713.0"
"2015-09-27","13360.0"
"2015-09-28","8561.0"
"2015-09-29","4318.0"
"2015-09-30","3489.0"
"2015-10-01","11291.0"
"2015-10-02","9067.0"
"2015-10-03","7265.0"
"2015-10-04","4498.0"
"2015-10-05","20814.0"
"2015-10-06","1736.0"
"2015-10-07","4273.0"
"2015-10-08","2678.0"
"2015-10-09","2407.0"
"2015-10-10","9734.0"
"2015-10-11","3984.0"
"2015-10-12","6486.0"
"2015-10-13","13795.0"
"2015-10-14","7639.0"
"2015-10-15","4320.0"
"2015-10-16","641.0"
"2015-10-17","13651.0"
"2015-10-18","14994.0"
"2015-10-19","7727.0"
"2015-10-20","14573.0"
"2015-10-21","16954.0"
"2015-10-22","8725.0"
"2015-10-23","5075.0"
"2015-10-24","7831.0"
"2015-10-25","26747.0"
"2015-10-26","12173.0"
"2015-10-27","10773.0"
"2015-10-28","18494.0"
"2015-10-29","12249.0"
"2015-10-30","7835.0"
"2015-10-31","17588.0"
"2015-11-01","37093.0"
"2015-11-02","9813.0"
"2015-11-03","10203.0"
"2015-11-04","3797.0"
"2015-11-05","5716.0"
"2015-11-06","1868.0"
"2015-11-07","7229.0"
"2015-11-08","1830.0"
"2015-11-09","1817.0"
"2015-11-10","11682.0"
"2015-11-11","5545.0"
"2015-11-12","6992.0"
"2015-11-13","4190.0"
"2015-11-14","12569.0"
"2015-11-15","12694.0"
"2015-11-16","9102.0"
"2015-11-17","7502.0"
"2015-11-18","3106.0"
"2015-11-19","3609.0"
"2015-11-20","5930.0"
"2015-11-21","43036.0"
"2015-11-22","33641.0"
"2015-11-23","10950.0"
"2015-11-24","8678.0"
"2015-11-25","15411.0"
"2015-11-26","17912.0"
"2015-11-27","11800.0"
"2015-11-28","27470.0"
"2015-11-29","30338.0"
"2015-11-30","13407.0"
"2015-12-01","9893.0"
"2015-12-02","7330.0"
"2015-12-03","8865.0"
"2015-12-04","39321.0"
"2015-12-05","4950.0"
"2015-12-06","1747.0"
"2015-12-07","11668.0"
"2015-12-08","3550.0"
"2015-12-09","6412.0"
"2015-12-10","12293.0"
"2015-12-11","5087.0"
"2015-12-12","10547.0"
"2015-12-13","24028.0"
"2015-12-14","20409.0"
"2015-12-15","20352.0"
"2015-12-16","16048.0"
"2015-12-17","10039.0"
"2015-12-18","8455.0"
"2015-12-19","18445.0"
"2015-12-20","26836.0"
"2015-12-21","6091.0"
"2015-12-22","11074.0"
"2015-12-23","5017.0"
"2015-12-24","18936.0"
"2015-12-25","34408.0"
"2015-12-26","36349.0"
"2015-12-27","45125.0"
"2015-12-28","25749.0"
"2015-12-29","17637.0"
"2015-12-30","17862.0"
"2015-12-31","20351.0"
"2016-01-01","52777.0"
"2016-01-02","10707.0"
"2016-01-03","7429.0"
"2016-01-04","12105.0"
"2016-01-05","54934.0"
"2016-01-06","4995.0"
"2016-01-07","1765.0"
"2016-01-08","2966.0"
"2016-01-09","836.0"
"2016-01-10","808.0"
"2016-01-11","22349.0"
"2016-01-12","4533.0"
"2016-01-13","26999.0"
"2016-01-14","33321.0"
"2016-01-15","31827.0"
