"Date","Value"
"2015-01-01","170328.0"
"2015-01-02","170540.0"
"2015-01-03","170289.0"
"2015-01-04","170007.0"
"2015-01-05","66847.0"
"2015-01-06","116324.0"
"2015-01-07","143648.0"
"2015-01-08","161795.0"
"2015-01-09","164598.0"
"2015-01-10","144045.0"
"2015-01-11","121013.0"
"2015-01-12","130971.0"
"2015-01-13","170410.0"
"2015-01-14","170375.0"
"2015-01-15","170280.0"
"2015-01-16","170436.0"
"2015-01-17","170462.0"
"2015-01-18","170517.0"
"2015-01-19","151612.0"
"2015-01-20","146293.0"
"2015-01-21","148712.0"
"2015-01-22","167502.0"
"2015-01-23","170387.0"
"2015-01-24","170308.0"
"2015-01-25","170326.0"
"2015-01-26","170431.0"
"2015-01-27","163375.0"
"2015-01-28","163252.0"
"2015-01-29","170286.0"
"2015-01-30","170344.0"
"2015-01-31","170443.0"
"2015-02-01","170339.0"
"2015-02-02","170547.0"
"2015-02-03","170341.0"
"2015-02-04","170024.0"
"2015-02-05","95826.0"
"2015-02-06","119186.0"
"2015-02-07","143991.0"
"2015-02-08","161928.0"
"2015-02-09","164562.0"
"2015-02-10","142888.0"
"2015-02-11","121081.0"
"2015-02-12","131334.0"
"2015-02-13","169747.0"
"2015-02-14","170508.0"
"2015-02-15","170511.0"
"2015-02-16","170530.0"
"2015-02-17","170578.0"
"2015-02-18","170595.0"
"2015-02-19","170607.0"
"2015-02-20","170594.0"
"2015-02-21","170561.0"
"2015-02-22","170557.0"
"2015-02-23","170510.0"
"2015-02-24","170523.0"
"2015-02-25","170434.0"
"2015-02-26","170489.0"
"2015-02-27","170476.0"
"2015-02-28","170448.0"
"2015-03-01","170360.0"
"2015-03-02","161311.0"
"2015-03-03","169322.0"
"2015-03-04","168482.0"
"2015-03-05","96273.0"
"2015-03-06","119444.0"
"2015-03-07","143736.0"
"2015-03-08","161112.0"
"2015-03-09","165233.0"
"2015-03-10","137100.0"
"2015-03-11","120924.0"
"2015-03-12","144551.0"
"2015-03-13","170187.0"
"2015-03-14","161788.0"
"2015-03-15","163889.0"
"2015-03-16","169326.0"
"2015-03-17","170296.0"
"2015-03-18","170360.0"
"2015-03-19","170344.0"
"2015-03-20","170323.0"
"2015-03-21","170349.0"
"2015-03-22","170343.0"
"2015-03-23","170315.0"
"2015-03-24","170357.0"
"2015-03-25","170308.0"
"2015-03-26","169499.0"
"2015-03-27","170216.0"
"2015-03-28","170212.0"
"2015-03-29","163096.0"
"2015-03-30","170066.0"
"2015-03-31","169998.0"
"2015-04-01","170310.0"
"2015-04-02","145751.0"
"2015-04-03","155399.0"
"2015-04-04","170183.0"
"2015-04-05","96690.0"
"2015-04-06","119833.0"
"2015-04-07","143478.0"
"2015-04-08","160528.0"
"2015-04-09","165501.0"
"2015-04-10","117550.0"
"2015-04-11","121041.0"
"2015-04-12","146155.0"
"2015-04-13","170128.0"
"2015-04-14","170133.0"
"2015-04-15","170155.0"
"2015-04-16","163001.0"
"2015-04-17","170019.0"
"2015-04-18","158986.0"
"2015-04-19","162182.0"
"2015-04-20","167408.0"
"2015-04-21","152396.0"
"2015-04-22","144966.0"
"2015-04-23","138741.0"
"2015-04-24","149610.0"
"2015-04-25","144759.0"
"2015-04-26","131133.0"
"2015-04-27","120519.0"
"2015-04-28","120572.0"
"2015-04-29","112869.0"
"2015-04-30","96950.0"
"2015-05-01","170302.0"
