"Date","Value"
"2015-01-01","1014.0"
"2015-01-02","1062.0"
"2015-01-03","1873.0"
"2015-01-04","2009.0"
"2015-01-05","680.0"
"2015-01-06","2063.0"
"2015-01-07","2081.0"
"2015-01-08","2020.0"
"2015-01-09","2007.0"
"2015-01-10","2081.0"
"2015-01-11","1996.0"
"2015-01-12","2225.0"
"2015-01-13","1959.0"
"2015-01-14","2020.0"
"2015-01-15","1842.0"
"2015-01-16","2058.0"
"2015-01-17","1919.0"
"2015-01-18","1934.0"
"2015-01-19","1817.0"
"2015-01-20","2075.0"
"2015-01-21","2128.0"
"2015-01-22","2069.0"
"2015-01-23","2131.0"
"2015-01-24","1367.0"
"2015-01-25","584.0"
"2015-01-26","1212.0"
"2015-01-27","1019.0"
"2015-01-28","1043.0"
"2015-01-29","1035.0"
"2015-01-30","1068.0"
"2015-01-31","1013.0"
"2015-02-01","1020.0"
"2015-02-02","1758.0"
"2015-02-03","2001.0"
"2015-02-04","1443.0"
"2015-02-05","1776.0"
"2015-02-06","2049.0"
"2015-02-07","2074.0"
"2015-02-08","1956.0"
"2015-02-09","2013.0"
"2015-02-10","2150.0"
"2015-02-11","1849.0"
"2015-02-12","2227.0"
"2015-02-13","2081.0"
"2015-02-14","1995.0"
"2015-02-15","1962.0"
"2015-02-16","2071.0"
"2015-02-17","2119.0"
"2015-02-18","2166.0"
"2015-02-19","2163.0"
"2015-02-20","2056.0"
"2015-02-21","1972.0"
"2015-02-22","1983.0"
"2015-02-23","2030.0"
"2015-02-24","2057.0"
"2015-02-25","1920.0"
"2015-02-26","1671.0"
"2015-02-27","1064.0"
"2015-02-28","1735.0"
"2015-03-01","1023.0"
"2015-03-02","2148.0"
"2015-03-03","2000.0"
"2015-03-04","1013.0"
"2015-03-05","1887.0"
"2015-03-06","2015.0"
"2015-03-07","2024.0"
"2015-03-08","1997.0"
"2015-03-09","2083.0"
"2015-03-10","2050.0"
"2015-03-11","1249.0"
"2015-03-12","2141.0"
"2015-03-13","2020.0"
"2015-03-14","2034.0"
"2015-03-15","2029.0"
"2015-03-16","2002.0"
"2015-03-17","1926.0"
"2015-03-18","1994.0"
"2015-03-19","1926.0"
"2015-03-20","1932.0"
"2015-03-21","1933.0"
"2015-03-22","1475.0"
"2015-03-23","1019.0"
"2015-03-24","1035.0"
"2015-03-25","1089.0"
"2015-03-26","1786.0"
"2015-03-27","1978.0"
"2015-03-28","1939.0"
"2015-03-29","1843.0"
"2015-03-30","1949.0"
"2015-03-31","2019.0"
"2015-04-01","982.0"
"2015-04-02","2143.0"
"2015-04-03","2066.0"
"2015-04-04","927.0"
"2015-04-05","1914.0"
"2015-04-06","1937.0"
"2015-04-07","2019.0"
"2015-04-08","2018.0"
"2015-04-09","2099.0"
"2015-04-10","1974.0"
"2015-04-11","1253.0"
"2015-04-12","2160.0"
"2015-04-13","929.0"
"2015-04-14","918.0"
"2015-04-15","905.0"
"2015-04-16","963.0"
"2015-04-17","1017.0"
"2015-04-18","1016.0"
"2015-04-19","1000.0"
"2015-04-20","983.0"
"2015-04-21","984.0"
"2015-04-22","967.0"
"2015-04-23","980.0"
"2015-04-24","1029.0"
"2015-04-25","1483.0"
"2015-04-26","1981.0"
"2015-04-27","2059.0"
"2015-04-28","2123.0"
"2015-04-29","1199.0"
"2015-04-30","1003.0"
"2015-05-01","1018.0"
"2015-05-02","2196.0"
"2015-05-03","1979.0"
"2015-05-04","905.0"
"2015-05-05","1972.0"
"2015-05-06","1974.0"
"2015-05-07","2079.0"
"2015-05-08","2004.0"
"2015-05-09","2101.0"
"2015-05-10","1963.0"
"2015-05-11","1252.0"
"2015-05-12","2111.0"
"2015-05-13","1992.0"
"2015-05-14","2049.0"
"2015-05-15","2056.0"
"2015-05-16","2060.0"
"2015-05-17","2009.0"
"2015-05-18","2090.0"
"2015-05-19","2120.0"
"2015-05-20","2165.0"
"2015-05-21","2159.0"
"2015-05-22","2137.0"
"2015-05-23","2081.0"
"2015-05-24","2064.0"
"2015-05-25","2156.0"
"2015-05-26","2099.0"
"2015-05-27","2118.0"
"2015-05-28","2123.0"
"2015-05-29","2036.0"
"2015-05-30","2052.0"
"2015-05-31","2056.0"
"2015-06-01","1013.0"
"2015-06-02","2234.0"
"2015-06-03","2039.0"
"2015-06-04","927.0"
"2015-06-05","1983.0"
"2015-06-06","2035.0"
"2015-06-07","2085.0"
"2015-06-08","2020.0"
"2015-06-09","2106.0"
"2015-06-10","2011.0"
"2015-06-11","1221.0"
"2015-06-12","2087.0"
"2015-06-13","2025.0"
"2015-06-14","2102.0"
"2015-06-15","2106.0"
"2015-06-16","2143.0"
"2015-06-17","2060.0"
"2015-06-18","2018.0"
"2015-06-19","2033.0"
"2015-06-20","1746.0"
"2015-06-21","1982.0"
"2015-06-22","1974.0"
"2015-06-23","1936.0"
"2015-06-24","2010.0"
"2015-06-25","2034.0"
"2015-06-26","2116.0"
"2015-06-27","2107.0"
"2015-06-28","2114.0"
"2015-06-29","2063.0"
"2015-06-30","2074.0"
"2015-07-01","1015.0"
"2015-07-02","2123.0"
"2015-07-03","1975.0"
"2015-07-04","1009.0"
"2015-07-05","1962.0"
"2015-07-06","2005.0"
"2015-07-07","2064.0"
"2015-07-08","2015.0"
"2015-07-09","2098.0"
"2015-07-10","2144.0"
"2015-07-11","1363.0"
"2015-07-12","2035.0"
"2015-07-13","2115.0"
"2015-07-14","2096.0"
"2015-07-15","2103.0"
"2015-07-16","2041.0"
"2015-07-17","2069.0"
"2015-07-18","2055.0"
"2015-07-19","2049.0"
"2015-07-20","2013.0"
"2015-07-21","2027.0"
"2015-07-22","2061.0"
"2015-07-23","2041.0"
"2015-07-24","2070.0"
"2015-07-25","2095.0"
"2015-07-26","2056.0"
"2015-07-27","2083.0"
"2015-07-28","2052.0"
"2015-07-29","2107.0"
"2015-07-30","1999.0"
"2015-07-31","2028.0"
"2015-08-01","1644.0"
"2015-08-02","2065.0"
"2015-08-03","2001.0"
"2015-08-04","995.0"
"2015-08-05","1992.0"
"2015-08-06","1979.0"
"2015-08-07","1839.0"
"2015-08-08","2059.0"
"2015-08-09","2075.0"
"2015-08-10","2060.0"
"2015-08-11","1331.0"
"2015-08-12","2075.0"
"2015-08-13","1978.0"
"2015-08-14","2050.0"
"2015-08-15","1941.0"
"2015-08-16","1938.0"
"2015-08-17","2062.0"
"2015-08-18","2150.0"
"2015-08-19","2148.0"
"2015-08-20","2102.0"
"2015-08-21","2119.0"
"2015-08-22","2079.0"
"2015-08-23","2021.0"
"2015-08-24","1790.0"
"2015-08-25","2102.0"
"2015-08-26","2034.0"
"2015-08-27","2044.0"
"2015-08-28","2065.0"
"2015-08-29","2049.0"
"2015-08-30","1989.0"
"2015-08-31","2081.0"
"2015-09-01","1940.0"
"2015-09-02","2062.0"
"2015-09-03","1985.0"
"2015-09-04","980.0"
"2015-09-05","2021.0"
"2015-09-06","2074.0"
"2015-09-07","2059.0"
"2015-09-08","2029.0"
"2015-09-09","2014.0"
"2015-09-10","2028.0"
"2015-09-11","1733.0"
"2015-09-12","2166.0"
"2015-09-13","1834.0"
"2015-09-14","1934.0"
"2015-09-15","1888.0"
"2015-09-16","1728.0"
"2015-09-17","1949.0"
"2015-09-18","1923.0"
"2015-09-19","1926.0"
"2015-09-20","1931.0"
"2015-09-21","1950.0"
"2015-09-22","1925.0"
"2015-09-23","1931.0"
"2015-09-24","1964.0"
"2015-09-25","1957.0"
"2015-09-26","1914.0"
"2015-09-27","1933.0"
"2015-09-28","1932.0"
"2015-09-29","1942.0"
"2015-09-30","2036.0"
"2015-10-01","1950.0"
"2015-10-02","2012.0"
"2015-10-03","2007.0"
"2015-10-04","993.0"
"2015-10-05","1993.0"
"2015-10-06","2070.0"
"2015-10-07","2057.0"
"2015-10-08","2010.0"
"2015-10-09","1989.0"
"2015-10-10","1982.0"
"2015-10-11","2132.0"
"2015-10-12","2173.0"
"2015-10-13","2221.0"
"2015-10-14","2135.0"
"2015-10-15","2097.0"
"2015-10-16","2119.0"
"2015-10-17","2072.0"
"2015-10-18","1988.0"
"2015-10-19","2072.0"
"2015-10-20","2108.0"
"2015-10-21","2110.0"
"2015-10-22","2112.0"
"2015-10-23","2068.0"
"2015-10-24","2033.0"
"2015-10-25","2138.0"
"2015-10-26","2041.0"
"2015-10-27","1993.0"
"2015-10-28","2105.0"
"2015-10-29","2079.0"
"2015-10-30","1966.0"
"2015-10-31","1945.0"
"2015-11-01","1963.0"
"2015-11-02","2087.0"
"2015-11-03","2027.0"
