"Date","Value"
"2015-01-01","1775.0"
"2015-01-02","1473.0"
"2015-01-03","1598.0"
"2015-01-04","1379.0"
"2015-01-05","1249.0"
"2015-01-06","1585.0"
"2015-01-07","1275.0"
"2015-01-08","1616.0"
"2015-01-09","1650.0"
"2015-01-10","1709.0"
"2015-01-11","1558.0"
"2015-01-12","1655.0"
"2015-01-13","1683.0"
"2015-01-14","1768.0"
"2015-01-15","1758.0"
"2015-01-16","1780.0"
"2015-01-17","1798.0"
"2015-01-18","1752.0"
"2015-01-19","1558.0"
"2015-01-20","1815.0"
"2015-01-21","1837.0"
"2015-01-22","1780.0"
"2015-01-23","1761.0"
"2015-01-24","1836.0"
"2015-01-25","1759.0"
"2015-01-26","1764.0"
"2015-01-27","1691.0"
"2015-01-28","1756.0"
"2015-01-29","1842.0"
"2015-01-30","1788.0"
"2015-01-31","1546.0"
"2015-02-01","1822.0"
"2015-02-02","1699.0"
"2015-02-03","1682.0"
"2015-02-04","1431.0"
"2015-02-05","1695.0"
"2015-02-06","1652.0"
"2015-02-07","1374.0"
"2015-02-08","1570.0"
"2015-02-09","1710.0"
"2015-02-10","1736.0"
"2015-02-11","1472.0"
"2015-02-12","1737.0"
"2015-02-13","1784.0"
"2015-02-14","1765.0"
"2015-02-15","1559.0"
"2015-02-16","1679.0"
"2015-02-17","1789.0"
"2015-02-18","1629.0"
"2015-02-19","1760.0"
"2015-02-20","1806.0"
"2015-02-21","1759.0"
"2015-02-22","1604.0"
"2015-02-23","1606.0"
"2015-02-24","1714.0"
"2015-02-25","1790.0"
"2015-02-26","1845.0"
"2015-02-27","1875.0"
"2015-02-28","1842.0"
"2015-03-01","1794.0"
"2015-03-02","1798.0"
"2015-03-03","1604.0"
"2015-03-04","1394.0"
"2015-03-05","1616.0"
"2015-03-06","1638.0"
"2015-03-07","1655.0"
"2015-03-08","1465.0"
"2015-03-09","1733.0"
"2015-03-10","1691.0"
"2015-03-11","1494.0"
"2015-03-12","1706.0"
"2015-03-13","1681.0"
"2015-03-14","1597.0"
"2015-03-15","1559.0"
"2015-03-16","1577.0"
"2015-03-17","1607.0"
"2015-03-18","1596.0"
"2015-03-19","1582.0"
"2015-03-20","1598.0"
"2015-03-21","1518.0"
"2015-03-22","1487.0"
"2015-03-23","1550.0"
"2015-03-24","1633.0"
"2015-03-25","1618.0"
"2015-03-26","1583.0"
"2015-03-27","1624.0"
"2015-03-28","1586.0"
