"Date","Value"
"2015-01-01","52005.0"
"2015-01-02","89159.0"
"2015-01-03","95266.0"
"2015-01-04","77792.0"
"2015-01-05","43206.0"
"2015-01-06","73820.0"
"2015-01-07","49728.0"
"2015-01-08","36855.0"
"2015-01-09","48603.0"
"2015-01-10","60783.0"
"2015-01-11","23149.0"
"2015-01-12","76161.0"
"2015-01-13","61608.0"
"2015-01-14","75479.0"
"2015-01-15","46034.0"
"2015-01-16","48625.0"
"2015-01-17","56629.0"
"2015-01-18","54665.0"
"2015-01-19","52430.0"
"2015-01-20","95144.0"
"2015-01-21","64942.0"
"2015-01-22","49414.0"
"2015-01-23","50312.0"
"2015-01-24","48158.0"
"2015-01-25","38671.0"
"2015-01-26","74883.0"
"2015-01-27","52167.0"
"2015-01-28","59522.0"
"2015-01-29","51630.0"
"2015-01-30","84959.0"
"2015-01-31","93726.0"
"2015-02-01","92163.0"
"2015-02-02","110184.0"
"2015-02-03","131664.0"
"2015-02-04","66696.0"
"2015-02-05","53125.0"
"2015-02-06","80376.0"
"2015-02-07","62121.0"
"2015-02-08","34065.0"
"2015-02-09","41963.0"
"2015-02-10","49971.0"
"2015-02-11","45559.0"
"2015-02-12","63385.0"
"2015-02-13","94940.0"
"2015-02-14","76960.0"
"2015-02-15","77946.0"
"2015-02-16","101464.0"
"2015-02-17","85131.0"
"2015-02-18","106817.0"
"2015-02-19","133498.0"
"2015-02-20","129035.0"
"2015-02-21","106112.0"
"2015-02-22","92457.0"
"2015-02-23","100265.0"
"2015-02-24","110610.0"
"2015-02-25","109668.0"
"2015-02-26","116220.0"
"2015-02-27","113638.0"
"2015-02-28","108895.0"
"2015-03-01","63699.0"
"2015-03-02","92145.0"
"2015-03-03","148870.0"
"2015-03-04","58228.0"
"2015-03-05","62202.0"
"2015-03-06","73120.0"
"2015-03-07","45146.0"
"2015-03-08","48310.0"
"2015-03-09","36293.0"
"2015-03-10","43210.0"
"2015-03-11","44213.0"
"2015-03-12","31120.0"
"2015-03-13","101630.0"
"2015-03-14","79038.0"
"2015-03-15","79199.0"
"2015-03-16","125337.0"
"2015-03-17","111100.0"
"2015-03-18","118922.0"
"2015-03-19","63397.0"
"2015-03-20","72748.0"
"2015-03-21","91416.0"
"2015-03-22","62702.0"
"2015-03-23","107692.0"
"2015-03-24","81211.0"
"2015-03-25","58126.0"
"2015-03-26","64459.0"
"2015-03-27","69021.0"
"2015-03-28","57799.0"
"2015-03-29","50136.0"
"2015-03-30","69038.0"
"2015-03-31","80117.0"
"2015-04-01","52313.0"
"2015-04-02","92658.0"
"2015-04-03","122162.0"
"2015-04-04","58476.0"
"2015-04-05","61128.0"
"2015-04-06","65864.0"
"2015-04-07","43465.0"
"2015-04-08","59591.0"
"2015-04-09","35880.0"
"2015-04-10","21850.0"
"2015-04-11","53921.0"
"2015-04-12","58145.0"
"2015-04-13","48283.0"
"2015-04-14","50652.0"
