"Date","Value"
"2015-01-01","25149.0"
"2015-01-02","31045.0"
"2015-01-03","32994.0"
"2015-01-04","35886.0"
"2015-01-05","19814.0"
"2015-01-06","19656.0"
"2015-01-07","17422.0"
"2015-01-08","15953.0"
"2015-01-09","14616.0"
"2015-01-10","11487.0"
"2015-01-11","15413.0"
"2015-01-12","19574.0"
"2015-01-13","22242.0"
"2015-01-14","23774.0"
"2015-01-15","24111.0"
"2015-01-16","27378.0"
"2015-01-17","26177.0"
"2015-01-18","25788.0"
"2015-01-19","24947.0"
"2015-01-20","28341.0"
"2015-01-21","28249.0"
"2015-01-22","27028.0"
"2015-01-23","27039.0"
"2015-01-24","25721.0"
"2015-01-25","24772.0"
"2015-01-26","26575.0"
"2015-01-27","23422.0"
"2015-01-28","22239.0"
"2015-01-29","25263.0"
"2015-01-30","30274.0"
"2015-01-31","30573.0"
"2015-02-01","26796.0"
"2015-02-02","33173.0"
"2015-02-03","37148.0"
"2015-02-04","35218.0"
"2015-02-05","28778.0"
"2015-02-06","20123.0"
"2015-02-07","16948.0"
"2015-02-08","15165.0"
"2015-02-09","14625.0"
"2015-02-10","12276.0"
"2015-02-11","15881.0"
"2015-02-12","18593.0"
"2015-02-13","30247.0"
"2015-02-14","30100.0"
"2015-02-15","31221.0"
"2015-02-16","32520.0"
"2015-02-17","31196.0"
"2015-02-18","31033.0"
"2015-02-19","32275.0"
"2015-02-20","32970.0"
"2015-02-21","30150.0"
"2015-02-22","28788.0"
"2015-02-23","32030.0"
"2015-02-24","32057.0"
"2015-02-25","31704.0"
"2015-02-26","31960.0"
"2015-02-27","33602.0"
"2015-02-28","33148.0"
"2015-03-01","25045.0"
"2015-03-02","34981.0"
"2015-03-03","38933.0"
"2015-03-04","32761.0"
"2015-03-05","29847.0"
"2015-03-06","19442.0"
"2015-03-07","17846.0"
"2015-03-08","15749.0"
"2015-03-09","14892.0"
"2015-03-10","12089.0"
"2015-03-11","17779.0"
"2015-03-12","16047.0"
"2015-03-13","37608.0"
"2015-03-14","34762.0"
"2015-03-15","33454.0"
"2015-03-16","34312.0"
"2015-03-17","31921.0"
"2015-03-18","29897.0"
"2015-03-19","29269.0"
"2015-03-20","29377.0"
"2015-03-21","30312.0"
"2015-03-22","29195.0"
"2015-03-23","31049.0"
"2015-03-24","29015.0"
"2015-03-25","29231.0"
"2015-03-26","28260.0"
"2015-03-27","31912.0"
"2015-03-28","31209.0"
"2015-03-29","29738.0"
"2015-03-30","32073.0"
"2015-03-31","34410.0"
"2015-04-01","24239.0"
"2015-04-02","34599.0"
"2015-04-03","39069.0"
"2015-04-04","30766.0"
"2015-04-05","32130.0"
"2015-04-06","18633.0"
"2015-04-07","16990.0"
"2015-04-08","15950.0"
"2015-04-09","14726.0"
"2015-04-10","11945.0"
"2015-04-11","18488.0"
"2015-04-12","17359.0"
"2015-04-13","30022.0"
"2015-04-14","29821.0"
"2015-04-15","30212.0"
"2015-04-16","25041.0"
"2015-04-17","23321.0"
"2015-04-18","22808.0"
"2015-04-19","22500.0"
"2015-04-20","23432.0"
"2015-04-21","21576.0"
"2015-04-22","22604.0"
"2015-04-23","22887.0"
"2015-04-24","22882.0"
"2015-04-25","21847.0"
"2015-04-26","23854.0"
"2015-04-27","24906.0"
"2015-04-28","27003.0"
"2015-04-29","26080.0"
"2015-04-30","26295.0"
"2015-05-01","25981.0"
"2015-05-02","33178.0"
"2015-05-03","37851.0"
"2015-05-04","29662.0"
"2015-05-05","34142.0"
"2015-05-06","18513.0"
"2015-05-07","16306.0"
"2015-05-08","15810.0"
"2015-05-09","14393.0"
"2015-05-10","15552.0"
"2015-05-11","18390.0"
"2015-05-12","16009.0"
"2015-05-13","25845.0"
"2015-05-14","23838.0"
"2015-05-15","22885.0"
"2015-05-16","21946.0"
"2015-05-17","21586.0"
"2015-05-18","24240.0"
"2015-05-19","21575.0"
"2015-05-20","21436.0"
"2015-05-21","20244.0"
"2015-05-22","20344.0"
"2015-05-23","19152.0"
"2015-05-24","18800.0"
"2015-05-25","20174.0"
"2015-05-26","18785.0"
"2015-05-27","18277.0"
"2015-05-28","19067.0"
"2015-05-29","18536.0"
"2015-05-30","17727.0"
"2015-05-31","17992.0"
"2015-06-01","24660.0"
"2015-06-02","33174.0"
"2015-06-03","38527.0"
"2015-06-04","29730.0"
"2015-06-05","34951.0"
"2015-06-06","17081.0"
"2015-06-07","17586.0"
"2015-06-08","15686.0"
"2015-06-09","13706.0"
"2015-06-10","17402.0"
"2015-06-11","19193.0"
"2015-06-12","13807.0"
"2015-06-13","20202.0"
"2015-06-14","20837.0"
"2015-06-15","20211.0"
"2015-06-16","20337.0"
"2015-06-17","20378.0"
"2015-06-18","20182.0"
"2015-06-19","19731.0"
"2015-06-20","18778.0"
"2015-06-21","18413.0"
"2015-06-22","19518.0"
"2015-06-23","19397.0"
"2015-06-24","19307.0"
"2015-06-25","19431.0"
"2015-06-26","19051.0"
"2015-06-27","17997.0"
"2015-06-28","17853.0"
"2015-06-29","18988.0"
"2015-06-30","18871.0"
"2015-07-01","25111.0"
"2015-07-02","32305.0"
"2015-07-03","35950.0"
"2015-07-04","30331.0"
"2015-07-05","31086.0"
"2015-07-06","16808.0"
"2015-07-07","16987.0"
"2015-07-08","15464.0"
"2015-07-09","14034.0"
"2015-07-10","16208.0"
"2015-07-11","16964.0"
"2015-07-12","13791.0"
"2015-07-13","15865.0"
"2015-07-14","15393.0"
"2015-07-15","15100.0"
"2015-07-16","15248.0"
"2015-07-17","15384.0"
"2015-07-18","14072.0"
"2015-07-19","13965.0"
"2015-07-20","15183.0"
"2015-07-21","15205.0"
"2015-07-22","15520.0"
"2015-07-23","15744.0"
"2015-07-24","14946.0"
"2015-07-25","14127.0"
"2015-07-26","14026.0"
"2015-07-27","14772.0"
"2015-07-28","15028.0"
"2015-07-29","14883.0"
"2015-07-30","14976.0"
"2015-07-31","16017.0"
"2015-08-01","22850.0"
"2015-08-02","28521.0"
"2015-08-03","34596.0"
"2015-08-04","29654.0"
"2015-08-05","29657.0"
"2015-08-06","17854.0"
"2015-08-07","16384.0"
"2015-08-08","15188.0"
"2015-08-09","14079.0"
"2015-08-10","14420.0"
"2015-08-11","15795.0"
"2015-08-12","15465.0"
"2015-08-13","13472.0"
"2015-08-14","14030.0"
"2015-08-15","13667.0"
"2015-08-16","13689.0"
"2015-08-17","14807.0"
"2015-08-18","15079.0"
"2015-08-19","15238.0"
"2015-08-20","14752.0"
"2015-08-21","14779.0"
"2015-08-22","14222.0"
"2015-08-23","13367.0"
"2015-08-24","14413.0"
"2015-08-25","14468.0"
"2015-08-26","13963.0"
"2015-08-27","14423.0"
"2015-08-28","14547.0"
"2015-08-29","13374.0"
"2015-08-30","13295.0"
"2015-08-31","13871.0"
"2015-09-01","23134.0"
"2015-09-02","30045.0"
"2015-09-03","36930.0"
"2015-09-04","31166.0"
"2015-09-05","30831.0"
"2015-09-06","18388.0"
"2015-09-07","15977.0"
"2015-09-08","15071.0"
"2015-09-09","13770.0"
"2015-09-10","14042.0"
"2015-09-11","17486.0"
"2015-09-12","16599.0"
"2015-09-13","13902.0"
"2015-09-14","14627.0"
"2015-09-15","15288.0"
"2015-09-16","16860.0"
"2015-09-17","17910.0"
"2015-09-18","17141.0"
"2015-09-19","15688.0"
"2015-09-20","14999.0"
"2015-09-21","15139.0"
"2015-09-22","14007.0"
"2015-09-23","13697.0"
"2015-09-24","13998.0"
"2015-09-25","14084.0"
"2015-09-26","12836.0"
"2015-09-27","12492.0"
"2015-09-28","11872.0"
"2015-09-29","12537.0"
"2015-09-30","12060.0"
"2015-10-01","21408.0"
"2015-10-02","30542.0"
"2015-10-03","37719.0"
"2015-10-04","31906.0"
"2015-10-05","26712.0"
"2015-10-06","18620.0"
"2015-10-07","15579.0"
"2015-10-08","14709.0"
"2015-10-09","13671.0"
"2015-10-10","13766.0"
"2015-10-11","17936.0"
"2015-10-12","16282.0"
"2015-10-13","14459.0"
"2015-10-14","13094.0"
"2015-10-15","13107.0"
"2015-10-16","12762.0"
"2015-10-17","12017.0"
"2015-10-18","11821.0"
"2015-10-19","12828.0"
"2015-10-20","14038.0"
"2015-10-21","13559.0"
"2015-10-22","13056.0"
"2015-10-23","12921.0"
"2015-10-24","12277.0"
"2015-10-25","11988.0"
"2015-10-26","11975.0"
"2015-10-27","13744.0"
"2015-10-28","16017.0"
"2015-10-29","18125.0"
"2015-10-30","18333.0"
"2015-10-31","17083.0"
"2015-11-01","20573.0"
"2015-11-02","31430.0"
"2015-11-03","38132.0"
"2015-11-04","31048.0"
"2015-11-05","28163.0"
"2015-11-06","19647.0"
"2015-11-07","14307.0"
"2015-11-08","14475.0"
"2015-11-09","12985.0"
"2015-11-10","13036.0"
"2015-11-11","17923.0"
"2015-11-12","16005.0"
"2015-11-13","16444.0"
"2015-11-14","13973.0"
"2015-11-15","13314.0"
"2015-11-16","15514.0"
"2015-11-17","14933.0"
"2015-11-18","15131.0"
"2015-11-19","14503.0"
"2015-11-20","14525.0"
"2015-11-21","14713.0"
"2015-11-22","16873.0"
"2015-11-23","18936.0"
"2015-11-24","18225.0"
"2015-11-25","18402.0"
"2015-11-26","19324.0"
"2015-11-27","20130.0"
"2015-11-28","18731.0"
"2015-11-29","18149.0"
"2015-11-30","19272.0"
"2015-12-01","22050.0"
"2015-12-02","29506.0"
"2015-12-03","38004.0"
"2015-12-04","28849.0"
"2015-12-05","27266.0"
"2015-12-06","20799.0"
"2015-12-07","14353.0"
"2015-12-08","13985.0"
"2015-12-09","13647.0"
"2015-12-10","14030.0"
"2015-12-11","17431.0"
"2015-12-12","15268.0"
"2015-12-13","12841.0"
"2015-12-14","14198.0"
"2015-12-15","15869.0"
"2015-12-16","15827.0"
"2015-12-17","16078.0"
"2015-12-18","16703.0"
"2015-12-19","13735.0"
"2015-12-20","14106.0"
"2015-12-21","15619.0"
"2015-12-22","15511.0"
"2015-12-23","16670.0"
"2015-12-24","15716.0"
"2015-12-25","12713.0"
"2015-12-26","12708.0"
"2015-12-27","12523.0"
"2015-12-28","15252.0"
"2015-12-29","17223.0"
"2015-12-30","16273.0"
"2015-12-31","17585.0"
"2016-01-01","15392.0"
"2016-01-02","23951.0"
"2016-01-03","35387.0"
"2016-01-04","42767.0"
"2016-01-05","33507.0"
"2016-01-06","36041.0"
"2016-01-07","24637.0"
"2016-01-08","19134.0"
"2016-01-09","17061.0"
"2016-01-10","9878.0"
"2016-01-11","10117.0"
"2016-01-12","19752.0"
"2016-01-13","26820.0"
"2016-01-14","27631.0"
"2016-01-15","28507.0"
"2016-01-16","27587.0"
"2016-01-17","26535.0"
"2016-01-18","27094.0"
"2016-01-19","28084.0"
"2016-01-20","27946.0"
"2016-01-21","27659.0"
"2016-01-22","27323.0"
"2016-01-23","26306.0"
"2016-01-24","25278.0"
"2016-01-25","25718.0"
"2016-01-26","25322.0"
"2016-01-27","24777.0"
"2016-01-28","25878.0"
"2016-01-29","25303.0"
"2016-01-30","21863.0"
"2016-01-31","22526.0"
"2016-02-01","15694.0"
"2016-02-02","23749.0"
"2016-02-03","35516.0"
"2016-02-04","41820.0"
"2016-02-05","34450.0"
"2016-02-06","35036.0"
"2016-02-07","22831.0"
"2016-02-08","19618.0"
"2016-02-09","16674.0"
"2016-02-10","9554.0"
"2016-02-11","10679.0"
"2016-02-12","19784.0"
"2016-02-13","29586.0"
"2016-02-14","27242.0"
"2016-02-15","27688.0"
"2016-02-16","27886.0"
"2016-02-17","28709.0"
"2016-02-18","29157.0"
"2016-02-19","29940.0"
"2016-02-20","28558.0"
"2016-02-21","27944.0"
"2016-02-22","29924.0"
"2016-02-23","29449.0"
"2016-02-24","29925.0"
"2016-02-25","34087.0"
"2016-02-26","38156.0"
"2016-02-27","36718.0"
"2016-02-28","34900.0"
"2016-02-29","35406.0"
"2016-03-01","15334.0"
"2016-03-02","22953.0"
"2016-03-03","36694.0"
"2016-03-04","40161.0"
"2016-03-05","34401.0"
