"Date","Value"
"2015-01-01","27443.0"
"2015-01-02","30053.0"
"2015-01-03","26871.0"
"2015-01-04","57660.0"
"2015-01-05","18461.0"
"2015-01-06","54315.0"
"2015-01-07","55267.0"
"2015-01-08","55232.0"
"2015-01-09","39061.0"
"2015-01-10","43800.0"
"2015-01-11","15098.0"
"2015-01-12","21301.0"
"2015-01-13","21269.0"
"2015-01-14","17568.0"
"2015-01-15","13991.0"
"2015-01-16","16257.0"
"2015-01-17","23884.0"
"2015-01-18","5990.0"
"2015-01-19","16471.0"
"2015-01-20","11254.0"
"2015-01-21","14563.0"
"2015-01-22","19003.0"
"2015-01-23","29037.0"
"2015-01-24","32015.0"
"2015-01-25","33737.0"
"2015-01-26","32534.0"
"2015-01-27","27542.0"
"2015-01-28","26540.0"
"2015-01-29","15908.0"
"2015-01-30","8538.0"
"2015-01-31","17915.0"
"2015-02-01","26002.0"
"2015-02-02","10592.0"
"2015-02-03","29758.0"
"2015-02-04","56297.0"
"2015-02-05","47940.0"
"2015-02-06","59386.0"
"2015-02-07","51920.0"
"2015-02-08","56616.0"
"2015-02-09","40772.0"
"2015-02-10","40403.0"
"2015-02-11","6397.0"
"2015-02-12","16658.0"
"2015-02-13","25925.0"
"2015-02-14","9808.0"
"2015-02-15","12766.0"
"2015-02-16","14301.0"
"2015-02-17","13939.0"
"2015-02-18","28269.0"
"2015-02-19","35104.0"
"2015-02-20","23624.0"
"2015-02-21","20596.0"
"2015-02-22","34649.0"
"2015-02-23","13945.0"
"2015-02-24","34235.0"
"2015-02-25","33132.0"
"2015-02-26","26331.0"
"2015-02-27","37850.0"
"2015-02-28","29106.0"
"2015-03-01","27558.0"
"2015-03-02","12475.0"
"2015-03-03","30838.0"
"2015-03-04","41975.0"
"2015-03-05","21270.0"
"2015-03-06","58641.0"
"2015-03-07","57810.0"
"2015-03-08","39034.0"
"2015-03-09","37909.0"
"2015-03-10","15905.0"
"2015-03-11","10545.0"
"2015-03-12","24080.0"
"2015-03-13","38784.0"
"2015-03-14","42498.0"
"2015-03-15","43073.0"
"2015-03-16","46297.0"
