"Date","Value"
"2015-01-01","4852.0"
"2015-01-02","4446.0"
"2015-01-03","4895.0"
"2015-01-04","3823.0"
"2015-01-05","2576.0"
"2015-01-06","5589.0"
"2015-01-07","5228.0"
"2015-01-08","5661.0"
"2015-01-09","5985.0"
"2015-01-10","5951.0"
"2015-01-11","6336.0"
"2015-01-12","5511.0"
"2015-01-13","6445.0"
"2015-01-14","6428.0"
"2015-01-15","6253.0"
"2015-01-16","6266.0"
"2015-01-17","6319.0"
"2015-01-18","6323.0"
"2015-01-19","5760.0"
"2015-01-20","6379.0"
"2015-01-21","5885.0"
"2015-01-22","5425.0"
"2015-01-23","5412.0"
"2015-01-24","5251.0"
"2015-01-25","5417.0"
"2015-01-26","5464.0"
"2015-01-27","4925.0"
"2015-01-28","4856.0"
"2015-01-29","4972.0"
"2015-01-30","4655.0"
"2015-01-31","4470.0"
"2015-02-01","4916.0"
"2015-02-02","4018.0"
"2015-02-03","5198.0"
"2015-02-04","4154.0"
"2015-02-05","3675.0"
"2015-02-06","5843.0"
"2015-02-07","5208.0"
"2015-02-08","5493.0"
"2015-02-09","6272.0"
"2015-02-10","6357.0"
"2015-02-11","6432.0"
"2015-02-12","5552.0"
"2015-02-13","5113.0"
"2015-02-14","5072.0"
"2015-02-15","4822.0"
"2015-02-16","5031.0"
"2015-02-17","4796.0"
"2015-02-18","5484.0"
"2015-02-19","5499.0"
"2015-02-20","4899.0"
"2015-02-21","4860.0"
"2015-02-22","4426.0"
"2015-02-23","5035.0"
"2015-02-24","5477.0"
"2015-02-25","5474.0"
"2015-02-26","4820.0"
"2015-02-27","4880.0"
"2015-02-28","4883.0"
"2015-03-01","5428.0"
"2015-03-02","4591.0"
"2015-03-03","5342.0"
"2015-03-04","3994.0"
"2015-03-05","3489.0"
"2015-03-06","6298.0"
"2015-03-07","5252.0"
"2015-03-08","4561.0"
"2015-03-09","6437.0"
"2015-03-10","6270.0"
"2015-03-11","6556.0"
"2015-03-12","5288.0"
"2015-03-13","3714.0"
"2015-03-14","3803.0"
"2015-03-15","3711.0"
"2015-03-16","3656.0"
"2015-03-17","3344.0"
"2015-03-18","3915.0"
"2015-03-19","3173.0"
"2015-03-20","3413.0"
"2015-03-21","3474.0"
"2015-03-22","3386.0"
"2015-03-23","3567.0"
"2015-03-24","3609.0"
"2015-03-25","4228.0"
"2015-03-26","4051.0"
"2015-03-27","3440.0"
"2015-03-28","3541.0"
"2015-03-29","2989.0"
"2015-03-30","3345.0"
"2015-03-31","3736.0"
"2015-04-01","5840.0"
"2015-04-02","4732.0"
"2015-04-03","5168.0"
