Date,Value
2015-01-01,89002
2015-01-02,269409
2015-01-03,220018
2015-01-04,193576
2015-01-05,124571
2015-01-06,60726
2015-01-07,138788
2015-01-08,86760
2015-01-09,103102
2015-01-10,54124
2015-01-11,231111
2015-01-12,30241
2015-01-13,155037
2015-01-14,142224
2015-01-15,229207
2015-01-16,243007
2015-01-17,158548
2015-01-18,142838
2015-01-19,158345
2015-01-20,103250
2015-01-21,196602
2015-01-22,238589
2015-01-23,210598
2015-01-24,204746
2015-01-25,242590
2015-01-26,161767
2015-01-27,189012
2015-01-28,174816
2015-01-29,328227
2015-01-30,357754
2015-01-31,323197
2015-02-01,54976
2015-02-02,220893
2015-02-03,167061
2015-02-04,135520
2015-02-05,160651
2015-02-06,58017
2015-02-07,89704
2015-02-08,115738
2015-02-09,101579
2015-02-10,65374
2015-02-11,213937
2015-02-12,47327
2015-02-13,168618
2015-02-14,290932
2015-02-15,247687
2015-02-16,180295
2015-02-17,303134
2015-02-18,200504
2015-02-19,79905
2015-02-20,111127
2015-02-21,245748
2015-02-22,267990
2015-02-23,328573
2015-02-24,325284
2015-02-25,300210
2015-02-26,260152
2015-02-27,257470
2015-02-28,197368
2015-03-01,85142
2015-03-02,273230
2015-03-03,58263
2015-03-04,111850
2015-03-05,131699
2015-03-06,91244
2015-03-07,172867
2015-03-08,105604
2015-03-09,134737
2015-03-10,61559
2015-03-11,201181
2015-03-12,101357
2015-03-13,170803
2015-03-14,167107
2015-03-15,92056
2015-03-16,49886
2015-03-17,134704
2015-03-18,154988
2015-03-19,233278
2015-03-20,282267
2015-03-21,184835
2015-03-22,184805
2015-03-23,131713
2015-03-24,217616
2015-03-25,298207
2015-03-26,252274
2015-03-27,233660
2015-03-28,172528
2015-03-29,172009
2015-03-30,198725
2015-03-31,153480
2015-04-01,99275
2015-04-02,308470
2015-04-03,240033
2015-04-04,178288
2015-04-05,201945
2015-04-06,102566
2015-04-07,109803
2015-04-08,54533
2015-04-09,125310
2015-04-10,205444
2015-04-11,114866
2015-04-12,50519
2015-04-13,204116
2015-04-14,217795
2015-04-15,134948
2015-04-16,102248
2015-04-17,57216
2015-04-18,94452
2015-04-19,85158
2015-04-20,55643
2015-04-21,181803
2015-04-22,123607
2015-04-23,29577
2015-04-24,63684
2015-04-25,136811
2015-04-26,150203
2015-04-27,237126
2015-04-28,101252
2015-04-29,59133
2015-04-30,127758
2015-05-01,34693
2015-05-02,280866
2015-05-03,260671
2015-05-04,165936
2015-05-05,183444
2015-05-06,103843
2015-05-07,102442
2015-05-08,80316
2015-05-09,113018
2015-05-10,302279
2015-05-11,128536
2015-05-12,66079
2015-05-13,141130
2015-05-14,207193
2015-05-15,221820
2015-05-16,212788
2015-05-17,196885
2015-05-18,112802
2015-05-19,213351
2015-05-20,171809
2015-05-21,208866
2015-05-22,223753
2015-05-23,211028
2015-05-24,176347
2015-05-25,149311
2015-05-26,197790
2015-05-27,180806
2015-05-28,128778
2015-05-29,119191
2015-05-30,68825
2015-05-31,62916
2015-06-01,59141
2015-06-02,203196
2015-06-03,98663
2015-06-04,154960
2015-06-05,56941
2015-06-06,136147
2015-06-07,102188
2015-06-08,62258
2015-06-09,84651
2015-06-10,278387
2015-06-11,90681
2015-06-12,98219
2015-06-13,80916
2015-06-14,66550
2015-06-15,82029
2015-06-16,131981
2015-06-17,190447
2015-06-18,170146
2015-06-19,171239
2015-06-20,139461
2015-06-21,85019
2015-06-22,59804
2015-06-23,81638
2015-06-24,46141
2015-06-25,41176
2015-06-26,57439
2015-06-27,63685
2015-06-28,56197
2015-06-29,76863
2015-06-30,119818
2015-07-01,20765
2015-07-02,92522
2015-07-03,59311
2015-07-04,203637
2015-07-05,138952
2015-07-06,122758
2015-07-07,82611
2015-07-08,98192
2015-07-09,69827
2015-07-10,66425
2015-07-11,88015
2015-07-12,151161
2015-07-13,82249
2015-07-14,95535
2015-07-15,83358
2015-07-16,90464
2015-07-17,75726
2015-07-18,97596
2015-07-19,58984
2015-07-20,40987
2015-07-21,64868
2015-07-22,87273
2015-07-23,64893
2015-07-24,130178
2015-07-25,127814
2015-07-26,90652
2015-07-27,97074
2015-07-28,78362
2015-07-29,90783
2015-07-30,150380
2015-07-31,141357
2015-08-01,57013
2015-08-02,203546
2015-08-03,84900
2015-08-04,223161
2015-08-05,217438
2015-08-06,110754
2015-08-07,147380
2015-08-08,128046
2015-08-09,29660
2015-08-10,70095
2015-08-11,136019
2015-08-12,59597
2015-08-13,200355
2015-08-14,111048
2015-08-15,76950
2015-08-16,49023
2015-08-17,69242
2015-08-18,89077
2015-08-19,65368
2015-08-20,65199
2015-08-21,75158
2015-08-22,105803
2015-08-23,222997
2015-08-24,187251
2015-08-25,76228
2015-08-26,143953
2015-08-27,154781
2015-08-28,83873
2015-08-29,135656
2015-08-30,142452
2015-08-31,90970
2015-09-01,83846
2015-09-02,209768
2015-09-03,64837
2015-09-04,131270
2015-09-05,51812
2015-09-06,115243
2015-09-07,129791
2015-09-08,140911
2015-09-09,53387
2015-09-10,33446
2015-09-11,36431
2015-09-12,81215
2015-09-13,201836
2015-09-14,155132
2015-09-15,206098
2015-09-16,297264
2015-09-17,154505
2015-09-18,57788
2015-09-19,87840
2015-09-20,60178
2015-09-21,49440
2015-09-22,120520
2015-09-23,126062
2015-09-24,67147
2015-09-25,50224
2015-09-26,39027
2015-09-27,83321
2015-09-28,104369
2015-09-29,72656
2015-09-30,47772
2015-10-01,92259
2015-10-02,91045
2015-10-03,26870
2015-10-04,97283
2015-10-05,107465
2015-10-06,112716
2015-10-07,91220
2015-10-08,66066
2015-10-09,40409
2015-10-10,73819
2015-10-11,30363
2015-10-12,60461
2015-10-13,158549
2015-10-14,170586
2015-10-15,69761
2015-10-16,31771
2015-10-17,149343
2015-10-18,77345
2015-10-19,110154
2015-10-20,232422
2015-10-21,196654
2015-10-22,142580
2015-10-23,53921
2015-10-24,59483
2015-10-25,88892
2015-10-26,125542
2015-10-27,181217
2015-10-28,239682
2015-10-29,140852
2015-10-30,159824
2015-10-31,141790
2015-11-01,146163
2015-11-02,66155
2015-11-03,48037
2015-11-04,41607
2015-11-05,82250
2015-11-06,85176
2015-11-07,97596
2015-11-08,74107
2015-11-09,72057
2015-11-10,57550
2015-11-11,17709
2015-11-12,56163
2015-11-13,60003
2015-11-14,63062
2015-11-15,41919
2015-11-16,59605
2015-11-17,79857
2015-11-18,49231
2015-11-19,58137
2015-11-20,177634
2015-11-21,343267
2015-11-22,188771
2015-11-23,129428
2015-11-24,135044
2015-11-25,279933
2015-11-26,273095
2015-11-27,176719
2015-11-28,150808
2015-11-29,70956
2015-11-30,53471
2015-12-01,145340
2015-12-02,43990
2015-12-03,80320
2015-12-04,143304
2015-12-05,82897
2015-12-06,66055
2015-12-07,70868
2015-12-08,85813
2015-12-09,94472
2015-12-10,107395
2015-12-11,27154
2015-12-12,52291
2015-12-13,96273
2015-12-14,177548
2015-12-15,180264
2015-12-16,132423
2015-12-17,120847
2015-12-18,108553
2015-12-19,144250
2015-12-20,120070
2015-12-21,92878
2015-12-22,143439
2015-12-23,61823
2015-12-24,111989
2015-12-25,95830
2015-12-26,151397
2015-12-27,211529
2015-12-28,270445
2015-12-29,150624
2015-12-30,190343
2015-12-31,112330
2016-01-01,203564
2016-01-02,74887
2016-01-03,188208
2016-01-04,154103
