Date,Value
2015-01-01,10284.0
2015-01-02,9247.0
2015-01-03,10572.0
2015-01-04,9531.0
2015-01-05,6133.0
2015-01-06,12889.0
2015-01-07,11883.0
2015-01-08,12441.0
2015-01-09,11589.0
2015-01-10,13429.0
2015-01-11,12767.0
2015-01-12,11373.0
2015-01-13,12582.0
2015-01-14,12643.0
2015-01-15,11660.0
2015-01-16,11811.0
2015-01-17,11792.0
2015-01-18,11968.0
2015-01-19,11236.0
2015-01-20,12634.0
2015-01-21,12857.0
2015-01-22,12851.0
2015-01-23,13164.0
2015-01-24,12305.0
2015-01-25,10672.0
2015-01-26,11053.0
2015-01-27,10589.0
2015-01-28,10879.0
2015-01-29,11660.0
2015-01-30,10796.0
2015-01-31,9288.0
2015-02-01,10705.0
2015-02-02,11634.0
2015-02-03,11493.0
2015-02-04,9141.0
2015-02-05,9289.0
2015-02-06,12658.0
2015-02-07,11698.0
2015-02-08,12271.0
2015-02-09,11811.0
2015-02-10,13496.0
2015-02-11,13666.0
2015-02-12,11179.0
2015-02-13,10684.0
2015-02-14,9976.0
2015-02-15,9570.0
2015-02-16,11049.0
2015-02-17,11193.0
2015-02-18,11895.0
2015-02-19,12164.0
2015-02-20,11644.0
2015-02-21,10916.0
2015-02-22,9612.0
2015-02-23,11408.0
2015-02-24,10770.0
2015-02-25,11242.0
2015-02-26,11711.0
2015-02-27,11923.0
2015-02-28,11143.0
2015-03-01,11301.0
2015-03-02,11668.0
2015-03-03,9889.0
2015-03-04,9180.0
2015-03-05,8462.0
2015-03-06,12648.0
2015-03-07,11051.0
2015-03-08,12124.0
2015-03-09,10917.0
2015-03-10,13586.0
2015-03-11,13476.0
2015-03-12,10116.0
2015-03-13,12846.0
2015-03-14,12064.0
2015-03-15,11680.0
2015-03-16,11551.0
2015-03-17,11133.0
2015-03-18,11150.0
2015-03-19,10796.0
2015-03-20,11085.0
2015-03-21,11305.0
2015-03-22,10957.0
2015-03-23,10933.0
2015-03-24,11151.0
2015-03-25,11346.0
2015-03-26,10742.0
2015-03-27,11175.0
2015-03-28,11621.0
2015-03-29,9977.0
2015-03-30,10934.0
2015-03-31,10939.0
2015-04-01,11581.0
2015-04-02,11394.0
2015-04-03,10577.0
2015-04-04,8133.0
2015-04-05,9016.0
2015-04-06,12154.0
2015-04-07,11750.0
2015-04-08,12276.0
2015-04-09,11492.0
2015-04-10,12947.0
2015-04-11,13492.0
2015-04-12,11048.0
2015-04-13,9743.0
2015-04-14,9536.0
2015-04-15,9672.0
2015-04-16,9572.0
2015-04-17,9573.0
