Date,Value
2015-01-01,6178.0
2015-01-02,0.0
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,430.0
2015-01-06,22086.0
2015-01-07,22173.0
2015-01-08,13115.0
2015-01-09,21008.0
2015-01-10,20851.0
2015-01-11,0.0
2015-01-12,22445.0
2015-01-13,20417.0
2015-01-14,20693.0
2015-01-15,19270.0
2015-01-16,17147.0
2015-01-17,20127.0
2015-01-18,19368.0
2015-01-19,19109.0
2015-01-20,21633.0
2015-01-21,21437.0
2015-01-22,19935.0
2015-01-23,18771.0
2015-01-24,12810.0
2015-01-25,10762.0
2015-01-26,19640.0
2015-01-27,18839.0
2015-01-28,11270.0
2015-01-29,386.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,7532.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,22979.0
2015-02-07,22943.0
2015-02-08,10062.0
2015-02-09,21752.0
2015-02-10,20655.0
2015-02-11,0.0
2015-02-12,22630.0
2015-02-13,20440.0
2015-02-14,401.0
2015-02-15,0.0
2015-02-16,11168.0
2015-02-17,10083.0
2015-02-18,12542.0
2015-02-19,13096.0
2015-02-20,14008.0
2015-02-21,326.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-02-28,0.0
2015-03-01,7568.0
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,0.0
2015-03-06,23104.0
2015-03-07,22320.0
2015-03-08,18629.0
2015-03-09,20016.0
2015-03-10,18855.0
2015-03-11,3431.0
2015-03-12,21660.0
2015-03-13,117.0
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,5245.0
2015-03-17,6811.0
2015-03-18,5683.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,15618.0
2015-03-24,12439.0
2015-03-25,121.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,0.0
2015-03-31,0.0
2015-04-01,6561.0
2015-04-02,0.0
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,22952.0
2015-04-07,22543.0
2015-04-08,22002.0
2015-04-09,18204.0
2015-04-10,2353.0
2015-04-11,10620.0
2015-04-12,22410.0
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,13566.0
2015-04-16,20372.0
2015-04-17,22199.0
2015-04-18,12806.0
2015-04-19,1547.0
2015-04-20,12811.0
2015-04-21,11420.0
2015-04-22,12878.0
2015-04-23,15520.0
2015-04-24,21120.0
2015-04-25,916.0
2015-04-26,0.0
2015-04-27,0.0
2015-04-28,15778.0
2015-04-29,22960.0
2015-04-30,20982.0
