Date,Value
2015-01-01,102162.0
2015-01-02,84976.0
2015-01-03,82663.0
2015-01-04,83270.0
2015-01-05,78256.0
2015-01-06,107998.0
2015-01-07,129222.0
2015-01-08,106659.0
2015-01-09,137818.0
2015-01-10,129963.0
2015-01-11,93832.0
2015-01-12,217797.0
2015-01-13,145684.0
2015-01-14,149537.0
2015-01-15,99906.0
2015-01-16,111113.0
2015-01-17,111689.0
2015-01-18,113245.0
2015-01-19,119845.0
2015-01-20,179451.0
2015-01-21,134251.0
2015-01-22,126376.0
2015-01-23,122152.0
2015-01-24,96289.0
2015-01-25,89338.0
2015-01-26,128602.0
2015-01-27,110635.0
2015-01-28,119958.0
2015-01-29,91606.0
2015-01-30,84357.0
2015-01-31,66407.0
2015-02-01,134010.0
2015-02-02,111320.0
2015-02-03,116560.0
2015-02-04,86453.0
2015-02-05,115075.0
2015-02-06,107405.0
2015-02-07,165944.0
2015-02-08,94577.0
2015-02-09,129280.0
2015-02-10,124279.0
2015-02-11,116272.0
2015-02-12,230481.0
2015-02-13,117807.0
2015-02-14,82537.0
2015-02-15,83181.0
2015-02-16,122148.0
2015-02-17,92689.0
2015-02-18,117898.0
2015-02-19,146923.0
2015-02-20,127950.0
2015-02-21,88598.0
2015-02-22,81405.0
2015-02-23,84722.0
2015-02-24,91808.0
2015-02-25,92361.0
2015-02-26,98288.0
2015-02-27,93067.0
2015-02-28,87981.0
2015-03-01,122820.0
2015-03-02,109741.0
2015-03-03,136167.0
2015-03-04,98486.0
2015-03-05,125544.0
2015-03-06,114269.0
2015-03-07,126672.0
2015-03-08,142555.0
2015-03-09,119300.0
2015-03-10,118977.0
2015-03-11,119068.0
2015-03-12,184386.0
2015-03-13,95642.0
2015-03-14,90959.0
2015-03-15,102418.0
2015-03-16,138639.0
2015-03-17,108082.0
2015-03-18,108117.0
2015-03-19,95334.0
2015-03-20,92554.0
2015-03-21,101907.0
2015-03-22,95491.0
2015-03-23,126288.0
2015-03-24,105882.0
2015-03-25,93126.0
2015-03-26,99566.0
2015-03-27,101194.0
2015-03-28,92272.0
2015-03-29,82898.0
2015-03-30,93865.0
2015-03-31,86542.0
2015-04-01,112905.0
2015-04-02,116493.0
2015-04-03,94269.0
2015-04-04,82487.0
2015-04-05,119113.0
2015-04-06,114210.0
2015-04-07,122174.0
2015-04-08,156058.0
2015-04-09,117284.0
2015-04-10,99487.0
2015-04-11,127749.0
2015-04-12,204528.0
2015-04-13,100134.0
2015-04-14,92688.0
2015-04-15,117852.0
2015-04-16,114877.0
2015-04-17,133087.0
2015-04-18,108962.0
2015-04-19,107472.0
2015-04-20,117575.0
2015-04-21,97242.0
2015-04-22,118184.0
2015-04-23,122399.0
2015-04-24,139326.0
2015-04-25,122133.0
2015-04-26,119895.0
2015-04-27,104893.0
2015-04-28,131152.0
2015-04-29,132268.0
2015-04-30,108729.0
2015-05-01,155476.0
2015-05-02,122113.0
2015-05-03,96772.0
2015-05-04,80998.0
2015-05-05,109714.0
2015-05-06,118867.0
2015-05-07,104462.0
2015-05-08,133550.0
2015-05-09,97981.0
2015-05-10,98770.0
2015-05-11,122287.0
