Date,Value
2015-01-01,101917.0
2015-01-02,29688.0
2015-01-03,32262.0
2015-01-04,53879.0
2015-01-05,44880.0
2015-01-06,158312.0
2015-01-07,190181.0
2015-01-08,165167.0
2015-01-09,180334.0
2015-01-10,173629.0
2015-01-11,53363.0
2015-01-12,174019.0
2015-01-13,159679.0
2015-01-14,167844.0
2015-01-15,142105.0
2015-01-16,132404.0
2015-01-17,131953.0
2015-01-18,121909.0
2015-01-19,151536.0
2015-01-20,186847.0
2015-01-21,178258.0
2015-01-22,171801.0
2015-01-23,173501.0
2015-01-24,140124.0
2015-01-25,93859.0
2015-01-26,154981.0
2015-01-27,162016.0
2015-01-28,157955.0
2015-01-29,112599.0
2015-01-30,41127.0
2015-01-31,28327.0
2015-02-01,133718.0
2015-02-02,101611.0
2015-02-03,69900.0
2015-02-04,44181.0
2015-02-05,64321.0
2015-02-06,173080.0
2015-02-07,184764.0
2015-02-08,119520.0
2015-02-09,179110.0
2015-02-10,166738.0
2015-02-11,110548.0
2015-02-12,179111.0
2015-02-13,167765.0
2015-02-14,59588.0
2015-02-15,48982.0
2015-02-16,105258.0
2015-02-17,84863.0
2015-02-18,110346.0
2015-02-19,131277.0
2015-02-20,133671.0
2015-02-21,48766.0
2015-02-22,30545.0
2015-02-23,35806.0
2015-02-24,34206.0
2015-02-25,45704.0
2015-02-26,52831.0
2015-02-27,53763.0
2015-02-28,48922.0
2015-03-01,143917.0
2015-03-02,117593.0
2015-03-03,103267.0
2015-03-04,40510.0
2015-03-05,59344.0
2015-03-06,172231.0
2015-03-07,173848.0
2015-03-08,169733.0
2015-03-09,163362.0
2015-03-10,151579.0
2015-03-11,141747.0
2015-03-12,177983.0
2015-03-13,81580.0
2015-03-14,61697.0
2015-03-15,75985.0
2015-03-16,131665.0
2015-03-17,137373.0
2015-03-18,118659.0
2015-03-19,79734.0
2015-03-20,66291.0
2015-03-21,62761.0
2015-03-22,38528.0
2015-03-23,104811.0
2015-03-24,106615.0
2015-03-25,75778.0
2015-03-26,84963.0
2015-03-27,86101.0
2015-03-28,52791.0
2015-03-29,30323.0
2015-03-30,62533.0
2015-03-31,72425.0
2015-04-01,132624.0
2015-04-02,116360.0
2015-04-03,58226.0
2015-04-04,36461.0
2015-04-05,82073.0
2015-04-06,161662.0
2015-04-07,167859.0
2015-04-08,185277.0
2015-04-09,152199.0
2015-04-10,63466.0
2015-04-11,161283.0
2015-04-12,181805.0
2015-04-13,77624.0
2015-04-14,103690.0
2015-04-15,109639.0
2015-04-16,108457.0
2015-04-17,116358.0
2015-04-18,89473.0
2015-04-19,81128.0
2015-04-20,127659.0
2015-04-21,111147.0
