Date,Value
2015-01-01,3845.0
2015-01-02,4767.0
2015-01-03,5438.0
2015-01-04,8530.0
2015-01-05,5482.0
2015-01-06,7845.0
2015-01-07,8857.0
2015-01-08,7598.0
2015-01-09,8345.0
2015-01-10,9939.0
2015-01-11,5045.0
2015-01-12,9859.0
2015-01-13,7760.0
2015-01-14,7916.0
2015-01-15,8030.0
2015-01-16,8145.0
2015-01-17,6939.0
2015-01-18,6400.0
2015-01-19,6899.0
2015-01-20,7598.0
2015-01-21,7868.0
2015-01-22,7841.0
2015-01-23,8069.0
2015-01-24,6758.0
2015-01-25,6147.0
2015-01-26,7358.0
2015-01-27,7479.0
2015-01-28,7572.0
2015-01-29,7976.0
2015-01-30,7251.0
2015-01-31,4757.0
2015-02-01,6804.0
2015-02-02,6436.0
2015-02-03,6695.0
2015-02-04,6237.0
2015-02-05,6838.0
2015-02-06,8424.0
2015-02-07,8770.0
2015-02-08,7081.0
2015-02-09,8927.0
2015-02-10,9818.0
2015-02-11,6527.0
2015-02-12,9997.0
2015-02-13,8930.0
2015-02-14,7026.0
2015-02-15,5513.0
2015-02-16,8224.0
2015-02-17,8693.0
2015-02-18,8697.0
2015-02-19,9239.0
2015-02-20,9124.0
2015-02-21,6818.0
2015-02-22,5311.0
2015-02-23,7718.0
2015-02-24,7516.0
2015-02-25,7536.0
2015-02-26,7986.0
2015-02-27,7735.0
2015-02-28,5909.0
2015-03-01,6595.0
2015-03-02,7392.0
2015-03-03,7378.0
2015-03-04,5982.0
2015-03-05,5814.0
2015-03-06,8492.0
2015-03-07,9721.0
2015-03-08,8051.0
2015-03-09,9076.0
2015-03-10,7666.0
2015-03-11,8787.0
2015-03-12,10015.0
2015-03-13,7453.0
2015-03-14,6542.0
2015-03-15,6387.0
2015-03-16,7205.0
2015-03-17,7663.0
2015-03-18,7567.0
2015-03-19,7806.0
2015-03-20,7587.0
2015-03-21,6822.0
2015-03-22,6271.0
2015-03-23,7572.0
2015-03-24,8109.0
2015-03-25,8246.0
2015-03-26,8689.0
2015-03-27,8901.0
2015-03-28,6964.0
2015-03-29,5526.0
2015-03-30,8048.0
2015-03-31,8938.0
2015-04-01,6391.0
2015-04-02,7397.0
2015-04-03,7191.0
2015-04-04,6165.0
2015-04-05,8041.0
2015-04-06,8317.0
2015-04-07,7810.0
2015-04-08,8049.0
2015-04-09,9016.0
2015-04-10,7527.0
2015-04-11,9057.0
2015-04-12,9603.0
2015-04-13,7850.0
2015-04-14,7954.0
2015-04-15,8076.0
2015-04-16,8775.0
2015-04-17,9590.0
2015-04-18,7923.0
2015-04-19,6955.0
2015-04-20,8613.0
2015-04-21,8920.0
2015-04-22,8434.0
2015-04-23,8283.0
2015-04-24,8937.0
2015-04-25,7221.0
2015-04-26,6161.0
2015-04-27,8116.0
2015-04-28,8878.0
2015-04-29,8994.0
2015-04-30,9001.0
2015-05-01,7340.0
2015-05-02,8011.0
2015-05-03,6331.0
2015-05-04,6071.0
2015-05-05,8588.0
2015-05-06,8090.0
2015-05-07,7286.0
2015-05-08,8397.0
2015-05-09,7160.0
2015-05-10,8898.0
2015-05-11,8917.0
2015-05-12,7653.0
2015-05-13,8828.0
2015-05-14,8904.0
2015-05-15,8776.0
2015-05-16,6840.0
2015-05-17,6438.0
2015-05-18,8485.0
2015-05-19,9179.0
2015-05-20,8981.0
2015-05-21,8751.0
2015-05-22,8952.0
2015-05-23,6531.0
2015-05-24,6022.0
2015-05-25,8138.0
2015-05-26,8959.0
2015-05-27,9243.0
2015-05-28,8964.0
2015-05-29,9061.0
2015-05-30,7469.0
2015-05-31,6167.0
2015-06-01,7256.0
2015-06-02,8362.0
2015-06-03,7321.0
2015-06-04,7695.0
2015-06-05,9077.0
2015-06-06,6458.0
2015-06-07,9080.0
2015-06-08,8183.0
2015-06-09,6445.0
2015-06-10,9149.0
2015-06-11,9095.0
2015-06-12,7674.0
2015-06-13,6376.0
2015-06-14,5840.0
2015-06-15,6759.0
2015-06-16,7706.0
2015-06-17,7566.0
2015-06-18,7670.0
2015-06-19,7765.0
2015-06-20,6264.0
2015-06-21,5778.0
2015-06-22,7279.0
2015-06-23,8538.0
2015-06-24,8075.0
2015-06-25,8343.0
2015-06-26,8608.0
2015-06-27,6901.0
2015-06-28,6704.0
2015-06-29,8384.0
2015-06-30,9175.0
2015-07-01,7710.0
2015-07-02,7457.0
2015-07-03,6288.0
2015-07-04,8943.0
2015-07-05,9183.0
2015-07-06,6097.0
2015-07-07,9367.0
2015-07-08,8757.0
2015-07-09,8715.0
2015-07-10,9623.0
2015-07-11,7544.0
2015-07-12,8843.0
2015-07-13,8797.0
2015-07-14,9422.0
2015-07-15,9387.0
2015-07-16,9553.0
2015-07-17,9270.0
2015-07-18,7289.0
2015-07-19,7333.0
2015-07-20,8687.0
2015-07-21,9774.0
2015-07-22,9581.0
2015-07-23,9662.0
2015-07-24,9407.0
2015-07-25,7912.0
2015-07-26,7154.0
2015-07-27,8677.0
2015-07-28,9441.0
2015-07-29,9327.0
2015-07-30,9374.0
2015-07-31,9440.0
2015-08-01,8295.0
2015-08-02,6483.0
2015-08-03,5704.0
2015-08-04,9108.0
2015-08-05,7845.0
2015-08-06,7299.0
2015-08-07,9770.0
2015-08-08,7446.0
2015-08-09,9467.0
2015-08-10,8024.0
2015-08-11,6821.0
2015-08-12,8792.0
2015-08-13,8529.0
2015-08-14,8647.0
2015-08-15,6939.0
2015-08-16,6711.0
2015-08-17,7607.0
2015-08-18,8425.0
2015-08-19,8645.0
2015-08-20,8771.0
2015-08-21,8600.0
2015-08-22,7712.0
2015-08-23,5516.0
2015-08-24,7260.0
2015-08-25,8104.0
2015-08-26,5716.0
2015-08-27,7965.0
2015-08-28,8658.0
2015-08-29,7111.0
2015-08-30,6894.0
2015-08-31,8128.0
2015-09-01,8527.0
2015-09-02,7961.0
2015-09-03,6986.0
2015-09-04,8552.0
2015-09-05,7450.0
2015-09-06,8157.0
2015-09-07,9563.0
2015-09-08,6619.0
2015-09-09,9720.0
2015-09-10,7139.0
2015-09-11,8785.0
2015-09-12,9633.0
2015-09-13,7293.0
2015-09-14,9088.0
2015-09-15,10117.0
2015-09-16,7956.0
2015-09-17,8660.0
2015-09-18,9783.0
2015-09-19,7019.0
2015-09-20,7125.0
2015-09-21,7310.0
2015-09-22,7263.0
2015-09-23,7266.0
2015-09-24,7605.0
2015-09-25,8679.0
2015-09-26,7353.0
2015-09-27,7263.0
2015-09-28,8867.0
2015-09-29,9859.0
2015-09-30,9716.0
2015-10-01,7100.0
2015-10-02,8538.0
2015-10-03,7629.0
2015-10-04,8491.0
2015-10-05,6559.0
2015-10-06,7939.0
2015-10-07,9805.0
2015-10-08,8085.0
2015-10-09,8340.0
2015-10-10,5889.0
2015-10-11,9110.0
2015-10-12,9538.0
2015-10-13,7320.0
2015-10-14,8655.0
2015-10-15,7639.0
2015-10-16,7596.0
2015-10-17,5881.0
2015-10-18,5811.0
2015-10-19,7776.0
2015-10-20,7671.0
2015-10-21,7068.0
2015-10-22,8669.0
2015-10-23,9939.0
2015-10-24,7995.0
2015-10-25,7851.0
2015-10-26,9008.0
2015-10-27,7848.0
2015-10-28,6674.0
2015-10-29,6910.0
2015-10-30,7602.0
2015-10-31,5667.0
2015-11-01,6577.0
2015-11-02,8893.0
2015-11-03,7445.0
2015-11-04,7792.0
2015-11-05,8337.0
2015-11-06,7954.0
2015-11-07,7795.0
2015-11-08,7876.0
2015-11-09,8895.0
2015-11-10,5267.0
2015-11-11,9124.0
2015-11-12,9613.0
2015-11-13,9857.0
2015-11-14,7234.0
2015-11-15,7138.0
2015-11-16,8871.0
2015-11-17,9340.0
2015-11-18,9521.0
2015-11-19,9405.0
2015-11-20,9131.0
2015-11-21,6349.0
2015-11-22,6226.0
2015-11-23,8512.0
2015-11-24,9438.0
2015-11-25,9434.0
2015-11-26,9205.0
2015-11-27,9593.0
2015-11-28,7596.0
2015-11-29,7471.0
2015-11-30,9277.0
2015-12-01,7174.0
2015-12-02,8761.0
2015-12-03,7505.0
2015-12-04,6329.0
2015-12-05,9040.0
2015-12-06,8054.0
2015-12-07,7326.0
2015-12-08,7835.0
2015-12-09,7817.0
2015-12-10,5218.0
2015-12-11,9525.0
2015-12-12,7839.0
2015-12-13,7606.0
2015-12-14,8621.0
2015-12-15,9196.0
2015-12-16,9672.0
2015-12-17,9756.0
2015-12-18,9629.0
2015-12-19,7676.0
2015-12-20,6930.0
2015-12-21,9020.0
2015-12-22,9432.0
2015-12-23,9719.0
2015-12-24,7532.0
2015-12-25,4418.0
2015-12-26,5827.0
2015-12-27,6070.0
2015-12-28,7744.0
2015-12-29,8696.0
2015-12-30,8654.0
2015-12-31,7053.0
2016-01-01,4889.0
2016-01-02,9273.0
2016-01-03,7288.0
2016-01-04,8649.0
2016-01-05,4687.0
2016-01-06,7255.0
2016-01-07,7429.0
2016-01-08,6365.0
2016-01-09,7572.0
2016-01-10,5722.0
2016-01-11,6905.0
2016-01-12,6650.0
2016-01-13,9397.0
2016-01-14,9406.0
2016-01-15,9541.0
2016-01-16,7364.0
2016-01-17,7178.0
2016-01-18,8920.0
2016-01-19,9763.0
2016-01-20,9730.0
2016-01-21,9726.0
2016-01-22,9737.0
2016-01-23,7369.0
2016-01-24,7452.0
2016-01-25,9240.0
2016-01-26,9901.0
2016-01-27,9659.0
2016-01-28,9535.0
2016-01-29,9849.0
2016-01-30,7670.0
2016-01-31,6953.0
2016-02-01,5797.0
2016-02-02,9699.0
2016-02-03,7236.0
2016-02-04,7025.0
2016-02-05,5982.0
2016-02-06,7324.0
2016-02-07,5317.0
2016-02-08,6886.0
2016-02-09,7398.0
2016-02-10,5577.0
2016-02-11,7043.0
2016-02-12,6972.0
2016-02-13,6552.0
2016-02-14,5169.0
2016-02-15,7481.0
2016-02-16,8996.0
2016-02-17,9005.0
2016-02-18,8603.0
2016-02-19,8220.0
2016-02-20,6056.0
2016-02-21,5081.0
2016-02-22,7819.0
2016-02-23,8039.0
2016-02-24,8178.0
2016-02-25,8132.0
2016-02-26,8062.0
2016-02-27,5764.0
2016-02-28,5918.0
2016-02-29,7558.0
2016-03-01,6023.0
2016-03-02,9429.0
2016-03-03,7371.0
2016-03-04,6903.0
2016-03-05,6230.0
2016-03-06,7371.0
2016-03-07,5223.0
2016-03-08,6954.0
2016-03-09,6434.0
2016-03-10,6567.0
2016-03-11,7024.0
2016-03-12,5435.0
2016-03-13,6705.0
2016-03-14,7345.0
2016-03-15,7706.0
2016-03-16,7737.0
2016-03-17,7778.0
2016-03-18,8107.0
2016-03-19,6871.0
2016-03-20,6781.0
2016-03-21,7779.0
2016-03-22,8019.0
2016-03-23,8008.0
2016-03-24,6564.0
2016-03-25,6637.0
2016-03-26,5630.0
2016-03-27,4692.0
2016-03-28,6876.0
2016-03-29,7926.0
2016-03-30,8146.0
2016-03-31,8210.0
2016-04-01,8386.0
2016-04-02,8884.0
2016-04-03,7448.0
2016-04-04,7664.0
2016-04-05,6350.0
2016-04-06,6399.0
2016-04-07,6587.0
2016-04-08,7004.0
2016-04-09,5746.0
2016-04-10,7034.0
2016-04-11,6999.0
2016-04-12,5113.0
2016-04-13,6481.0
2016-04-14,6289.0
2016-04-15,6432.0
2016-04-16,4991.0
2016-04-17,4805.0
2016-04-18,6034.0
2016-04-19,6284.0
2016-04-20,6032.0
2016-04-21,5858.0
2016-04-22,6328.0
2016-04-23,4564.0
2016-04-24,4204.0
2016-04-25,6029.0
2016-04-26,6322.0
2016-04-27,6014.0
2016-04-28,6218.0
2016-04-29,6050.0
2016-04-30,4570.0
2016-05-01,9539.0
2016-05-02,9061.0
2016-05-03,6253.0
2016-05-04,8008.0
2016-05-05,6737.0
2016-05-06,5204.0
2016-05-07,7036.0
2016-05-08,7281.0
2016-05-09,6205.0
2016-05-10,7100.0
2016-05-11,6132.0
2016-05-12,5993.0
2016-05-13,6400.0
2016-05-14,5337.0
2016-05-15,5176.0
2016-05-16,6417.0
2016-05-17,7195.0
2016-05-18,7478.0
2016-05-19,7353.0
2016-05-20,7121.0
2016-05-21,5396.0
2016-05-22,5416.0
2016-05-23,6499.0
2016-05-24,6893.0
2016-05-25,7214.0
2016-05-26,7000.0
2016-05-27,7117.0
2016-05-28,5400.0
2016-05-29,4977.0
2016-05-30,6617.0
2016-05-31,7214.0
2016-06-01,8020.0
2016-06-02,6772.0
