Date;Value
2014-01-02;3.4
2014-01-03;4.4
2014-01-04;6.5
2014-01-05;7
2014-01-06;4.5
2014-01-07;0
2014-01-08;10.5
2014-01-09;8
2014-01-10;2
2014-01-11;10.4
2014-01-12;2.5
2014-01-13;6.2
2014-01-14;12.3
2014-01-15;5
2014-01-16;4.3
2014-01-17;8.3
2014-01-18;5.8
2014-01-19;4
2014-01-20;3.3
2014-01-21;4
2014-01-22;7
2014-01-23;5.2
2014-01-24;7
2014-01-25;5
2014-01-26;0
2014-01-27;1.2
2014-01-28;2.8
2014-01-29;2
2014-01-30;2.4
2014-01-31;7.1
2014-02-01;5
2014-02-02;0.2
2014-02-03;8.5
2014-02-04;7
2014-02-05;6.2
2014-02-06;3.5
2014-02-07;11.7
2014-02-08;14.4
2014-02-09;2
2014-02-10;8.5
2014-02-11;13.3
2014-02-12;9.1
2014-02-13;10
2014-02-14;3.2
2014-02-15;2
2014-02-16;1.2
2014-02-17;12.7
2014-02-18;6.1
2014-02-19;5.5
2014-02-20;3.2
2014-02-21;9
2014-02-22;5.7
2014-02-23;2
2014-02-24;5.5
2014-02-25;11.2
2014-02-26;1
2014-02-27;4
2014-02-28;5.3
2014-03-01;11.355
2014-03-02;2
2014-03-03;1.6
2014-03-04;7.2
2014-03-05;3
2014-03-06;5.5
2014-03-07;9.5
2014-03-08;1
2014-03-09;4
2014-03-10;3.8
2014-03-11;7
2014-03-12;6.5
2014-03-13;5.3
2014-03-14;1.2
2014-03-15;11
2014-03-16;1.4
2014-03-17;7
2014-03-18;5
2014-03-19;4
2014-03-20;1.6
2014-03-21;4.5
2014-03-22;0
2014-03-23;4
2014-03-24;4
2014-03-25;9
2014-03-26;9
2014-03-27;2
2014-03-28;8
2014-03-29;4.2
2014-03-30;0
2014-03-31;4
2014-04-01;6.5
2014-04-02;8.9
2014-04-03;3
2014-04-04;3
2014-04-05;10
2014-04-06;1
2014-04-07;6.5
2014-04-08;1.7
2014-04-09;1
2014-04-10;1
2014-04-11;3
2014-04-12;6
2014-04-13;2
2014-04-14;5.35
2014-04-15;6.4
2014-04-16;4.2
2014-04-17;7.2
2014-04-18;8
2014-04-19;4
2014-04-20;0
2014-04-21;2.1
2014-04-22;3.3
2014-04-23;3
2014-04-24;1.1
2014-04-25;5
2014-04-26;5.5
2014-04-27;2
2014-04-28;3
2014-04-29;4.4
2014-04-30;7
2014-05-01;0
2014-05-02;6.3
2014-05-03;2
2014-05-04;1.2
2014-05-05;5
2014-05-06;4
2014-05-07;3
2014-05-08;3.4
2014-05-09;4.2
2014-05-10;9
2014-05-11;1
2014-05-12;9
2014-05-13;6.2
2014-05-14;6
2014-05-15;3
2014-05-16;3
2014-05-17;3
2014-05-18;5
2014-05-19;6.1
2014-05-20;7
2014-05-21;9.5
2014-05-22;1.2
2014-05-23;3.9
2014-05-24;5
2014-05-25;1
2014-05-26;7.4
2014-05-27;5
2014-05-28;1.4
2014-05-29;6.3
2014-05-30;2
2014-05-31;2
2014-06-01;1
2014-06-02;10
2014-06-03;2.4
2014-06-04;3.5
2014-06-05;4.5
2014-06-06;3
2014-06-07;7.5
2014-06-08;3
2014-06-09;5
2014-06-10;4.3
2014-06-11;2.3
2014-06-12;1
2014-06-13;5
2014-06-14;6
2014-06-15;0
2014-06-16;7.4
2014-06-17;4
2014-06-18;4.7
2014-06-19;1
2014-06-20;3
2014-06-21;2
2014-06-22;4
2014-06-23;3
2014-06-24;4
2014-06-25;7
2014-06-26;11.3
2014-06-27;6
2014-06-28;5
2014-06-29;1
2014-06-30;1
2014-07-01;2
2014-07-02;4
2014-07-03;7
2014-07-04;7
2014-07-05;6
2014-07-06;3
2014-07-07;4
2014-07-08;3
2014-07-09;5
2014-07-10;8
2014-07-11;3.2
2014-07-12;10.5
2014-07-13;1
2014-07-14;3
2014-07-15;1
2014-07-16;3
2014-07-17;5
2014-07-18;1.5
2014-07-19;6
2014-07-20;1
2014-07-21;8
2014-07-22;3
2014-07-23;2
2014-07-24;4.4
2014-07-25;7.5
2014-07-26;6.2
2014-07-27;2
2014-07-28;2
2014-07-29;1
2014-07-30;5
2014-07-31;4
2014-08-01;2.2
2014-08-02;6
2014-08-03;3
2014-08-04;6
2014-08-05;3
2014-08-06;1.4
2014-08-07;3
2014-08-08;5
2014-08-09;6
2014-08-10;4
2014-08-11;9.2
2014-08-12;4.5
2014-08-13;1
2014-08-14;6
2014-08-15;7
2014-08-16;5
2014-08-17;2
2014-08-18;3.1
2014-08-19;5
2014-08-20;1.4
2014-08-21;2
2014-08-22;5
2014-08-23;1
2014-08-24;3
2014-08-25;3
2014-08-26;3
2014-08-27;4
2014-08-28;6
2014-08-29;5
2014-08-30;7
2014-08-31;1
2014-09-01;1
2014-09-02;5.2
2014-09-03;4
2014-09-04;3
2014-09-05;3
2014-09-06;2.4
2014-09-07;5
2014-09-08;3.5
2014-09-09;4
2014-09-10;3.5
2014-09-11;4
2014-09-12;1
2014-09-13;4.4
2014-09-14;2
2014-09-15;5.4
2014-09-16;0
2014-09-17;4
2014-09-18;1
2014-09-19;7.8
2014-09-20;4.5
2014-09-21;6
2014-09-22;5.5
2014-09-23;5.5
2014-09-24;1.4
2014-09-25;8.2
2014-09-26;3.5
2014-09-27;6
2014-09-28;1
2014-09-29;2.3
