Date;Value
2016-10-08;6
2016-10-09;9
2016-10-10;3
2016-10-11;8
2016-10-12;17
2016-10-13;3
2016-10-14;9
2016-10-15;13
2016-10-16;6
2016-10-17;9
2016-10-18;7
2016-10-19;2
2016-10-20;2
2016-10-21;6
2016-10-22;10
2016-10-23;11
2016-10-24;2
2016-10-25;7
2016-10-26;2
2016-10-27;4
2016-10-28;5
2016-10-29;9
2016-10-30;0
2016-10-31;17
2016-11-01;6
2016-11-02;2
2016-11-03;0
2016-11-04;6
2016-11-05;0
2016-11-06;11
2016-11-07;5
2016-11-08;8
2016-11-09;4
2016-11-10;12
2016-11-11;1
2016-11-12;1
2016-11-13;5
2016-11-14;1
2016-11-15;5
2016-11-16;10
2016-11-17;1
2016-11-18;2
2016-11-19;3
2016-11-20;0
2016-11-21;13
2016-11-22;7
2016-11-23;0
2016-11-24;10
2016-11-25;5
2016-11-26;12
2016-11-27;1
2016-11-28;12
2016-11-29;0
2016-11-30;7
2016-12-01;9
2016-12-02;26
2016-12-03;1
2016-12-04;0
2016-12-05;13
2016-12-06;20
2016-12-07;7
2016-12-08;2
2016-12-09;0
2016-12-10;15
2016-12-11;14
2016-12-12;21
2016-12-13;18
2016-12-14;10
2016-12-15;5
2016-12-16;23
2016-12-17;6
2016-12-18;5
2016-12-19;0
2016-12-20;1
2016-12-21;6
2016-12-22;5
2016-12-23;8
2016-12-24;2
2016-12-25;9
2016-12-26;2
2016-12-27;13
2016-12-28;13
2016-12-29;6
2016-12-30;3
2016-12-31;12
2017-01-01;6.25
2017-01-02;3.125
2017-01-03;7.03125
2017-01-04;5
2017-01-05;11.25
2017-01-06;15.41666667
2017-01-07;2.5
2017-01-08;3.333333333
2017-01-09;1.666666667
2017-01-10;7.5
2017-01-11;1.666666667
2017-01-12;4.583333333
2017-01-13;3.333333333
2017-01-14;5.416666667
2017-01-15;7.5
2017-01-16;7.083333333
2017-01-17;3.75
2017-01-18;5.833333333
2017-01-19;2.5
2017-01-20;12.5
2017-01-21;4.583333333
2017-01-22;9.166666667
2017-01-23;2.5
2017-01-24;10
2017-01-25;13.75
2017-01-26;8.333333333
2017-01-27;9.583333333
2017-01-28;1.666666667
2017-01-29;9.583333333
2017-01-30;7.083333333
2017-01-31;2.916666667
2017-02-01;8.333333333
2017-02-02;0.416666667
2017-02-03;7.083333333
2017-02-04;7.5
2017-02-05;11
2017-02-06;5
2017-02-07;7
2017-02-08;10
2017-02-09;0
2017-02-10;2
2017-02-11;1
2017-02-12;2
2017-02-13;0
2017-02-14;1
2017-02-15;1
2017-02-16;0
2017-02-17;8
2017-02-18;0
2017-02-19;8
2017-02-20;1
2017-02-21;8
2017-02-22;5
2017-02-23;8
2017-02-24;7
2017-02-25;2
2017-02-26;5
2017-02-27;7
2017-02-28;18
2017-03-01;5
2017-03-02;1
2017-03-03;6
2017-03-04;5
2017-03-05;6
2017-03-06;0
2017-03-07;0
2017-03-08;0
2017-03-09;0
2017-03-10;0
2017-03-11;5
2017-03-12;15
2017-03-13;10
2017-03-14;5
2017-03-15;0
2017-03-16;1
2017-03-17;3
2017-03-18;1
2017-03-19;5
2017-03-20;7
2017-03-21;1
2017-03-22;2
2017-03-23;6
2017-03-24;5
2017-03-25;0
2017-03-26;10
2017-03-27;1
2017-03-28;0
2017-03-29;7
2017-03-30;0
2017-03-31;2
2017-04-01;1
2017-04-02;9
2017-04-03;20
2017-04-04;5
2017-04-05;6
2017-04-06;0
2017-04-07;5
2017-04-08;11
2017-04-09;0
2017-04-10;4
2017-04-11;11
2017-04-12;10
2017-04-13;2
2017-04-14;16
2017-04-15;15
2017-04-16;0
2017-04-17;5
2017-04-18;2
2017-04-19;0
2017-04-20;7
2017-04-21;1.875
2017-04-22;1
2017-04-23;1
2017-04-24;1
2017-04-25;26
2017-04-26;1
2017-04-27;0
2017-04-28;7
2017-04-29;1
2017-04-30;12
2017-05-01;0
2017-05-02;6
2017-05-03;20
2017-05-04;2
2017-05-05;12
2017-05-06;0
2017-05-07;4
2017-05-08;1
2017-05-09;2
2017-05-10;14
2017-05-11;1
2017-05-12;0
2017-05-13;1
2017-05-14;5
2017-05-15;3
2017-05-16;6
2017-05-17;0
2017-05-18;0
2017-05-19;0
2017-05-20;6
2017-05-21;12
2017-05-22;7
2017-05-23;2
2017-05-24;4
2017-05-25;2
2017-05-26;8
2017-05-27;0
2017-05-28;0
2017-05-29;4
2017-05-30;5
2017-05-31;1
2017-06-01;2
2017-06-02;5
2017-06-03;22
2017-06-04;5
2017-06-05;0
2017-06-06;6
2017-06-07;20
2017-06-08;2
2017-06-09;0
2017-06-10;7
2017-06-11;2
2017-06-12;13
2017-06-13;0
2017-06-14;5
2017-06-15;5
2017-06-16;0
2017-06-17;5
2017-06-18;12
2017-06-19;8
2017-06-20;5
2017-06-21;2
2017-06-22;8
2017-06-23;0
2017-06-24;0
2017-06-25;0
2017-06-26;0
2017-06-27;3
2017-06-28;5
2017-06-29;21
2017-06-30;0
2017-07-01;10
2017-07-02;0
2017-07-03;11
2017-07-04;0
2017-07-05;22
2017-07-06;1
2017-07-07;1
