DATA_SET_NAME,MAE,MSE,RMSE
D-ZEC_USDT,0.03125090587781161,0.0012206641006894795,0.034938003673499717
D-ltc,0.036496443255162186,0.0013583258450890867,0.0368554723899869
D-ETC_USDT,0.032165485508294775,0.0014311907358625794,0.037831081611058644
D-TRX_USDT,0.034261559926998086,0.0017648853010710478,0.04201053797645357
D-bitcoin,0.02062001322340879,0.000811331267741045,0.02848387732983424
D-eos,0.055437197317290486,0.003468512354824421,0.05889407741721082
D-neo,0.014694874466336477,0.0002550734570246817,0.015971019285715038
D-eth,0.008667572060785198,0.00012815028566032729,0.011320348301193179
D-link,0.027342766499635063,0.0008145658396733306,0.028540599847819082
D-bnb,0.06714512913229417,0.006322737590105268,0.07951564368163831
D-ADA_USDT,0.1905284762370824,0.05687714294276952,0.23848929314073938
D-xrp,0.014684203888046064,0.00035036019235886156,0.018717911004138832
D-XLM_USDT,0.2311456238203906,0.06285655801430408,0.2507121018505171
