DATA_SET_NAME,MAE,MSE,RMSE
D-spain_reservoir,0.04226195537875817,0.003306747485366386,0.05750432579699014
D_-_spain_fossilhardcoal,0.06484833738599545,0.006225002060907294,0.07889868225076573
D_-_spain_fossilbrowncoal,0.2673975442506395,0.0899803877124008,0.2999673110730581
D-spain_river,0.10510505042194437,0.012325389532527759,0.11101977090828354
D_-_spain_fossilgas,0.09432923194976192,0.013977854830070646,0.11822797820342969
D-spain_wind_onshore,0.15478028502993255,0.029365782471700345,0.17136447260648965
D-spain_solar,0.09841819781029837,0.011862425692844215,0.10891476342922578
D-spain_other,0.03841829459220002,0.0020935514224127445,0.045755343102338815
D-spain_hydroconsump,0.06265264974482909,0.0047184136781712556,0.0686907102756352
D-spain_other_ren,0.05978749465446028,0.005273307977842578,0.07261754593651991
D-spain_nuclear,0.06915380474093388,0.00788985868327246,0.08882487648892319
D_-_spain_biomass,0.08739726512196559,0.009416285352150406,0.09703754609505748
D-spain_waste,0.07950576834548122,0.012293010522722251,0.11087384958917161
D_-_spain_fossiloil,0.1015097203375845,0.01238229222448233,0.11127574859097704
