DATA_SET_NAME,Method,MAE,MSE,RMSE
D-ZEC_USDT,Naive Method,0.026849681955138906,0.0012907623695538582,0.03592718148636013
D-ltc,Naive Method,0.03551971268698593,0.001280072259456323,0.03577809748234698
D-ETC_USDT,Naive Method,0.03977413901621628,0.0019974209924204056,0.04469251606723888
D-TRX_USDT,Naive Method,0.03456472219471133,0.0019133176142296254,0.04374148619136786
D-bitcoin,Naive Method,0.021987851644752487,0.0009880169670802253,0.03143273718721017
D-eos,Naive Method,0.05424431744678907,0.003319293458622357,0.05761330973501138
D-neo,Naive Method,0.014257214172101882,0.00024104929236065512,0.015525762215126674
D-eth,Naive Method,0.007436450629323868,0.0001075808456726157,0.010372118668459964
D-link,Naive Method,0.031959626491731216,0.001088356685310733,0.032990251367801565
D-bnb,Naive Method,0.06648521126244597,0.006187403652725411,0.07866005118689799
D-ADA_USDT,Naive Method,0.2107117039220967,0.06870672709775763,0.262119680866885
D-xrp,Naive Method,0.013587329804856363,0.0002983717591392131,0.017273440859863824
D-XLM_USDT,Naive Method,0.14305664342344054,0.02533271062021634,0.15916252894515198
