DATA_SET_NAME,Method,MAE,MSE,RMSE
M-data_Bahamas,Naive Method,0.307500242883513,0.13421933973080907,0.36635957709715883
M-data_British_Virgin_Island,Naive Method,0.2943183880922128,0.12460646831447697,0.3529964140249543
M-data_Bolivia,Naive Method,0.47503139914594356,0.24350886504920002,0.49346617416921296
M-data_Albania,Naive Method,0.2528980392156863,0.07744881553248753,0.278296272940346
M-data_Baker_Island,Naive Method,0.04588934134710985,0.003383234968907165,0.058165582339620436
M-data_Algeria,Naive Method,0.33737608182533435,0.14575061283575197,0.38177298599527965
M-data_Andorra,Naive Method,0.4161623779946761,0.23031251176061635,0.47990885776428044
M-data_Azerbaijan,Naive Method,0.4400724916602514,0.25572725153373604,0.5056948205526096
M-data_Belgium,Naive Method,0.20244412400865172,0.054506035288020546,0.23346527640747894
M-data_Burma,Naive Method,0.5031586654900867,0.2960899066433395,0.5441414399247125
M-data_Afghanistan,Naive Method,0.5519509815876112,0.3716548293670962,0.6096349968358905
M-data_Cameroon,Naive Method,0.19828810781278383,0.07492073003949637,0.27371651400581654
M-data_Armenia,Naive Method,0.29958643758552533,0.1250817603810941,0.3536689983319065
M-data_Costa_Rica,Naive Method,0.12347699958557774,0.019755897268027116,0.14055567319758785
M-data_Benin,Naive Method,0.28077187199560494,0.09777340111222985,0.31268738559818793
M-data_Bosnia_H,Naive Method,0.18814676857145654,0.04494113727575586,0.2119932481843605
M-data_Botswana,Naive Method,0.24503254328871416,0.08555010086271202,0.29248948846533274
M-data_Antigua_Barbada,Naive Method,0.3862213359920242,0.1938012840839398,0.4402286724918537
M-data_Colombia,Naive Method,0.05357249626307921,0.003997560109124848,0.06322626123000512
