DATA_SET_NAME,Method,MAE,MSE,RMSE
D-ZEC_USDT,Prophet Method,0.021313540608384206,0.0005938623444568409,0.024369291012601102
D-ltc,Prophet Method,0.025911972087464586,0.0006989497915158323,0.026437658586112203
D-ETC_USDT,Prophet Method,0.043444858269515885,0.0026840272320848733,0.05180759820803193
D-TRX_USDT,Prophet Method,0.07969391185202303,0.009802152655213368,0.09900582131982628
D-bitcoin,Prophet Method,0.024964218664816386,0.0008527069731617167,0.029201146778195488
D-eos,Prophet Method,0.049674882077700766,0.0027390838676999213,0.052336257677636076
D-neo,Prophet Method,0.035600017483147624,0.0013203672274916009,0.03633685769974615
D-eth,Prophet Method,0.06365601290347941,0.0042581674068160975,0.06525463513664066
D-link,Prophet Method,0.10856892647872249,0.011830860717962936,0.10876976012643834
D-bnb,Prophet Method,0.2326907085027206,0.059718141877816155,0.2443729565189572
D-ADA_USDT,Prophet Method,0.25489913292394584,0.08864909094804915,0.2977399720360858
D-xrp,Prophet Method,0.1283917105198213,0.017097693171363438,0.13075814762898502
D-XLM_USDT,Prophet Method,0.2847783017702699,0.08606781259154843,0.2933731626982066
