DATA_SET_NAME,MAE,MSE,RMSE
M-data_Bahamas,0.07379104043020562,0.0079724410418353,0.0892885269328333
M-data_British_Virgin_Island,0.07318138564397518,0.008492200043978273,0.09215313366336639
M-data_Bolivia,0.16024270238787508,0.03701919151667424,0.1924037201217124
M-data_Albania,0.046394631334191895,0.0033328300492214873,0.057730668186168496
M-data_Baker_Island,0.05525083994539554,0.004950891586253793,0.07036257233965933
M-data_Algeria,0.0771498354532764,0.009533605256488642,0.09764018259143437
M-data_Andorra,0.06366494258336006,0.005831965530860016,0.07636730668853012
M-data_Azerbaijan,0.08501177778793348,0.011460001498106968,0.10705139652572015
M-data_Belgium,0.06669331347530214,0.006729142645885744,0.08203135160343114
M-data_Burma,0.20967103760675013,0.05916789634549154,0.243244519661783
M-data_Afghanistan,0.034611893898466965,0.00208491841162243,0.045660906819974895
M-data_Cameroon,0.15288894733459304,0.03821033270123431,0.1954746344189811
M-data_Armenia,0.04139367078302543,0.002814723314965352,0.05305396606254194
M-data_Costa_Rica,0.10251078926541947,0.014761134397411614,0.1214954089561067
M-data_Benin,0.18986249252741833,0.05335452215227098,0.23098597825900813
M-data_Bosnia_H,0.01732346055382905,0.00046013375694072515,0.021450728587643013
M-data_Botswana,0.16783333282572874,0.0387614750800255,0.19687934142521277
M-data_Antigua_Barbada,0.06917467442635919,0.007136358420489253,0.08447696976389041
M-data_Colombia,0.10449331675449482,0.017917739961325504,0.1338571625327741
