DATA_SET_NAME,MAE,MSE,RMSE
M-data_Bahamas,0.04623226869594222,0.0035130152540219267,0.05927069473206744
M-data_British_Virgin_Island,0.08886342002003625,0.011488029964472521,0.10718222783872577
M-data_Bolivia,0.06301805525879967,0.006646724142953226,0.08152744410904358
M-data_Albania,0.04404403862335884,0.003185780956546819,0.0564427227952977
M-data_Baker_Island,0.06557616514518165,0.006457339999492978,0.08035757586869441
M-data_Algeria,0.03565488204441222,0.0020740850407199654,0.04554212380554914
M-data_Andorra,0.04680146533241279,0.0033819323968758237,0.058154384158684236
M-data_Azerbaijan,0.04274829443701144,0.0028564658183404773,0.05344591488917069
M-data_Belgium,0.05806224685960469,0.005293726687406258,0.07275800084805971
M-data_Burma,0.045700988290821025,0.003634137354938661,0.06028380673894658
M-data_Afghanistan,0.038076669523486206,0.0023271949561847975,0.04824100907096365
M-data_Cameroon,0.07592211588251324,0.009816494446054909,0.09907822387414354
M-data_Armenia,0.041022337318529424,0.0028304998448121584,0.05320244209443922
M-data_Costa_Rica,0.07488800832011226,0.009030718996010366,0.09503009521204515
M-data_Benin,0.05644516003685008,0.0049189036800135885,0.0701348963071422
M-data_Bosnia_H,0.017300521991837573,0.00045057975219923063,0.021226863927561946
M-data_Botswana,0.06031423438722044,0.005696572608844541,0.07547564248712654
M-data_Antigua_Barbada,0.05740485422326248,0.006009551420223137,0.07752129655922388
M-data_Colombia,0.11523050656999083,0.02135098211509466,0.1461197526520445
