DATA_SET_NAME,Method,MAE,MSE,RMSE
M-data_Bahamas,Prophet Method,0.045969395449071825,0.0035281982647671754,0.059398638576714666
M-data_British_Virgin_Island,Prophet Method,0.07371381321046988,0.008865215640815912,0.09415527409983952
M-data_Bolivia,Prophet Method,0.06210225455519712,0.006784138102894954,0.08236587948231328
M-data_Albania,Prophet Method,0.03801639095740852,0.002438802293401461,0.0493842312221367
M-data_Baker_Island,Prophet Method,0.03755537647768702,0.0022008002406839213,0.046912687416986905
M-data_Algeria,Prophet Method,0.03448704339571068,0.001731614794527339,0.04161267588761072
M-data_Andorra,Prophet Method,0.04043099396959542,0.0026205215065588754,0.051191029551659495
M-data_Azerbaijan,Prophet Method,0.03646321979409853,0.002150902192130337,0.0463778200450424
M-data_Belgium,Prophet Method,0.05717001420029708,0.0051496548717112865,0.07176109580901957
M-data_Burma,Prophet Method,0.04484752816678256,0.003492976572584625,0.0591014092267234
M-data_Afghanistan,Prophet Method,0.03649615316855968,0.0020787850279676812,0.045593695046219726
M-data_Cameroon,Prophet Method,0.07018185499243534,0.00853912340144037,0.09240737741890725
M-data_Armenia,Prophet Method,0.041189370856380574,0.002803451259300594,0.05294762751342683
M-data_Costa_Rica,Prophet Method,0.08448969356956063,0.011350885707415565,0.106540535513088
M-data_Benin,Prophet Method,0.059138686391239675,0.005776999294524494,0.07600657402175481
M-data_Bosnia_H,Prophet Method,0.016747251500941814,0.00041333014739810663,0.020330522555952826
M-data_Botswana,Prophet Method,0.05143887132926277,0.003924935471382013,0.06264930543415476
M-data_Antigua_Barbada,Prophet Method,0.08538564381968092,0.009715174753528504,0.09856558605075355
M-data_Colombia,Prophet Method,0.1013646052492738,0.015488042332538586,0.12445096356613149
