DATA_SET_NAME,MAE,MSE,RMSE
D-dep-93,0.061788338971931124,0.005426110018914969,0.07366213422726067
D-dep_02,0.13235575853757234,0.02528233894087493,0.15900421045014793
D-dep-91,0.07065636819306094,0.007424671744165306,0.0861665349434762
D-dep-95,0.08152239563753777,0.009167398199705693,0.09574653100611892
D-dep-78,0.1123514745732567,0.01680911300830297,0.12964996339491566
D-dep_09,0.1367662614825895,0.029572553866927916,0.17196672313830927
D-dep-94,0.06027824328044203,0.005169102301270165,0.07189646932409244
D-dep-74,0.05939232038225673,0.006041984112425733,0.07773020077438197
D-dep_06,0.18350386796691967,0.040872996121379616,0.2021707103449449
D-dep_04,0.11032477333428407,0.01965942619572398,0.14021207578423472
D-dep_07,0.09891061765878977,0.015732056342974938,0.12542749436616732
D-dep-92,0.04050913435465356,0.0028593681502801223,0.053473060042231756
D-dep-90,0.17574362447917113,0.05257952551852355,0.22930225798827963
D-dep_08,0.11643168148266395,0.020444568130567956,0.14298450311333727
D-dep-77,0.09356890263101292,0.0129488145397518,0.11379285803490392
D-dep-75,0.04670154055329027,0.0033007421984038725,0.05745208611011329
