DATA_SET_NAME,MAE,MSE,RMSE
D-spain_reservoir,0.08652733006191951,0.01064589483660936,0.10317894570409876
D_-_spain_fossilhardcoal,0.2602359300919596,0.09523839747094393,0.30860718959697603
D_-_spain_fossilbrowncoal,0.2608754761576974,0.10313490124871187,0.3211462303199461
D-spain_river,0.12299285813210871,0.01989209396912576,0.14103933482942183
D_-_spain_fossilgas,0.17014246359366045,0.05272914168041752,0.22962826846975423
D-spain_wind_onshore,0.12724071253204172,0.026702822911668315,0.16340998412480284
D-spain_solar,0.3131063219575648,0.145088701142026,0.380905107791988
D-spain_other,0.13629437456759397,0.05182860695890625,0.22765897074112026
D-spain_hydroconsump,0.18706814793562251,0.04814744875292014,0.21942526917590904
D-spain_other_ren,0.09731952693031617,0.014101559420247965,0.1187499870326223
D-spain_nuclear,0.15287286297755553,0.03267159095284827,0.18075284493708052
D_-_spain_biomass,0.10849992176451685,0.022029816370555753,0.14842444667424484
D-spain_waste,0.08956720439473324,0.011629780606660478,0.10784146051802376
D_-_spain_fossiloil,0.1307180349453917,0.02382563301871967,0.1543555409394806
