DATA_SET_NAME,Method,MAE,MSE,RMSE
D-spain_reservoir,Naive Method,0.10158919196564554,0.019137167159432835,0.13833715032279953
D_-_spain_fossilhardcoal,Naive Method,0.20519760114653593,0.05968357538129767,0.24430222140066118
D_-_spain_fossilbrowncoal,Naive Method,0.40688327213730674,0.24046404788825892,0.490371336731929
D-spain_river,Naive Method,0.24231587824271142,0.0922443271782931,0.3037175121363487
D_-_spain_fossilgas,Naive Method,0.3424582510584094,0.1496546228522014,0.3868521976830446
D-spain_wind_onshore,Naive Method,0.15940901002957955,0.04882851923656736,0.22097176117451606
D-spain_solar,Naive Method,0.18898532372231963,0.052935065660681756,0.230076217068783
D-spain_other,Naive Method,0.13274547187797903,0.05103819198637589,0.22591633846708806
D-spain_hydroconsump,Naive Method,0.10280884978948576,0.030974090512445738,0.17599457523584566
D-spain_other_ren,Naive Method,0.13822663723325967,0.029156101557165814,0.1707515784909932
D-spain_nuclear,Naive Method,0.15724741980205642,0.034445657470912126,0.1855954133886722
D_-_spain_biomass,Naive Method,0.15090948229469378,0.02691991841634297,0.16407290579599965
D-spain_waste,Naive Method,0.08807452308789443,0.01092555132197347,0.10452536209922197
D_-_spain_fossiloil,Naive Method,0.1439220655789641,0.03690437933546846,0.19210512573970653
