DATA_SET_NAME,Method,MAE,MSE,RMSE
D-dep-93,Prophet Method,0.05589968345259683,0.005717754790326499,0.075615836901581
D-dep_02,Prophet Method,0.09338415129623055,0.013219486929203073,0.11497602762838466
D-dep-91,Prophet Method,0.07229429531882964,0.009090376190523781,0.095343464330408
D-dep-95,Prophet Method,0.10064482174391377,0.0274335408712472,0.16563073649310142
D-dep-78,Prophet Method,0.0788604251932506,0.011230540348974747,0.10597424379996655
D-dep_09,Prophet Method,0.13834637644656309,0.03050019155972673,0.1746430403987709
D-dep-94,Prophet Method,0.0581673129917927,0.006665813003443948,0.08164443032714447
D-dep-74,Prophet Method,0.08800654880175507,0.01039887466729267,0.10197487272506237
D-dep_06,Prophet Method,0.17292449788976078,0.03743801768875528,0.1934890634861704
D-dep_04,Prophet Method,0.12788090064101174,0.024892335520037442,0.15777305067734934
D-dep_07,Prophet Method,0.16263124801519296,0.03583989620652709,0.1893142789293166
D-dep-92,Prophet Method,0.08657717968867105,0.012000076099453815,0.10954485884537811
D-dep-90,Prophet Method,0.14117157393160767,0.03373126424825035,0.1836607313724149
D-dep_08,Prophet Method,0.12879102856339678,0.025897117843186424,0.16092581471966028
D-dep-77,Prophet Method,0.09319108688524161,0.0134503890522086,0.11597581235847672
D-dep-75,Prophet Method,0.050379043072647144,0.005325291013553838,0.0729745915614047
