DATA_SET_NAME,MAE,MSE,RMSE
D-dep-93,0.05466333597547262,0.004397759027895116,0.06631560169292831
D-dep_02,0.10039990232687176,0.01679441777712746,0.12959327828682882
D-dep-91,0.08630994281280943,0.011201926048322177,0.10583915177438913
D-dep-95,0.07638515885313203,0.008791986330903622,0.09376559246815232
D-dep-78,0.08367690337879663,0.01093480081605577,0.10456959795301773
D-dep_09,0.13154285714913247,0.02867588208710013,0.16933954673111692
D-dep-94,0.0620370163810554,0.005741633583082395,0.07577356783920364
D-dep-74,0.261086674844083,0.07703919514966102,0.27755935428239675
D-dep_06,0.14051105052214982,0.0348871788999008,0.18678109888289232
D-dep_04,0.20203020384400125,0.05578634157589217,0.23619132409106852
D-dep_07,0.28493479076104267,0.09940630962640536,0.3152876617097557
D-dep-92,0.04599076805016947,0.0033015636762586216,0.057459234908399374
D-dep-90,0.1175996791066931,0.021328417826188478,0.14604252061022666
D-dep_08,0.14807081955361917,0.03499243530972352,0.18706265076097772
D-dep-77,0.08354814852433158,0.010182526501750475,0.1009085055966566
D-dep-75,0.06306793896932239,0.006055243016597592,0.07781544201890517
