DATA_SET_NAME,MAE,MSE,RMSE
D-ZEC_USDT,0.7927368942163039,0.7536455006801168,0.8681275831812493
D-ltc,0.03748134963079543,0.001838132353962902,0.04287344579063948
D-ETC_USDT,0.10809246839417355,0.02142753133942531,0.1463814583184131
D-TRX_USDT,0.2886362709102358,0.12759485421873654,0.3572042192062358
D-bitcoin,0.1424452566309367,0.03202032127865707,0.17894222888590905
D-eos,0.18600501238413344,0.043529332234795104,0.20863684294676985
D-neo,0.014394115074508995,0.00040882041737972595,0.02021930803414711
D-eth,0.31924588359632416,0.14259643878984837,0.37761943645666385
D-link,0.722522475261561,0.686306410521456,0.8284361233803461
D-bnb,0.21286984482227236,0.06924491062330916,0.2631442772003776
D-ADA_USDT,0.1154142749946613,0.025155471055933402,0.1586047636609109
D-xrp,0.08457849337541283,0.021957402042461296,0.14818030247796532
D-XLM_USDT,0.3059389156743983,0.2355195126706984,0.485303526332437
