DATA_SET_NAME,Method,MAE,MSE,RMSE
D-dep-93,Naive Method,0.053814102564102566,0.004435096153846154,0.06659651758047229
D-dep_02,Naive Method,0.11016666666666666,0.019150000000000004,0.1383835250309805
D-dep-91,Naive Method,0.13417777777777776,0.023342814814814813,0.15278355544630715
D-dep-95,Naive Method,0.09214285714285711,0.012222448979591833,0.11055518522254772
D-dep-78,Naive Method,0.09939814814814814,0.014601980452674895,0.12083865462953026
D-dep_09,Naive Method,0.22355555555555554,0.06595555555555556,0.256818137123443
D-dep-94,Naive Method,0.051887905604719765,0.004391625551465789,0.0662693409614566
D-dep-74,Naive Method,0.15962962962962965,0.032263374485596706,0.17962008374788357
D-dep_06,Naive Method,0.25544871794871793,0.08646572978303747,0.2940505565086342
D-dep_04,Naive Method,0.1708888888888889,0.04217777777777777,0.20537229067665816
D-dep_07,Naive Method,0.3345679012345679,0.1319067215363512,0.36318964954463007
D-dep-92,Naive Method,0.0629100529100529,0.0056449987402368345,0.0751332066415166
D-dep-90,Naive Method,0.20842105263157895,0.05761772853185595,0.2400369315998185
D-dep_08,Naive Method,0.1552941176470588,0.039331026528258366,0.19832051464298484
D-dep-77,Naive Method,0.08009389671361503,0.009416121139985455,0.09703669996442302
D-dep-75,Naive Method,0.07620772946859905,0.008482986767485825,0.09210313114919505
