DATA_SET_NAME,Method,MAE,MSE,RMSE
D-spain_reservoir,Prophet Method,0.25004053420486116,0.0830099126222292,0.28811440891116363
D_-_spain_fossilhardcoal,Prophet Method,0.3615582282982228,0.1796567057857961,0.42385929951553036
D_-_spain_fossilbrowncoal,Prophet Method,0.44150415949998156,0.2584321780089523,0.5083622507709953
D-spain_river,Prophet Method,0.27299149797813993,0.09606061326317339,0.3099364664946243
D_-_spain_fossilgas,Prophet Method,0.15437763940183072,0.04303617827483324,0.2074516287591718
D-spain_wind_onshore,Prophet Method,0.18026579119632327,0.04561419107515198,0.21357479035492924
D-spain_solar,Prophet Method,0.1993762897000968,0.05772503286381227,0.24026034392677512
D-spain_other,Prophet Method,0.23970232277299716,0.07208701141812543,0.26849024454926745
D-spain_hydroconsump,Prophet Method,0.16041861493806805,0.036321982216150024,0.19058326845804177
D-spain_other_ren,Prophet Method,0.12830178062491537,0.023207059317862547,0.15233863370091827
D-spain_nuclear,Prophet Method,0.13603046411028902,0.03260479162942016,0.18056796955556698
D_-_spain_biomass,Prophet Method,0.3193688291034447,0.12643457910520467,0.3555764040332326
D-spain_waste,Prophet Method,0.12174203669872223,0.024147094392904914,0.1553933537604003
D_-_spain_fossiloil,Prophet Method,0.24004575933011812,0.07547897110330215,0.2747343646202676
